code,tdate,open,close,high,low,cjl,cje,cjjj
000001.SZ,2022-10-17,0.0,11.42,11.42,11.42,9756.0,11141400.0,11.42
000001.SZ,2022-10-17,0.0,11.44,11.46,11.41,27433.0,31346300.0,11.425
000001.SZ,2022-10-17,0.0,11.42,11.44,11.41,14385.0,16427000.0,11.423
000001.SZ,2022-10-17,0.0,11.41,11.43,11.41,14599.0,16664400.0,11.421
000001.SZ,2022-10-17,0.0,11.4,11.42,11.39,23120.0,26363300.0,11.417
000001.SZ,2022-10-17,0.0,11.39,11.4,11.38,13780.0,15694000.0,11.413
000001.SZ,2022-10-17,0.0,11.38,11.4,11.36,23516.0,26755700.0,11.406
000001.SZ,2022-10-17,0.0,11.39,11.4,11.38,11450.0,13033500.0,11.404
000001.SZ,2022-10-17,0.0,11.39,11.4,11.38,9493.0,10808400.0,11.403
000001.SZ,2022-10-17,0.0,11.39,11.4,11.38,9318.0,10612300.0,11.402
000001.SZ,2022-10-17,0.0,11.39,11.4,11.38,7284.0,8298020.0,11.402
000001.SZ,2022-10-17,0.0,11.37,11.39,11.36,29496.0,33542200.0,11.397
000001.SZ,2022-10-17,0.0,11.35,11.37,11.34,29447.0,33435000.0,11.392
000001.SZ,2022-10-17,0.0,11.37,11.37,11.35,7597.0,8625170.0,11.39
000001.SZ,2022-10-17,0.0,11.37,11.37,11.36,5419.0,6156850.0,11.39
000001.SZ,2022-10-17,0.0,11.36,11.36,11.34,14726.0,16711200.0,11.387
000001.SZ,2022-10-17,0.0,11.36,11.37,11.35,9357.0,10625300.0,11.386
000001.SZ,2022-10-17,0.0,11.37,11.37,11.35,4767.0,5414410.0,11.386
000001.SZ,2022-10-17,0.0,11.37,11.37,11.36,1900.0,2159530.0,11.386
000001.SZ,2022-10-17,0.0,11.37,11.37,11.36,3711.0,4218410.0,11.385
000001.SZ,2022-10-17,0.0,11.38,11.38,11.36,3063.0,3481700.0,11.385
000001.SZ,2022-10-17,0.0,11.34,11.38,11.34,21786.0,24737200.0,11.383
000001.SZ,2022-10-17,0.0,11.35,11.36,11.34,8263.0,9374310.0,11.382
000001.SZ,2022-10-17,0.0,11.35,11.36,11.35,3490.0,3962180.0,11.381
000001.SZ,2022-10-17,0.0,11.35,11.36,11.35,2981.0,3385400.0,11.381
000001.SZ,2022-10-17,0.0,11.37,11.37,11.35,4469.0,5078500.0,11.381
000001.SZ,2022-10-17,0.0,11.36,11.38,11.36,12932.0,14702400.0,11.381
000001.SZ,2022-10-17,0.0,11.38,11.38,11.35,5772.0,6563870.0,11.38
000001.SZ,2022-10-17,0.0,11.39,11.39,11.37,2549.0,2901070.0,11.38
000001.SZ,2022-10-17,0.0,11.38,11.41,11.38,5726.0,6525340.0,11.381
000001.SZ,2022-10-17,0.0,11.38,11.41,11.38,2803.0,3192780.0,11.381
000001.SZ,2022-10-17,0.0,11.39,11.4,11.37,2685.0,3056290.0,11.381
000001.SZ,2022-10-17,0.0,11.39,11.41,11.39,7930.0,9039070.0,11.381
000001.SZ,2022-10-17,0.0,11.4,11.41,11.39,8607.0,9810260.0,11.382
000001.SZ,2022-10-17,0.0,11.41,11.42,11.4,2988.0,3409060.0,11.382
000001.SZ,2022-10-17,0.0,11.4,11.41,11.4,2412.0,2750930.0,11.382
000001.SZ,2022-10-17,0.0,11.39,11.4,11.39,2132.0,2430020.0,11.382
000001.SZ,2022-10-17,0.0,11.4,11.41,11.39,4327.0,4934550.0,11.382
000001.SZ,2022-10-17,0.0,11.42,11.43,11.4,5554.0,6339980.0,11.383
000001.SZ,2022-10-17,0.0,11.43,11.44,11.42,5808.0,6637640.0,11.383
000001.SZ,2022-10-17,0.0,11.43,11.43,11.42,1736.0,1983580.0,11.384
000001.SZ,2022-10-17,0.0,11.42,11.44,11.41,4657.0,5320740.0,11.384
000001.SZ,2022-10-17,0.0,11.42,11.43,11.41,2267.0,2588990.0,11.384
000001.SZ,2022-10-17,0.0,11.42,11.43,11.42,1612.0,1841330.0,11.384
000001.SZ,2022-10-17,0.0,11.43,11.44,11.42,4273.0,4884380.0,11.385
000001.SZ,2022-10-17,0.0,11.42,11.44,11.42,3766.0,4303340.0,11.385
000001.SZ,2022-10-17,0.0,11.44,11.44,11.42,2770.0,3164720.0,11.386
000001.SZ,2022-10-17,0.0,11.44,11.44,11.43,3260.0,3726980.0,11.386
000001.SZ,2022-10-17,0.0,11.42,11.44,11.42,5193.0,5935250.0,11.387
000001.SZ,2022-10-17,0.0,11.41,11.43,11.41,3618.0,4131340.0,11.387
000001.SZ,2022-10-17,0.0,11.4,11.42,11.4,3511.0,4006370.0,11.387
000001.SZ,2022-10-17,0.0,11.41,11.42,11.4,4511.0,5146660.0,11.387
000001.SZ,2022-10-17,0.0,11.41,11.42,11.41,2014.0,2298900.0,11.387
000001.SZ,2022-10-17,0.0,11.43,11.43,11.41,2167.0,2473760.0,11.388
000001.SZ,2022-10-17,0.0,11.43,11.44,11.41,3834.0,4379460.0,11.388
000001.SZ,2022-10-17,0.0,11.41,11.43,11.41,4030.0,4601000.0,11.388
000001.SZ,2022-10-17,0.0,11.42,11.43,11.41,1485.0,1695650.0,11.388
000001.SZ,2022-10-17,0.0,11.43,11.44,11.42,1857.0,2122040.0,11.388
000001.SZ,2022-10-17,0.0,11.43,11.43,11.42,636.0,726417.0,11.388
000001.SZ,2022-10-17,0.0,11.42,11.43,11.42,1208.0,1380000.0,11.389
000001.SZ,2022-10-17,0.0,11.4,11.42,11.4,3813.0,4351340.0,11.389
000001.SZ,2022-10-17,0.0,11.41,11.42,11.4,4874.0,5559440.0,11.389
000001.SZ,2022-10-17,0.0,11.41,11.42,11.41,2182.0,2489980.0,11.389
000001.SZ,2022-10-17,0.0,11.42,11.42,11.41,3360.0,3835150.0,11.389
000001.SZ,2022-10-17,0.0,11.42,11.43,11.41,3979.0,4542490.0,11.389
000001.SZ,2022-10-17,0.0,11.41,11.43,11.41,1764.0,2013810.0,11.39
000001.SZ,2022-10-17,0.0,11.42,11.44,11.41,8659.0,9895980.0,11.39
000001.SZ,2022-10-17,0.0,11.43,11.44,11.42,1172.0,1339590.0,11.39
000001.SZ,2022-10-17,0.0,11.44,11.44,11.43,1295.0,1480510.0,11.39
000001.SZ,2022-10-17,0.0,11.43,11.44,11.43,1494.0,1708050.0,11.391
000001.SZ,2022-10-17,0.0,11.43,11.44,11.43,2145.0,2452030.0,11.391
000001.SZ,2022-10-17,0.0,11.44,11.45,11.43,2641.0,3021360.0,11.391
000001.SZ,2022-10-17,0.0,11.46,11.46,11.45,6294.0,7205280.0,11.392
000001.SZ,2022-10-17,0.0,11.45,11.46,11.45,2296.0,2629120.0,11.392
000001.SZ,2022-10-17,0.0,11.45,11.45,11.44,1943.0,2223920.0,11.392
000001.SZ,2022-10-17,0.0,11.45,11.46,11.45,853.0,976822.0,11.392
000001.SZ,2022-10-17,0.0,11.44,11.46,11.44,3143.0,3598330.0,11.393
000001.SZ,2022-10-17,0.0,11.44,11.45,11.43,2172.0,2484460.0,11.393
000001.SZ,2022-10-17,0.0,11.43,11.45,11.43,2837.0,3245610.0,11.393
000001.SZ,2022-10-17,0.0,11.45,11.45,11.43,1503.0,1718380.0,11.393
000001.SZ,2022-10-17,0.0,11.45,11.45,11.43,2623.0,3001760.0,11.394
000001.SZ,2022-10-17,0.0,11.43,11.45,11.43,3422.0,3915080.0,11.394
000001.SZ,2022-10-17,0.0,11.44,11.44,11.43,1294.0,1480030.0,11.394
000001.SZ,2022-10-17,0.0,11.44,11.45,11.44,1338.0,1531060.0,11.394
000001.SZ,2022-10-17,0.0,11.44,11.47,11.42,11790.0,13496800.0,11.395
000001.SZ,2022-10-17,0.0,11.45,11.45,11.44,1959.0,2241560.0,11.396
000001.SZ,2022-10-17,0.0,11.45,11.46,11.43,1768.0,2022780.0,11.396
000001.SZ,2022-10-17,0.0,11.44,11.46,11.43,1715.0,1962030.0,11.396
000001.SZ,2022-10-17,0.0,11.44,11.45,11.43,1509.0,1726250.0,11.396
000001.SZ,2022-10-17,0.0,11.44,11.45,11.43,1485.0,1698200.0,11.396
000001.SZ,2022-10-17,0.0,11.44,11.45,11.44,490.0,560662.0,11.396
000001.SZ,2022-10-17,0.0,11.44,11.45,11.43,1911.0,2185640.0,11.396
000001.SZ,2022-10-17,0.0,11.43,11.44,11.43,829.0,947584.0,11.396
000001.SZ,2022-10-17,0.0,11.42,11.43,11.42,5004.0,5717460.0,11.397
000001.SZ,2022-10-17,0.0,11.42,11.43,11.42,1598.0,1824980.0,11.397
000001.SZ,2022-10-17,0.0,11.43,11.43,11.42,1917.0,2189900.0,11.397
000001.SZ,2022-10-17,0.0,11.42,11.43,11.42,2008.0,2293480.0,11.397
000001.SZ,2022-10-17,0.0,11.43,11.43,11.41,3659.0,4178230.0,11.397
000001.SZ,2022-10-17,0.0,11.43,11.43,11.42,1502.0,1716170.0,11.397
000001.SZ,2022-10-17,0.0,11.42,11.43,11.41,2854.0,3259880.0,11.397
000001.SZ,2022-10-17,0.0,11.44,11.44,11.42,1615.0,1844560.0,11.397
000001.SZ,2022-10-17,0.0,11.42,11.43,11.42,1233.0,1409050.0,11.397
000001.SZ,2022-10-17,0.0,11.42,11.44,11.42,1253.0,1431840.0,11.397
000001.SZ,2022-10-17,0.0,11.42,11.43,11.42,1247.0,1424870.0,11.397
000001.SZ,2022-10-17,0.0,11.42,11.43,11.42,657.0,750448.0,11.397
