code,tdate,open,close,high,low,cjl,cje,cjjj
000333.SZ,2022-10-17,0.0,47.71,47.71,47.71,1136.0,5419860.0,47.71
000333.SZ,2022-10-17,0.0,47.66,47.69,47.52,3342.0,15906200.0,47.625
000333.SZ,2022-10-17,0.0,47.73,47.74,47.66,2222.0,10599600.0,47.651
000333.SZ,2022-10-17,0.0,47.83,47.85,47.75,2141.0,10233300.0,47.686
000333.SZ,2022-10-17,0.0,47.69,47.82,47.69,1929.0,9215100.0,47.701
000333.SZ,2022-10-17,0.0,47.79,47.8,47.69,1247.0,5951550.0,47.704
000333.SZ,2022-10-17,0.0,47.71,47.8,47.71,1398.0,6674730.0,47.708
000333.SZ,2022-10-17,0.0,47.67,47.71,47.67,1621.0,7731880.0,47.707
000333.SZ,2022-10-17,0.0,47.62,47.66,47.61,1427.0,6796540.0,47.7
000333.SZ,2022-10-17,0.0,47.65,47.66,47.61,1651.0,7865460.0,47.695
000333.SZ,2022-10-17,0.0,47.67,47.71,47.65,1783.0,8498930.0,47.693
000333.SZ,2022-10-17,0.0,47.54,47.67,47.54,3717.0,17698100.0,47.68
000333.SZ,2022-10-17,0.0,47.52,47.54,47.51,2411.0,11455400.0,47.665
000333.SZ,2022-10-17,0.0,47.49,47.52,47.48,3132.0,14878200.0,47.648
000333.SZ,2022-10-17,0.0,47.49,47.49,47.47,2072.0,9837860.0,47.637
000333.SZ,2022-10-17,0.0,47.46,47.48,47.45,1400.0,6644940.0,47.63
000333.SZ,2022-10-17,0.0,47.45,47.47,47.42,1288.0,6112270.0,47.623
000333.SZ,2022-10-17,0.0,47.47,47.47,47.44,1510.0,7167630.0,47.616
000333.SZ,2022-10-17,0.0,47.47,47.5,47.46,1473.0,6993660.0,47.61
000333.SZ,2022-10-17,0.0,47.49,47.5,47.48,2842.0,13496200.0,47.602
000333.SZ,2022-10-17,0.0,47.5,47.51,47.48,1884.0,8947220.0,47.597
000333.SZ,2022-10-17,0.0,47.49,47.53,47.48,1592.0,7562220.0,47.593
000333.SZ,2022-10-17,0.0,47.48,47.51,47.48,1041.0,4944590.0,47.591
000333.SZ,2022-10-17,0.0,47.47,47.5,47.47,1430.0,6790120.0,47.587
000333.SZ,2022-10-17,0.0,47.45,47.48,47.45,1596.0,7575140.0,47.583
000333.SZ,2022-10-17,0.0,47.47,47.47,47.43,1577.0,7481880.0,47.579
000333.SZ,2022-10-17,0.0,47.43,47.45,47.42,1663.0,7887950.0,47.574
000333.SZ,2022-10-17,0.0,47.45,47.45,47.43,801.0,3799750.0,47.572
000333.SZ,2022-10-17,0.0,47.46,47.47,47.44,1050.0,4982350.0,47.569
000333.SZ,2022-10-17,0.0,47.45,47.49,47.45,1564.0,7425270.0,47.566
000333.SZ,2022-10-17,0.0,47.45,47.47,47.45,1125.0,5339240.0,47.564
000333.SZ,2022-10-17,0.0,47.4,47.46,47.4,3635.0,17238200.0,47.555
000333.SZ,2022-10-17,0.0,47.38,47.4,47.36,2190.0,10380500.0,47.549
000333.SZ,2022-10-17,0.0,47.34,47.37,47.31,1870.0,8852300.0,47.543
000333.SZ,2022-10-17,0.0,47.4,47.4,47.34,1890.0,8952280.0,47.538
000333.SZ,2022-10-17,0.0,47.42,47.42,47.4,1094.0,5186830.0,47.536
000333.SZ,2022-10-17,0.0,47.36,47.44,47.36,2044.0,9689200.0,47.532
000333.SZ,2022-10-17,0.0,47.39,47.4,47.36,1051.0,4979300.0,47.53
000333.SZ,2022-10-17,0.0,47.38,47.4,47.36,1044.0,4946670.0,47.527
000333.SZ,2022-10-17,0.0,47.38,47.38,47.36,1212.0,5741240.0,47.525
