code,tdate,open,close,high,low,cjl,cje,cjjj
000568.SZ,2022-10-17,0.0,212.1,212.1,212.1,550.0,11665500.0,212.1
000568.SZ,2022-10-17,0.0,212.9,212.9,211.3,2205.0,46789300.0,212.196
000568.SZ,2022-10-17,0.0,211.6,212.76,211.55,722.0,15315100.0,212.181
000568.SZ,2022-10-17,0.0,211.2,211.5,210.5,599.0,12644900.0,212.009
000568.SZ,2022-10-17,0.0,210.79,211.2,210.06,739.0,15571400.0,211.809
000568.SZ,2022-10-17,0.0,210.81,211.2,210.72,812.0,17125400.0,211.679
000568.SZ,2022-10-17,0.0,210.2,210.79,210.1,1008.0,21185600.0,211.456
000568.SZ,2022-10-17,0.0,211.0,211.08,210.15,400.0,8426860.0,211.411
000568.SZ,2022-10-17,0.0,210.82,211.0,210.62,334.0,7038860.0,211.381
000568.SZ,2022-10-17,0.0,211.0,211.13,210.61,426.0,8985720.0,211.356
000568.SZ,2022-10-17,0.0,210.9,211.0,210.75,418.0,8816040.0,211.334
000568.SZ,2022-10-17,0.0,210.27,210.8,210.08,707.0,14871800.0,211.256
000568.SZ,2022-10-17,0.0,210.07,210.23,210.07,912.0,19158900.0,211.147
000568.SZ,2022-10-17,0.0,208.81,209.96,208.7,1661.0,34799500.0,210.91
000568.SZ,2022-10-17,0.0,208.3,208.68,208.13,936.0,19514600.0,210.727
000568.SZ,2022-10-17,0.0,208.2,208.3,208.11,755.0,15717800.0,210.582
000568.SZ,2022-10-17,0.0,208.37,208.88,208.27,837.0,17448500.0,210.455
000568.SZ,2022-10-17,0.0,207.95,208.38,207.9,1563.0,32526300.0,210.219
000568.SZ,2022-10-17,0.0,208.41,208.41,207.9,399.0,8308680.0,210.167
000568.SZ,2022-10-17,0.0,209.27,209.48,208.62,297.0,6212060.0,210.146
000568.SZ,2022-10-17,0.0,209.82,209.89,209.4,269.0,5640970.0,210.138
000568.SZ,2022-10-17,0.0,209.0,209.85,209.0,358.0,7492560.0,210.12
000568.SZ,2022-10-17,0.0,208.86,209.23,208.86,511.0,10682400.0,210.089
000568.SZ,2022-10-17,0.0,208.93,209.0,208.78,467.0,9754150.0,210.057
000568.SZ,2022-10-17,0.0,208.81,209.0,208.8,286.0,5975240.0,210.039
000568.SZ,2022-10-17,0.0,208.87,209.0,208.64,715.0,14918300.0,209.987
000568.SZ,2022-10-17,0.0,208.11,208.99,208.11,376.0,7847720.0,209.962
000568.SZ,2022-10-17,0.0,207.9,208.11,207.88,1122.0,23333000.0,209.854
000568.SZ,2022-10-17,0.0,208.2,208.21,207.82,706.0,14685600.0,209.79
000568.SZ,2022-10-17,0.0,207.98,208.2,207.96,335.0,6968680.0,209.762
000568.SZ,2022-10-17,0.0,207.62,207.98,207.61,761.0,15811100.0,209.694
000568.SZ,2022-10-17,0.0,207.54,207.61,207.3,1048.0,21753600.0,209.596
000568.SZ,2022-10-17,0.0,208.0,208.0,207.53,306.0,6355420.0,209.571
000568.SZ,2022-10-17,0.0,208.46,208.48,207.88,163.0,3392680.0,209.561
000568.SZ,2022-10-17,0.0,208.76,208.88,208.46,173.0,3608840.0,209.554
000568.SZ,2022-10-17,0.0,208.92,208.93,208.51,166.0,3464130.0,209.548
000568.SZ,2022-10-17,0.0,209.14,209.22,208.99,220.0,4601120.0,209.545
000568.SZ,2022-10-17,0.0,209.5,209.5,209.16,213.0,4458150.0,209.542
000568.SZ,2022-10-17,0.0,209.38,209.52,209.31,149.0,3120500.0,209.542
000568.SZ,2022-10-17,0.0,209.01,209.43,209.01,251.0,5252340.0,209.539
000568.SZ,2022-10-17,0.0,209.41,209.42,208.88,161.0,3365420.0,209.536
000568.SZ,2022-10-17,0.0,209.24,209.42,208.99,129.0,2699020.0,209.534
000568.SZ,2022-10-17,0.0,209.51,209.55,209.3,226.0,4734210.0,209.534
000568.SZ,2022-10-17,0.0,209.53,209.6,209.53,231.0,4841230.0,209.534
000568.SZ,2022-10-17,0.0,209.46,209.68,209.36,162.0,3394590.0,209.534
000568.SZ,2022-10-17,0.0,209.4,209.62,209.27,160.0,3351300.0,209.534
000568.SZ,2022-10-17,0.0,209.53,209.6,209.4,112.0,2346520.0,209.533
000568.SZ,2022-10-17,0.0,209.37,209.6,209.32,157.0,3288110.0,209.533
000568.SZ,2022-10-17,0.0,209.1,209.21,209.02,214.0,4476740.0,209.53
000568.SZ,2022-10-17,0.0,208.81,209.2,208.57,208.0,4345350.0,209.525
000568.SZ,2022-10-17,0.0,208.5,208.68,208.5,148.0,3087310.0,209.52
000568.SZ,2022-10-17,0.0,208.82,208.97,208.55,104.0,2170660.0,209.517
000568.SZ,2022-10-17,0.0,208.41,208.93,208.41,256.0,5339170.0,209.508
000568.SZ,2022-10-17,0.0,208.58,208.93,208.4,360.0,7506600.0,209.495
000568.SZ,2022-10-17,0.0,209.25,209.39,208.58,300.0,6265440.0,209.488
000568.SZ,2022-10-17,0.0,208.8,209.28,208.58,170.0,3549180.0,209.484
000568.SZ,2022-10-17,0.0,208.35,208.79,208.2,560.0,11658400.0,209.462
000568.SZ,2022-10-17,0.0,208.24,208.39,208.23,156.0,3250380.0,209.456
000568.SZ,2022-10-17,0.0,208.38,208.46,208.23,173.0,3603540.0,209.449
000568.SZ,2022-10-17,0.0,208.46,208.65,208.25,98.0,2042100.0,209.445
000568.SZ,2022-10-17,0.0,208.95,208.95,208.41,73.0,1522330.0,209.443
000568.SZ,2022-10-17,0.0,208.95,209.21,208.54,79.0,1650480.0,209.441
000568.SZ,2022-10-17,0.0,208.82,208.95,208.68,100.0,2088310.0,209.439
000568.SZ,2022-10-17,0.0,209.18,209.2,208.8,68.0,1421290.0,209.438
000568.SZ,2022-10-17,0.0,209.38,209.5,209.09,172.0,3600910.0,209.438
000568.SZ,2022-10-17,0.0,209.01,209.38,209.0,164.0,3431240.0,209.437
000568.SZ,2022-10-17,0.0,208.7,209.0,208.53,147.0,3068790.0,209.433
000568.SZ,2022-10-17,0.0,208.5,208.8,208.42,154.0,3211700.0,209.429
000568.SZ,2022-10-17,0.0,208.8,208.8,208.42,70.0,1459430.0,209.427
000568.SZ,2022-10-17,0.0,208.52,208.99,208.52,154.0,3214100.0,209.423
000568.SZ,2022-10-17,0.0,208.65,208.8,208.5,107.0,2232960.0,209.42
000568.SZ,2022-10-17,0.0,208.58,208.79,208.4,179.0,3733880.0,209.415
000568.SZ,2022-10-17,0.0,208.38,208.46,208.3,189.0,3938570.0,209.409
000568.SZ,2022-10-17,0.0,208.27,208.39,208.27,207.0,4312620.0,209.402
000568.SZ,2022-10-17,0.0,208.0,208.34,208.0,395.0,8223540.0,209.387
000568.SZ,2022-10-17,0.0,208.07,208.07,208.0,341.0,7088420.0,209.372
000568.SZ,2022-10-17,0.0,208.12,208.12,208.06,225.0,4682050.0,209.363
000568.SZ,2022-10-17,0.0,208.19,208.23,208.13,205.0,4267780.0,209.355
000568.SZ,2022-10-17,0.0,208.16,208.22,208.16,243.0,5059250.0,209.347
000568.SZ,2022-10-17,0.0,208.18,208.33,208.15,185.0,3851720.0,209.34
000568.SZ,2022-10-17,0.0,208.14,208.21,208.14,415.0,8639230.0,209.325
000568.SZ,2022-10-17,0.0,207.35,208.08,207.33,1390.0,28874500.0,209.259
000568.SZ,2022-10-17,0.0,207.54,207.55,207.35,536.0,11118100.0,209.231
000568.SZ,2022-10-17,0.0,207.56,207.58,207.49,290.0,6018660.0,209.217
000568.SZ,2022-10-17,0.0,207.53,207.59,207.4,383.0,7946650.0,209.198
000568.SZ,2022-10-17,0.0,208.12,208.12,207.54,91.0,1891530.0,209.195
000568.SZ,2022-10-17,0.0,208.25,208.25,208.08,93.0,1936040.0,209.192
000568.SZ,2022-10-17,0.0,208.11,208.27,208.11,165.0,3435560.0,209.187
000568.SZ,2022-10-17,0.0,208.01,208.12,208.0,116.0,2413280.0,209.184
000568.SZ,2022-10-17,0.0,207.9,208.06,207.9,193.0,4014530.0,209.177
000568.SZ,2022-10-17,0.0,207.61,207.93,207.53,211.0,4382820.0,209.169
000568.SZ,2022-10-17,0.0,207.8,207.8,207.5,266.0,5522040.0,209.157
000568.SZ,2022-10-17,0.0,207.85,207.9,207.8,81.0,1683580.0,209.155
000568.SZ,2022-10-17,0.0,207.85,207.88,207.8,138.0,2868300.0,209.15
000568.SZ,2022-10-17,0.0,207.55,207.85,207.55,176.0,3655670.0,209.143
000568.SZ,2022-10-17,0.0,207.51,207.56,207.5,206.0,4274920.0,209.134
000568.SZ,2022-10-17,0.0,207.56,207.78,207.51,246.0,5106000.0,209.123
000568.SZ,2022-10-17,0.0,207.66,207.66,207.51,157.0,3258950.0,209.117
000568.SZ,2022-10-17,0.0,208.06,208.06,207.56,153.0,3180320.0,209.112
000568.SZ,2022-10-17,0.0,207.8,208.08,207.77,120.0,2495870.0,209.108
000568.SZ,2022-10-17,0.0,207.7,207.94,207.7,184.0,3823890.0,209.102
000568.SZ,2022-10-17,0.0,207.79,207.86,207.7,142.0,2950850.0,209.097
000568.SZ,2022-10-17,0.0,207.55,207.79,207.51,360.0,7476560.0,209.084
000568.SZ,2022-10-17,0.0,207.52,207.61,207.52,225.0,4670240.0,209.075
000568.SZ,2022-10-17,0.0,207.46,207.54,207.38,785.0,16287200.0,209.044
000568.SZ,2022-10-17,0.0,207.54,207.54,207.4,146.0,3029420.0,209.038
000568.SZ,2022-10-17,0.0,207.52,207.58,207.5,197.0,4088350.0,209.03
000568.SZ,2022-10-17,0.0,207.51,207.53,207.5,175.0,3631510.0,209.024
000568.SZ,2022-10-17,0.0,207.56,207.56,207.54,132.0,2739580.0,209.019
000568.SZ,2022-10-17,0.0,207.65,207.67,207.56,213.0,4422310.0,209.012
000568.SZ,2022-10-17,0.0,207.61,207.67,207.55,165.0,3425640.0,209.006
000568.SZ,2022-10-17,0.0,207.49,207.61,207.49,214.0,4441360.0,208.998
000568.SZ,2022-10-17,0.0,207.48,207.5,207.45,144.0,2987680.0,208.993
000568.SZ,2022-10-17,0.0,207.9,207.9,207.48,310.0,6444300.0,208.983
000568.SZ,2022-10-17,0.0,207.93,207.93,207.85,101.0,2100010.0,208.98
000568.SZ,2022-10-17,0.0,207.5,207.92,207.5,158.0,3282250.0,208.975
000568.SZ,2022-10-17,0.0,207.6,207.61,207.5,157.0,3258880.0,208.97
000568.SZ,2022-10-17,0.0,207.6,207.6,207.55,180.0,3736600.0,208.964
000568.SZ,2022-10-17,0.0,207.61,207.61,207.57,136.0,2823380.0,208.96
000568.SZ,2022-10-17,0.0,207.63,207.63,207.61,112.0,2325420.0,208.956
000568.SZ,2022-10-17,0.0,207.6,207.66,207.6,197.0,4090450.0,208.95
000568.SZ,2022-10-17,0.0,207.35,207.75,207.35,833.0,17289800.0,208.923
000568.SZ,2022-10-17,0.0,206.55,207.36,206.55,2080.0,43072300.0,208.838
000568.SZ,2022-10-17,0.0,206.01,206.51,206.0,936.0,19295700.0,208.784
000568.SZ,2022-10-17,0.0,205.7,206.01,205.59,509.0,10483800.0,208.753
000568.SZ,2022-10-17,0.0,205.32,205.51,205.3,704.0,14460100.0,208.703
000568.SZ,2022-10-17,0.0,205.4,205.54,205.3,495.0,10168300.0,208.669
000568.SZ,2022-10-17,0.0,205.91,205.91,205.41,567.0,11659500.0,208.634
000568.SZ,2022-10-17,0.0,205.91,205.94,205.88,346.0,7124250.0,208.614
000568.SZ,2022-10-17,0.0,206.2,206.4,205.94,561.0,11559700.0,208.587
000568.SZ,2022-10-17,0.0,205.92,206.2,205.91,369.0,7600740.0,208.567
000568.SZ,2022-10-17,0.0,206.0,206.13,205.9,353.0,7273610.0,208.549
000568.SZ,2022-10-17,0.0,206.03,206.11,206.0,249.0,5130430.0,208.537
000568.SZ,2022-10-17,0.0,206.04,206.07,206.01,311.0,6407570.0,208.521
000568.SZ,2022-10-17,0.0,206.02,206.26,205.98,429.0,8839890.0,208.5
000568.SZ,2022-10-17,0.0,205.54,206.0,205.54,710.0,14616200.0,208.464
000568.SZ,2022-10-17,0.0,205.7,205.7,205.46,658.0,13518800.0,208.428
000568.SZ,2022-10-17,0.0,205.85,205.9,205.62,354.0,7278560.0,208.41
000568.SZ,2022-10-17,0.0,205.86,206.0,205.86,724.0,14907400.0,208.376
000568.SZ,2022-10-17,0.0,205.82,205.87,205.8,436.0,8974160.0,208.355
000568.SZ,2022-10-17,0.0,206.03,206.03,205.75,708.0,14566800.0,208.322
