code,tdate,open,close,high,low,cjl,cje,cjjj
000596.SZ,2022-10-17,0.0,245.01,245.01,245.01,285.0,6982780.0,245.01
000596.SZ,2022-10-17,0.0,238.28,244.0,238.0,1222.0,29502800.0,242.108
000596.SZ,2022-10-17,0.0,232.3,238.27,230.0,800.0,18792200.0,239.615
000596.SZ,2022-10-17,0.0,231.26,233.04,231.26,1304.0,30275900.0,236.929
000596.SZ,2022-10-17,0.0,232.78,233.03,231.52,1247.0,28990900.0,235.77
000596.SZ,2022-10-17,0.0,232.06,232.8,232.03,1130.0,26262500.0,235.136
000596.SZ,2022-10-17,0.0,229.02,231.98,228.68,1595.0,36734600.0,234.121
000596.SZ,2022-10-17,0.0,229.0,229.01,228.88,1242.0,28439100.0,233.398
000596.SZ,2022-10-17,0.0,228.95,229.57,228.93,1131.0,25896900.0,232.903
000596.SZ,2022-10-17,0.0,228.56,228.9,228.51,1462.0,33433600.0,232.363
000596.SZ,2022-10-17,0.0,228.56,228.56,228.52,890.0,20339400.0,232.086
000596.SZ,2022-10-17,0.0,228.51,228.53,228.51,1031.0,23559700.0,231.81
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,140.0,3199140.0,231.775
000596.SZ,2022-10-17,0.0,228.52,228.52,228.51,368.0,8409220.0,231.689
000596.SZ,2022-10-17,0.0,228.51,228.52,228.51,636.0,14533600.0,231.549
000596.SZ,2022-10-17,0.0,228.52,228.52,228.51,434.0,9917440.0,231.461
000596.SZ,2022-10-17,0.0,228.51,228.56,228.51,443.0,10123200.0,231.376
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,245.0,5598500.0,231.331
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,102.0,2330800.0,231.313
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,149.0,3404800.0,231.286
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,191.0,4364540.0,231.253
000596.SZ,2022-10-17,0.0,228.52,228.52,228.51,302.0,6901090.0,231.203
000596.SZ,2022-10-17,0.0,228.51,228.52,228.51,156.0,3564760.0,231.177
000596.SZ,2022-10-17,0.0,228.52,228.52,228.51,119.0,2719270.0,231.158
000596.SZ,2022-10-17,0.0,228.51,228.52,228.51,137.0,3130640.0,231.137
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,46.0,1051150.0,231.129
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,65.0,1485320.0,231.119
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,67.0,1531020.0,231.109
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,73.0,1668120.0,231.098
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,55.0,1256800.0,231.089
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,59.0,1348210.0,231.081
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,154.0,3519050.0,231.058
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,42.0,959742.0,231.051
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,42.0,959742.0,231.045
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,54.0,1233950.0,231.037
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,37.0,845487.0,231.032
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,33.0,754083.0,231.027
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,34.0,776934.0,231.022
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,56.0,1279660.0,231.014
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,28.0,639828.0,231.01
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,73.0,1668120.0,231.0
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,47.0,1074000.0,230.994
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,41.0,936891.0,230.988
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,24.0,548424.0,230.984
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,54.0,1233950.0,230.977
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,216.0,4935820.0,230.947
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,35.0,799785.0,230.943
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,24.0,548424.0,230.94
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,63.0,1439610.0,230.931
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,43.0,982593.0,230.925
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,38.0,868338.0,230.92
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,28.0,639828.0,230.917
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,29.0,662679.0,230.913
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,362.0,8272060.0,230.866
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,36.0,822636.0,230.862
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,36.0,822636.0,230.857
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,18.0,411318.0,230.855
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,33.0,754083.0,230.851
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,30.0,685530.0,230.847
000596.SZ,2022-10-17,0.0,228.51,228.51,228.51,24.0,548424.0,230.844
