code,tdate,open,close,high,low,cjl,cje,cjjj
000799.SZ,2022-10-17,0.0,122.22,122.22,122.22,623.0,7614310.0,122.22
000799.SZ,2022-10-17,0.0,124.5,124.8,122.13,1754.0,21612300.0,122.953
000799.SZ,2022-10-17,0.0,124.51,125.22,124.5,1843.0,22999600.0,123.757
000799.SZ,2022-10-17,0.0,124.62,124.72,124.5,1193.0,14859800.0,123.934
000799.SZ,2022-10-17,0.0,124.55,124.72,124.3,1075.0,13390800.0,124.039
000799.SZ,2022-10-17,0.0,125.22,125.3,124.48,973.0,12153500.0,124.152
000799.SZ,2022-10-17,0.0,124.77,125.28,124.77,741.0,9268000.0,124.235
000799.SZ,2022-10-17,0.0,124.92,125.01,124.61,1063.0,13273000.0,124.307
000799.SZ,2022-10-17,0.0,124.5,124.97,124.5,438.0,5464260.0,124.328
000799.SZ,2022-10-17,0.0,124.14,124.46,124.05,422.0,5245260.0,124.326
000799.SZ,2022-10-17,0.0,123.76,124.05,123.64,923.0,11429100.0,124.283
000799.SZ,2022-10-17,0.0,124.13,124.31,123.65,475.0,5890100.0,124.272
000799.SZ,2022-10-17,0.0,123.5,124.01,123.5,947.0,11717200.0,124.231
000799.SZ,2022-10-17,0.0,123.05,123.51,123.01,728.0,8965430.0,124.172
000799.SZ,2022-10-17,0.0,123.01,123.05,123.0,894.0,10997300.0,124.098
000799.SZ,2022-10-17,0.0,122.95,123.07,122.95,507.0,6236430.0,124.06
000799.SZ,2022-10-17,0.0,123.44,123.51,122.95,624.0,7681780.0,124.021
000799.SZ,2022-10-17,0.0,123.2,123.51,123.2,298.0,3675930.0,124.008
000799.SZ,2022-10-17,0.0,123.0,123.2,123.0,476.0,5856820.0,123.98
000799.SZ,2022-10-17,0.0,123.19,123.2,122.96,371.0,4564270.0,123.958
000799.SZ,2022-10-17,0.0,123.65,123.69,123.13,324.0,3999310.0,123.948
000799.SZ,2022-10-17,0.0,123.3,123.71,123.3,318.0,3928430.0,123.94
000799.SZ,2022-10-17,0.0,123.3,123.54,123.3,320.0,3951550.0,123.932
000799.SZ,2022-10-17,0.0,123.2,123.3,123.14,149.0,1836010.0,123.926
000799.SZ,2022-10-17,0.0,123.05,123.16,123.04,170.0,2092660.0,123.918
000799.SZ,2022-10-17,0.0,123.35,123.38,123.01,366.0,4506110.0,123.901
000799.SZ,2022-10-17,0.0,123.19,123.36,123.08,233.0,2871860.0,123.893
000799.SZ,2022-10-17,0.0,122.88,123.08,122.87,531.0,6530120.0,123.867
000799.SZ,2022-10-17,0.0,122.91,123.02,122.85,216.0,2655800.0,123.857
000799.SZ,2022-10-17,0.0,123.11,123.11,122.91,252.0,3099400.0,123.846
000799.SZ,2022-10-17,0.0,122.91,123.11,122.91,349.0,4293260.0,123.831
000799.SZ,2022-10-17,0.0,123.22,123.33,122.7,689.0,8474230.0,123.801
000799.SZ,2022-10-17,0.0,123.1,123.33,123.03,133.0,1637740.0,123.797
000799.SZ,2022-10-17,0.0,123.26,123.29,123.05,256.0,3152810.0,123.789
000799.SZ,2022-10-17,0.0,123.2,123.27,123.16,123.0,1515520.0,123.785
000799.SZ,2022-10-17,0.0,123.46,123.46,123.11,256.0,3154280.0,123.778
000799.SZ,2022-10-17,0.0,123.6,123.61,123.48,282.0,3484430.0,123.776
000799.SZ,2022-10-17,0.0,124.11,124.11,123.51,496.0,6137710.0,123.775
000799.SZ,2022-10-17,0.0,123.9,124.07,123.9,206.0,2554260.0,123.777
000799.SZ,2022-10-17,0.0,123.78,123.9,123.68,97.0,1200870.0,123.777
000799.SZ,2022-10-17,0.0,123.89,123.89,123.6,343.0,4245370.0,123.777
000799.SZ,2022-10-17,0.0,123.71,123.88,123.66,87.0,1076610.0,123.777
000799.SZ,2022-10-17,0.0,123.85,123.86,123.72,144.0,1782770.0,123.777
000799.SZ,2022-10-17,0.0,123.89,123.96,123.86,138.0,1709930.0,123.778
000799.SZ,2022-10-17,0.0,123.97,123.98,123.89,121.0,1499800.0,123.779
000799.SZ,2022-10-17,0.0,124.18,124.3,123.98,328.0,4072000.0,123.784
000799.SZ,2022-10-17,0.0,124.02,124.17,124.02,117.0,1452080.0,123.786
000799.SZ,2022-10-17,0.0,124.0,124.14,124.0,108.0,1339680.0,123.787
000799.SZ,2022-10-17,0.0,123.99,124.03,123.94,80.0,991935.0,123.787
000799.SZ,2022-10-17,0.0,123.87,123.99,123.87,63.0,780717.0,123.788
000799.SZ,2022-10-17,0.0,123.66,123.86,123.6,196.0,2425420.0,123.787
000799.SZ,2022-10-17,0.0,123.51,123.66,123.51,97.0,1199060.0,123.787
000799.SZ,2022-10-17,0.0,123.4,123.51,123.36,159.0,1963120.0,123.785
000799.SZ,2022-10-17,0.0,123.42,123.5,123.4,72.0,888739.0,123.784
000799.SZ,2022-10-17,0.0,123.63,123.63,123.42,59.0,728924.0,123.783
000799.SZ,2022-10-17,0.0,123.61,123.63,123.55,72.0,889838.0,123.782
000799.SZ,2022-10-17,0.0,123.43,123.61,123.41,52.0,642154.0,123.782
000799.SZ,2022-10-17,0.0,123.2,123.43,123.2,174.0,2147100.0,123.779
000799.SZ,2022-10-17,0.0,123.3,123.37,123.16,80.0,986401.0,123.778
000799.SZ,2022-10-17,0.0,123.25,123.34,123.2,110.0,1355690.0,123.775
000799.SZ,2022-10-17,0.0,123.19,123.25,123.16,149.0,1835580.0,123.772
000799.SZ,2022-10-17,0.0,123.49,123.49,123.18,151.0,1862140.0,123.769
000799.SZ,2022-10-17,0.0,123.22,123.5,123.21,125.0,1542470.0,123.767
000799.SZ,2022-10-17,0.0,123.35,123.39,123.21,96.0,1183400.0,123.765
000799.SZ,2022-10-17,0.0,123.43,123.55,123.35,152.0,1876620.0,123.763
000799.SZ,2022-10-17,0.0,123.46,123.47,123.43,62.0,765337.0,123.763
000799.SZ,2022-10-17,0.0,123.31,123.46,123.26,56.0,690667.0,123.762
000799.SZ,2022-10-17,0.0,123.3,123.32,123.3,46.0,567217.0,123.761
000799.SZ,2022-10-17,0.0,123.26,123.31,123.25,60.0,739624.0,123.76
000799.SZ,2022-10-17,0.0,123.26,123.26,123.23,56.0,690209.0,123.759
000799.SZ,2022-10-17,0.0,123.26,123.26,123.23,110.0,1355730.0,123.756
000799.SZ,2022-10-17,0.0,123.23,123.31,123.23,89.0,1097180.0,123.755
000799.SZ,2022-10-17,0.0,123.26,123.29,123.24,42.0,517682.0,123.754
000799.SZ,2022-10-17,0.0,123.46,123.46,123.26,51.0,628934.0,123.753
000799.SZ,2022-10-17,0.0,123.43,123.46,123.41,36.0,444406.0,123.753
000799.SZ,2022-10-17,0.0,123.48,123.49,123.4,56.0,691388.0,123.752
000799.SZ,2022-10-17,0.0,123.68,123.7,123.61,99.0,1224320.0,123.752
000799.SZ,2022-10-17,0.0,123.87,123.88,123.65,90.0,1113900.0,123.752
000799.SZ,2022-10-17,0.0,123.73,123.87,123.65,73.0,903785.0,123.752
000799.SZ,2022-10-17,0.0,123.65,123.73,123.54,101.0,1247920.0,123.751
