code,tdate,open,close,high,low,cjl,cje,cjjj
000858.SZ,2022-10-17,0.0,157.68,157.68,157.68,1596.0,25165700.0,157.68
000858.SZ,2022-10-17,0.0,157.67,158.0,157.1,3960.0,62378500.0,157.567
000858.SZ,2022-10-17,0.0,158.12,158.2,157.67,2404.0,37977400.0,157.691
000858.SZ,2022-10-17,0.0,158.11,158.5,157.98,2256.0,35653900.0,157.768
000858.SZ,2022-10-17,0.0,158.07,158.19,158.03,1333.0,21076900.0,157.808
000858.SZ,2022-10-17,0.0,158.1,158.19,157.78,2191.0,34620200.0,157.84
000858.SZ,2022-10-17,0.0,157.65,158.09,157.65,1586.0,25023900.0,157.834
000858.SZ,2022-10-17,0.0,158.0,158.01,157.63,1682.0,26533600.0,157.826
000858.SZ,2022-10-17,0.0,157.92,158.0,157.88,997.0,15747200.0,157.833
000858.SZ,2022-10-17,0.0,157.39,157.91,157.38,2652.0,41797600.0,157.804
000858.SZ,2022-10-17,0.0,156.93,157.34,156.85,3483.0,54707800.0,157.698
000858.SZ,2022-10-17,0.0,156.31,156.88,156.2,2816.0,44075700.0,157.575
000858.SZ,2022-10-17,0.0,156.02,156.25,156.0,3626.0,56600200.0,157.399
000858.SZ,2022-10-17,0.0,155.47,156.0,155.4,2829.0,44052400.0,157.257
000858.SZ,2022-10-17,0.0,155.75,155.9,155.38,3239.0,50415600.0,157.115
000858.SZ,2022-10-17,0.0,155.37,155.7,155.37,2831.0,44033600.0,157.002
000858.SZ,2022-10-17,0.0,155.63,155.7,155.29,3610.0,56134000.0,156.876
000858.SZ,2022-10-17,0.0,155.9,155.9,155.6,1257.0,19568500.0,156.841
000858.SZ,2022-10-17,0.0,156.31,156.31,155.92,809.0,12627500.0,156.828
000858.SZ,2022-10-17,0.0,156.45,156.46,156.26,1228.0,19203400.0,156.816
000858.SZ,2022-10-17,0.0,156.66,156.67,156.46,797.0,12477200.0,156.811
000858.SZ,2022-10-17,0.0,156.36,156.68,156.3,1602.0,25068900.0,156.801
000858.SZ,2022-10-17,0.0,156.64,156.65,156.43,523.0,8187110.0,156.798
000858.SZ,2022-10-17,0.0,156.63,156.67,156.63,721.0,11288900.0,156.796
000858.SZ,2022-10-17,0.0,156.43,156.66,156.43,696.0,10894900.0,156.792
000858.SZ,2022-10-17,0.0,156.85,156.85,156.37,1269.0,19856200.0,156.785
000858.SZ,2022-10-17,0.0,156.62,156.96,156.62,619.0,9703930.0,156.784
000858.SZ,2022-10-17,0.0,156.23,156.63,156.23,844.0,13198700.0,156.778
000858.SZ,2022-10-17,0.0,156.15,156.24,156.01,1425.0,22243700.0,156.76
000858.SZ,2022-10-17,0.0,156.11,156.15,156.11,436.0,6807780.0,156.755
000858.SZ,2022-10-17,0.0,155.9,156.12,155.9,1061.0,16555400.0,156.742
000858.SZ,2022-10-17,0.0,155.68,155.9,155.3,4234.0,65818100.0,156.652
000858.SZ,2022-10-17,0.0,155.63,155.81,155.46,1189.0,18507100.0,156.632
000858.SZ,2022-10-17,0.0,155.8,155.8,155.6,1190.0,18519200.0,156.613
000858.SZ,2022-10-17,0.0,156.0,156.0,155.8,678.0,10568600.0,156.605
000858.SZ,2022-10-17,0.0,156.26,156.26,155.94,709.0,11064100.0,156.599
000858.SZ,2022-10-17,0.0,156.36,156.48,156.2,1276.0,19937100.0,156.593
000858.SZ,2022-10-17,0.0,156.55,156.55,156.39,383.0,5999840.0,156.592
000858.SZ,2022-10-17,0.0,156.5,156.58,156.5,755.0,11817400.0,156.591
000858.SZ,2022-10-17,0.0,156.34,156.57,156.34,712.0,11142400.0,156.589
000858.SZ,2022-10-17,0.0,156.46,156.54,156.3,1049.0,16398000.0,156.585
000858.SZ,2022-10-17,0.0,156.39,156.57,156.39,615.0,9621240.0,156.584
000858.SZ,2022-10-17,0.0,156.57,156.58,156.47,281.0,4397790.0,156.584
000858.SZ,2022-10-17,0.0,156.86,156.86,156.6,650.0,10186400.0,156.585
000858.SZ,2022-10-17,0.0,156.98,156.99,156.88,377.0,5917200.0,156.587
000858.SZ,2022-10-17,0.0,157.04,157.18,156.99,1104.0,17343100.0,156.595
000858.SZ,2022-10-17,0.0,156.88,157.1,156.8,1045.0,16398700.0,156.599
000858.SZ,2022-10-17,0.0,156.67,156.82,156.67,417.0,6536240.0,156.6
000858.SZ,2022-10-17,0.0,156.65,156.66,156.62,294.0,4605420.0,156.6
000858.SZ,2022-10-17,0.0,156.72,156.72,156.65,188.0,2947330.0,156.601
000858.SZ,2022-10-17,0.0,156.68,156.75,156.68,571.0,8946270.0,156.602
000858.SZ,2022-10-17,0.0,156.47,156.71,156.47,574.0,8987440.0,156.601
000858.SZ,2022-10-17,0.0,156.24,156.47,156.24,413.0,6456460.0,156.6
000858.SZ,2022-10-17,0.0,156.41,156.41,156.24,505.0,7893080.0,156.598
000858.SZ,2022-10-17,0.0,156.77,156.77,156.45,395.0,6185410.0,156.598
000858.SZ,2022-10-17,0.0,156.62,156.73,156.6,478.0,7486780.0,156.598
000858.SZ,2022-10-17,0.0,156.5,156.61,156.41,679.0,10629400.0,156.597
000858.SZ,2022-10-17,0.0,156.49,156.5,156.19,627.0,9806120.0,156.596
000858.SZ,2022-10-17,0.0,156.25,156.5,156.22,373.0,5830500.0,156.595
000858.SZ,2022-10-17,0.0,156.38,156.42,156.2,500.0,7813330.0,156.592
000858.SZ,2022-10-17,0.0,156.5,156.5,156.38,306.0,4786280.0,156.592
000858.SZ,2022-10-17,0.0,156.71,156.71,156.55,388.0,6070440.0,156.591
000858.SZ,2022-10-17,0.0,156.58,156.69,156.45,310.0,4854580.0,156.591
000858.SZ,2022-10-17,0.0,156.67,156.67,156.4,391.0,6119130.0,156.591
000858.SZ,2022-10-17,0.0,156.75,156.75,156.6,423.0,6627020.0,156.591
000858.SZ,2022-10-17,0.0,156.9,156.9,156.75,351.0,5505550.0,156.592
000858.SZ,2022-10-17,0.0,156.75,156.92,156.7,450.0,7055380.0,156.593
000858.SZ,2022-10-17,0.0,156.7,156.78,156.69,211.0,3307000.0,156.594
