code,tdate,open,close,high,low,cjl,cje,cjjj
002142.SZ,2022-10-17,0.0,29.97,29.97,29.97,809.0,2424570.0,29.97
002142.SZ,2022-10-17,0.0,29.85,29.99,29.78,6752.0,20195200.0,29.916
002142.SZ,2022-10-17,0.0,29.87,29.9,29.81,1823.0,5440740.0,29.903
002142.SZ,2022-10-17,0.0,29.83,29.87,29.74,1916.0,5709390.0,29.885
002142.SZ,2022-10-17,0.0,29.67,29.82,29.65,1696.0,5038750.0,29.863
002142.SZ,2022-10-17,0.0,29.67,29.69,29.65,1234.0,3661250.0,29.846
002142.SZ,2022-10-17,0.0,29.69,29.69,29.65,1487.0,4411820.0,29.829
002142.SZ,2022-10-17,0.0,29.77,29.79,29.69,680.0,2023920.0,29.826
002142.SZ,2022-10-17,0.0,29.72,29.78,29.7,1642.0,4880370.0,29.817
002142.SZ,2022-10-17,0.0,29.73,29.73,29.68,1112.0,3303290.0,29.81
002142.SZ,2022-10-17,0.0,29.68,29.73,29.68,807.0,2396660.0,29.806
002142.SZ,2022-10-17,0.0,29.66,29.69,29.65,1512.0,4486340.0,29.796
002142.SZ,2022-10-17,0.0,29.66,29.7,29.65,812.0,2408940.0,29.792
002142.SZ,2022-10-17,0.0,29.61,29.66,29.61,1102.0,3265220.0,29.784
002142.SZ,2022-10-17,0.0,29.62,29.66,29.61,2881.0,8532750.0,29.766
002142.SZ,2022-10-17,0.0,29.62,29.63,29.6,1952.0,5780480.0,29.756
002142.SZ,2022-10-17,0.0,29.57,29.65,29.56,1940.0,5742970.0,29.746
002142.SZ,2022-10-17,0.0,29.55,29.58,29.53,1265.0,3738700.0,29.738
002142.SZ,2022-10-17,0.0,29.49,29.55,29.48,2551.0,7527310.0,29.721
002142.SZ,2022-10-17,0.0,29.51,29.51,29.39,5754.0,16937100.0,29.679
002142.SZ,2022-10-17,0.0,29.59,29.6,29.51,1765.0,5216260.0,29.674
002142.SZ,2022-10-17,0.0,29.45,29.59,29.44,1572.0,4636240.0,29.668
002142.SZ,2022-10-17,0.0,29.44,29.48,29.43,1604.0,4725070.0,29.66
002142.SZ,2022-10-17,0.0,29.44,29.47,29.41,2513.0,7396880.0,29.648
002142.SZ,2022-10-17,0.0,29.46,29.46,29.43,1127.0,3318250.0,29.643
002142.SZ,2022-10-17,0.0,29.55,29.58,29.46,1709.0,5041240.0,29.639
002142.SZ,2022-10-17,0.0,29.53,29.58,29.5,1737.0,5127930.0,29.635
002142.SZ,2022-10-17,0.0,29.53,29.53,29.48,1724.0,5086450.0,29.63
002142.SZ,2022-10-17,0.0,29.51,29.55,29.5,3870.0,11422200.0,29.623
002142.SZ,2022-10-17,0.0,29.49,29.55,29.49,1419.0,4187350.0,29.62
002142.SZ,2022-10-17,0.0,29.46,29.49,29.46,1175.0,3463080.0,29.617
002142.SZ,2022-10-17,0.0,29.5,29.5,29.39,5239.0,15416600.0,29.602
002142.SZ,2022-10-17,0.0,29.55,29.56,29.47,3095.0,9132370.0,29.597
002142.SZ,2022-10-17,0.0,29.5,29.54,29.5,889.0,2623520.0,29.596
002142.SZ,2022-10-17,0.0,29.47,29.52,29.47,1217.0,3590260.0,29.595
002142.SZ,2022-10-17,0.0,29.45,29.47,29.42,1044.0,3073730.0,29.592
002142.SZ,2022-10-17,0.0,29.45,29.47,29.41,2517.0,7408970.0,29.587
002142.SZ,2022-10-17,0.0,29.62,29.62,29.45,4869.0,14375000.0,29.583
002142.SZ,2022-10-17,0.0,29.6,29.64,29.55,1015.0,3003160.0,29.583
002142.SZ,2022-10-17,0.0,29.64,29.65,29.6,2172.0,6431890.0,29.584
002142.SZ,2022-10-17,0.0,29.71,29.71,29.64,2092.0,6210430.0,29.587
002142.SZ,2022-10-17,0.0,29.68,29.77,29.68,1746.0,5190960.0,29.59
002142.SZ,2022-10-17,0.0,29.68,29.7,29.66,1143.0,3391630.0,29.591
002142.SZ,2022-10-17,0.0,29.64,29.69,29.64,687.0,2037800.0,29.591
002142.SZ,2022-10-17,0.0,29.67,29.69,29.63,1275.0,3782380.0,29.592
002142.SZ,2022-10-17,0.0,29.6,29.68,29.6,733.0,2172460.0,29.593
002142.SZ,2022-10-17,0.0,29.61,29.61,29.56,1148.0,3396060.0,29.593
002142.SZ,2022-10-17,0.0,29.52,29.6,29.52,1141.0,3374440.0,29.592
002142.SZ,2022-10-17,0.0,29.58,29.58,29.52,1295.0,3827660.0,29.592
002142.SZ,2022-10-17,0.0,29.6,29.62,29.57,953.0,2820060.0,29.592
002142.SZ,2022-10-17,0.0,29.63,29.63,29.58,987.0,2922170.0,29.592
002142.SZ,2022-10-17,0.0,29.65,29.71,29.64,1247.0,3699780.0,29.593
002142.SZ,2022-10-17,0.0,29.68,29.69,29.64,745.0,2209840.0,29.593
002142.SZ,2022-10-17,0.0,29.69,29.69,29.66,1367.0,4055100.0,29.595
002142.SZ,2022-10-17,0.0,29.71,29.74,29.69,1340.0,3981330.0,29.596
002142.SZ,2022-10-17,0.0,29.7,29.72,29.68,1058.0,3142330.0,29.597
002142.SZ,2022-10-17,0.0,29.75,29.75,29.7,1184.0,3518030.0,29.599
002142.SZ,2022-10-17,0.0,29.73,29.76,29.73,777.0,2311230.0,29.6
002142.SZ,2022-10-17,0.0,29.74,29.75,29.73,842.0,2503970.0,29.601
002142.SZ,2022-10-17,0.0,29.77,29.77,29.74,718.0,2136490.0,29.602
002142.SZ,2022-10-17,0.0,29.82,29.82,29.75,803.0,2390780.0,29.603
002142.SZ,2022-10-17,0.0,29.82,29.83,29.78,1905.0,5676140.0,29.607
