code,tdate,open,close,high,low,cjl,cje,cjjj
002594.SZ,2022-10-17,0.0,263.0,263.0,263.0,1150.0,30245000.0,263.0
002594.SZ,2022-10-17,0.0,260.69,262.49,260.54,2665.0,69732096.0,262.063
002594.SZ,2022-10-17,0.0,260.17,260.55,259.0,3054.0,79392704.0,261.13
002594.SZ,2022-10-17,0.0,260.55,260.72,260.0,2148.0,55902400.0,260.916
002594.SZ,2022-10-17,0.0,261.35,261.35,260.5,1754.0,45739200.0,260.892
002594.SZ,2022-10-17,0.0,261.29,261.81,261.26,1740.0,45499500.0,260.978
002594.SZ,2022-10-17,0.0,260.01,261.18,260.01,1469.0,38283600.0,260.939
002594.SZ,2022-10-17,0.0,260.24,260.27,260.0,1581.0,41117500.0,260.851
002594.SZ,2022-10-17,0.0,260.0,260.36,260.0,1449.0,37694100.0,260.791
002594.SZ,2022-10-17,0.0,260.34,260.34,259.32,1967.0,51066100.0,260.669
002594.SZ,2022-10-17,0.0,260.11,260.33,259.99,892.0,23195800.0,260.641
002594.SZ,2022-10-17,0.0,259.39,260.28,259.39,1273.0,33092400.0,260.599
002594.SZ,2022-10-17,0.0,259.39,259.44,259.31,1241.0,32187400.0,260.531
002594.SZ,2022-10-17,0.0,259.03,259.39,259.03,1297.0,33623000.0,260.46
002594.SZ,2022-10-17,0.0,258.96,259.03,258.89,2265.0,58664000.0,260.333
002594.SZ,2022-10-17,0.0,259.03,259.1,258.87,1093.0,28309500.0,260.279
002594.SZ,2022-10-17,0.0,259.11,259.32,259.0,1895.0,49093600.0,260.2
002594.SZ,2022-10-17,0.0,259.58,259.58,259.05,329.0,8529500.0,260.189
002594.SZ,2022-10-17,0.0,260.36,260.62,259.67,557.0,14495500.0,260.19
002594.SZ,2022-10-17,0.0,260.1,260.55,260.02,520.0,13541800.0,260.194
002594.SZ,2022-10-17,0.0,259.5,260.22,259.5,496.0,12889600.0,260.189
002594.SZ,2022-10-17,0.0,259.25,259.5,259.0,1206.0,31253100.0,260.15
002594.SZ,2022-10-17,0.0,258.9,259.25,258.88,1235.0,31988000.0,260.108
002594.SZ,2022-10-17,0.0,258.01,258.88,258.0,2168.0,56002400.0,259.998
002594.SZ,2022-10-17,0.0,258.2,258.2,258.0,1568.0,40456300.0,259.914
002594.SZ,2022-10-17,0.0,258.5,258.5,258.12,1210.0,31238800.0,259.859
002594.SZ,2022-10-17,0.0,258.0,258.34,258.0,1239.0,31977800.0,259.803
002594.SZ,2022-10-17,0.0,258.18,258.27,258.06,628.0,16208900.0,259.777
002594.SZ,2022-10-17,0.0,258.02,258.26,258.02,664.0,17138900.0,259.75
002594.SZ,2022-10-17,0.0,258.18,258.18,258.02,451.0,11625400.0,259.731
002594.SZ,2022-10-17,0.0,257.79,258.21,257.79,1609.0,41515600.0,259.667
002594.SZ,2022-10-17,0.0,256.93,257.74,256.83,2454.0,63088300.0,259.527
002594.SZ,2022-10-17,0.0,256.91,256.98,256.69,977.0,25094600.0,259.47
002594.SZ,2022-10-17,0.0,257.81,257.81,256.96,450.0,11572900.0,259.448
002594.SZ,2022-10-17,0.0,258.05,258.22,257.65,407.0,10503200.0,259.436
002594.SZ,2022-10-17,0.0,257.36,258.06,257.26,747.0,19247400.0,259.409
002594.SZ,2022-10-17,0.0,257.8,257.88,257.38,374.0,9636690.0,259.395
002594.SZ,2022-10-17,0.0,257.5,257.88,257.5,576.0,14841800.0,259.375
002594.SZ,2022-10-17,0.0,257.4,257.6,257.36,539.0,13867900.0,259.353
002594.SZ,2022-10-17,0.0,257.6,257.6,257.38,278.0,7158020.0,259.343
002594.SZ,2022-10-17,0.0,258.2,258.2,257.8,303.0,7811430.0,259.335
002594.SZ,2022-10-17,0.0,258.4,258.63,258.19,521.0,13455400.0,259.324
