code,tdate,open,close,high,low,cjl,cje,cjjj
300750.SZ,2022-10-17,0.0,433.0,433.0,433.0,1198.0,51873400.0,433.0
300750.SZ,2022-10-17,0.0,431.91,432.5,430.5,2564.0,110645000.0,432.01
300750.SZ,2022-10-17,0.0,431.5,431.5,430.2,1502.0,64710600.0,431.673
300750.SZ,2022-10-17,0.0,430.5,431.98,430.5,1527.0,65844400.0,431.567
300750.SZ,2022-10-17,0.0,432.49,432.49,430.51,1170.0,50485200.0,431.557
300750.SZ,2022-10-17,0.0,431.01,432.4,431.01,881.0,38011200.0,431.547
300750.SZ,2022-10-17,0.0,430.29,431.35,430.29,1407.0,60619600.0,431.451
300750.SZ,2022-10-17,0.0,429.89,430.2,429.29,1966.0,84540200.0,431.206
300750.SZ,2022-10-17,0.0,429.85,430.0,429.55,1011.0,43449300.0,431.095
300750.SZ,2022-10-17,0.0,429.5,429.99,429.5,1124.0,48291400.0,430.981
300750.SZ,2022-10-17,0.0,429.68,429.68,429.09,914.0,39250400.0,430.889
300750.SZ,2022-10-17,0.0,429.64,429.64,429.5,585.0,25127600.0,430.839
300750.SZ,2022-10-17,0.0,429.97,429.99,429.6,613.0,26343100.0,430.798
300750.SZ,2022-10-17,0.0,429.3,429.99,429.24,976.0,41944200.0,430.728
300750.SZ,2022-10-17,0.0,428.2,429.09,428.2,1264.0,54191900.0,430.604
300750.SZ,2022-10-17,0.0,427.0,428.15,427.0,877.0,37520500.0,430.48
300750.SZ,2022-10-17,0.0,426.0,427.06,425.91,949.0,40475500.0,430.296
300750.SZ,2022-10-17,0.0,426.8,426.8,425.5,1917.0,81649000.0,429.924
300750.SZ,2022-10-17,0.0,427.36,427.36,426.55,603.0,25767100.0,429.848
300750.SZ,2022-10-17,0.0,426.87,427.69,426.87,1063.0,45439400.0,429.743
300750.SZ,2022-10-17,0.0,426.84,426.95,426.6,606.0,25856200.0,429.667
300750.SZ,2022-10-17,0.0,427.02,427.03,426.51,572.0,24428200.0,429.606
300750.SZ,2022-10-17,0.0,427.0,427.5,426.84,787.0,33618900.0,429.532
300750.SZ,2022-10-17,0.0,425.41,427.0,425.41,1078.0,45948600.0,429.396
300750.SZ,2022-10-17,0.0,424.3,425.51,423.97,2424.0,102947000.0,429.011
300750.SZ,2022-10-17,0.0,425.54,425.54,424.6,845.0,35894700.0,428.894
300750.SZ,2022-10-17,0.0,424.55,425.4,424.55,667.0,28345500.0,428.81
300750.SZ,2022-10-17,0.0,423.98,424.55,423.5,1031.0,43721000.0,428.657
300750.SZ,2022-10-17,0.0,424.31,424.5,423.6,524.0,22222300.0,428.584
300750.SZ,2022-10-17,0.0,424.0,424.54,424.0,942.0,39965500.0,428.463
300750.SZ,2022-10-17,0.0,423.41,424.0,423.35,847.0,35880500.0,428.344
300750.SZ,2022-10-17,0.0,423.08,423.3,421.8,2235.0,94434896.0,427.992
300750.SZ,2022-10-17,0.0,422.44,422.95,422.1,1510.0,63760600.0,427.765
300750.SZ,2022-10-17,0.0,423.97,423.97,422.44,820.0,34720900.0,427.674
300750.SZ,2022-10-17,0.0,424.2,424.39,423.89,746.0,31625500.0,427.603
300750.SZ,2022-10-17,0.0,423.61,424.35,423.0,1107.0,46916100.0,427.501
300750.SZ,2022-10-17,0.0,423.99,424.0,423.21,598.0,25335900.0,427.446
300750.SZ,2022-10-17,0.0,423.18,424.14,422.94,750.0,31763600.0,427.376
300750.SZ,2022-10-17,0.0,423.25,423.6,423.0,458.0,19377700.0,427.33
300750.SZ,2022-10-17,0.0,423.28,423.45,423.18,271.0,11471100.0,427.304
300750.SZ,2022-10-17,0.0,423.31,423.46,423.25,470.0,19898200.0,427.262
300750.SZ,2022-10-17,0.0,423.0,423.38,423.0,949.0,40155500.0,427.173
300750.SZ,2022-10-17,0.0,423.6,423.6,422.82,626.0,26478900.0,427.115
300750.SZ,2022-10-17,0.0,424.4,424.5,423.0,624.0,26444800.0,427.067
300750.SZ,2022-10-17,0.0,425.5,425.55,424.5,394.0,16734000.0,427.051
300750.SZ,2022-10-17,0.0,425.32,426.43,425.19,844.0,35951400.0,427.032
300750.SZ,2022-10-17,0.0,425.1,425.61,425.01,423.0,17989800.0,427.016
300750.SZ,2022-10-17,0.0,424.49,425.02,423.77,589.0,24990800.0,426.983
300750.SZ,2022-10-17,0.0,424.02,424.5,424.02,234.0,9928490.0,426.97
300750.SZ,2022-10-17,0.0,424.35,424.49,424.2,410.0,17395900.0,426.947
300750.SZ,2022-10-17,0.0,423.54,424.35,423.54,601.0,25473500.0,426.909
300750.SZ,2022-10-17,0.0,423.51,423.7,423.27,327.0,13848800.0,426.887
300750.SZ,2022-10-17,0.0,423.22,423.51,423.21,225.0,9524510.0,426.87
300750.SZ,2022-10-17,0.0,423.25,423.25,423.2,251.0,10622900.0,426.852
300750.SZ,2022-10-17,0.0,424.0,424.0,423.25,422.0,17874300.0,426.824
300750.SZ,2022-10-17,0.0,423.24,424.01,423.2,453.0,19181900.0,426.794
300750.SZ,2022-10-17,0.0,423.31,423.5,423.24,299.0,12656200.0,426.774
300750.SZ,2022-10-17,0.0,423.3,423.71,423.27,438.0,18541400.0,426.744
300750.SZ,2022-10-17,0.0,422.92,423.25,422.91,994.0,42050800.0,426.674
300750.SZ,2022-10-17,0.0,422.85,422.92,422.8,449.0,18987500.0,426.642
300750.SZ,2022-10-17,0.0,422.68,422.8,422.58,383.0,16189000.0,426.614
300750.SZ,2022-10-17,0.0,422.68,422.84,422.6,210.0,8876600.0,426.598
300750.SZ,2022-10-17,0.0,422.29,422.68,422.29,628.0,26533200.0,426.551
300750.SZ,2022-10-17,0.0,421.4,422.3,421.3,1582.0,66735000.0,426.417
300750.SZ,2022-10-17,0.0,421.76,421.81,421.21,584.0,24613300.0,426.366
300750.SZ,2022-10-17,0.0,421.5,421.98,421.48,428.0,18047100.0,426.33
300750.SZ,2022-10-17,0.0,421.3,421.48,421.3,527.0,22205400.0,426.285
300750.SZ,2022-10-17,0.0,421.01,421.3,421.0,636.0,26783600.0,426.228
300750.SZ,2022-10-17,0.0,420.88,421.07,420.75,933.0,39275200.0,426.144
300750.SZ,2022-10-17,0.0,421.77,421.77,420.89,753.0,31712300.0,426.081
300750.SZ,2022-10-17,0.0,421.98,421.98,421.7,298.0,12569200.0,426.06
300750.SZ,2022-10-17,0.0,422.3,422.31,421.97,303.0,12787400.0,426.04
300750.SZ,2022-10-17,0.0,422.38,422.4,422.22,338.0,14268100.0,426.018
300750.SZ,2022-10-17,0.0,422.85,422.85,422.4,202.0,8536990.0,426.006
300750.SZ,2022-10-17,0.0,423.9,423.9,422.85,303.0,12815800.0,425.992
300750.SZ,2022-10-17,0.0,424.6,424.6,424.4,219.0,9296420.0,425.986
300750.SZ,2022-10-17,0.0,423.9,424.66,423.5,283.0,12006200.0,425.978
300750.SZ,2022-10-17,0.0,424.1,424.42,423.82,134.0,5684580.0,425.975
300750.SZ,2022-10-17,0.0,424.49,424.65,424.21,152.0,6452480.0,425.971
300750.SZ,2022-10-17,0.0,424.65,424.8,424.5,196.0,8322340.0,425.967
300750.SZ,2022-10-17,0.0,424.55,424.63,424.5,186.0,7896980.0,425.962
300750.SZ,2022-10-17,0.0,424.0,424.5,424.0,189.0,8016020.0,425.957
300750.SZ,2022-10-17,0.0,423.52,423.9,423.51,139.0,5889490.0,425.952
300750.SZ,2022-10-17,0.0,423.48,423.75,423.4,190.0,8047450.0,425.945
300750.SZ,2022-10-17,0.0,423.0,423.54,423.0,197.0,8335880.0,425.936
300750.SZ,2022-10-17,0.0,423.0,423.02,422.9,149.0,6302460.0,425.929
300750.SZ,2022-10-17,0.0,423.1,423.1,422.94,201.0,8506880.0,425.92
300750.SZ,2022-10-17,0.0,423.15,423.29,422.98,114.0,4823230.0,425.915
300750.SZ,2022-10-17,0.0,423.0,423.28,422.99,157.0,6641600.0,425.907
300750.SZ,2022-10-17,0.0,424.36,424.4,422.99,164.0,6944160.0,425.901
300750.SZ,2022-10-17,0.0,423.36,424.0,423.36,119.0,5041080.0,425.897
300750.SZ,2022-10-17,0.0,423.26,423.41,423.26,98.0,4148500.0,425.893
300750.SZ,2022-10-17,0.0,423.07,423.41,423.03,270.0,11427300.0,425.882
300750.SZ,2022-10-17,0.0,424.0,424.5,423.0,247.0,10457200.0,425.872
300750.SZ,2022-10-17,0.0,424.0,424.47,423.59,206.0,8734820.0,425.866
300750.SZ,2022-10-17,0.0,423.96,424.36,423.59,322.0,13651200.0,425.857
300750.SZ,2022-10-17,0.0,423.8,423.97,423.63,58.0,2458220.0,425.855
300750.SZ,2022-10-17,0.0,423.5,423.8,423.33,70.0,2964880.0,425.852
300750.SZ,2022-10-17,0.0,423.12,423.79,423.12,318.0,13463000.0,425.84
300750.SZ,2022-10-17,0.0,423.0,423.79,423.0,262.0,11085300.0,425.829
300750.SZ,2022-10-17,0.0,423.5,424.14,422.97,111.0,4699640.0,425.825
300750.SZ,2022-10-17,0.0,423.44,423.97,423.23,129.0,5462400.0,425.821
300750.SZ,2022-10-17,0.0,423.33,423.44,423.32,84.0,3556180.0,425.817
300750.SZ,2022-10-17,0.0,423.32,423.33,423.31,55.0,2328260.0,425.815
300750.SZ,2022-10-17,0.0,423.3,423.32,423.3,43.0,1820240.0,425.814
300750.SZ,2022-10-17,0.0,423.35,423.35,423.31,71.0,3005550.0,425.811
300750.SZ,2022-10-17,0.0,423.3,423.42,423.29,136.0,5757460.0,425.806
300750.SZ,2022-10-17,0.0,423.29,423.3,423.28,87.0,3682600.0,425.803
300750.SZ,2022-10-17,0.0,424.0,424.42,423.3,158.0,6687720.0,425.797
300750.SZ,2022-10-17,0.0,424.4,424.55,424.14,219.0,9294250.0,425.793
300750.SZ,2022-10-17,0.0,424.32,424.42,424.24,82.0,3479820.0,425.791
300750.SZ,2022-10-17,0.0,424.23,424.36,424.22,90.0,3814240.0,425.789
300750.SZ,2022-10-17,0.0,424.19,424.32,424.16,56.0,2380130.0,425.788
300750.SZ,2022-10-17,0.0,425.8,425.81,424.32,410.0,17416600.0,425.782
300750.SZ,2022-10-17,0.0,425.76,425.95,425.6,184.0,7835160.0,425.783
300750.SZ,2022-10-17,0.0,425.01,425.61,425.01,86.0,3659150.0,425.782
300750.SZ,2022-10-17,0.0,425.24,425.35,425.01,57.0,2423760.0,425.782
300750.SZ,2022-10-17,0.0,424.96,425.28,424.82,142.0,6050520.0,425.78
300750.SZ,2022-10-17,0.0,425.0,425.0,424.0,142.0,6030840.0,425.778
300750.SZ,2022-10-17,0.0,424.83,425.0,424.81,64.0,2719330.0,425.777
300750.SZ,2022-10-17,0.0,424.38,424.81,424.19,170.0,7214590.0,425.774
300750.SZ,2022-10-17,0.0,424.02,424.71,424.01,361.0,15319300.0,425.766
300750.SZ,2022-10-17,0.0,424.02,424.68,424.01,144.0,6107100.0,425.763
300750.SZ,2022-10-17,0.0,424.5,424.6,423.99,169.0,7168470.0,425.759
300750.SZ,2022-10-17,0.0,424.09,424.5,424.0,169.0,7169510.0,425.755
300750.SZ,2022-10-17,0.0,425.5,425.51,424.09,278.0,11815600.0,425.752
300750.SZ,2022-10-17,0.0,425.58,425.59,425.5,111.0,4723590.0,425.752
300750.SZ,2022-10-17,0.0,426.87,426.87,425.56,312.0,13308600.0,425.754
300750.SZ,2022-10-17,0.0,427.47,427.5,426.88,313.0,13371000.0,425.761
300750.SZ,2022-10-17,0.0,428.07,428.18,427.46,618.0,26436900.0,425.778
300750.SZ,2022-10-17,0.0,428.29,428.49,428.16,318.0,13620300.0,425.79
300750.SZ,2022-10-17,0.0,427.02,428.3,427.02,236.0,10098300.0,425.797
300750.SZ,2022-10-17,0.0,427.02,427.02,426.64,239.0,10203800.0,425.8
300750.SZ,2022-10-17,0.0,427.16,427.32,426.94,178.0,7602370.0,425.804
300750.SZ,2022-10-17,0.0,426.66,427.2,426.65,120.0,5123110.0,425.805
300750.SZ,2022-10-17,0.0,426.0,426.71,426.0,108.0,4606450.0,425.807
300750.SZ,2022-10-17,0.0,426.01,426.45,425.75,200.0,8522080.0,425.807
300750.SZ,2022-10-17,0.0,426.8,426.8,426.01,107.0,4561580.0,425.808
300750.SZ,2022-10-17,0.0,426.88,427.01,426.6,136.0,5806680.0,425.81
300750.SZ,2022-10-17,0.0,426.92,427.18,426.87,189.0,8070000.0,425.813
300750.SZ,2022-10-17,0.0,426.75,426.92,426.75,168.0,7171370.0,425.815
300750.SZ,2022-10-17,0.0,426.06,426.79,426.06,612.0,26084900.0,425.819
300750.SZ,2022-10-17,0.0,426.91,426.92,426.12,264.0,11260500.0,425.821
300750.SZ,2022-10-17,0.0,427.32,427.32,426.91,115.0,4911170.0,425.823
300750.SZ,2022-10-17,0.0,427.28,427.39,427.17,380.0,16236700.0,425.831
300750.SZ,2022-10-17,0.0,427.28,427.3,427.28,301.0,12861300.0,425.837
