code,tdate,open,close,high,low,cjl,cje,cjjj
600000.SH,2022-10-17,0.0,7.05,7.05,7.05,2429.0,1712440.0,7.05
600000.SH,2022-10-17,0.0,7.05,7.05,7.03,6174.0,4347400.0,7.044
600000.SH,2022-10-17,0.0,7.05,7.05,7.03,4192.0,2951860.0,7.043
600000.SH,2022-10-17,0.0,7.05,7.05,7.04,1476.0,1039010.0,7.043
600000.SH,2022-10-17,0.0,7.03,7.05,7.03,622.0,437527.0,7.042
600000.SH,2022-10-17,0.0,7.03,7.04,7.03,1616.0,1136960.0,7.042
600000.SH,2022-10-17,0.0,7.03,7.04,7.03,741.0,521303.0,7.041
600000.SH,2022-10-17,0.0,7.03,7.04,7.03,1566.0,1101780.0,7.041
600000.SH,2022-10-17,0.0,7.03,7.04,7.02,1766.0,1241450.0,7.04
600000.SH,2022-10-17,0.0,7.03,7.03,7.02,1479.0,1040090.0,7.039
600000.SH,2022-10-17,0.0,7.03,7.04,7.02,1306.0,918385.0,7.039
600000.SH,2022-10-17,0.0,7.02,7.03,7.01,3760.0,2639900.0,7.037
600000.SH,2022-10-17,0.0,7.02,7.02,7.01,1854.0,1301140.0,7.035
600000.SH,2022-10-17,0.0,7.01,7.02,7.01,1359.0,952912.0,7.034
600000.SH,2022-10-17,0.0,7.01,7.02,7.0,6039.0,4234130.0,7.031
600000.SH,2022-10-17,0.0,7.02,7.02,7.01,219.0,153525.0,7.03
600000.SH,2022-10-17,0.0,7.01,7.02,7.01,1288.0,903924.0,7.03
600000.SH,2022-10-17,0.0,7.02,7.02,7.01,864.0,606518.0,7.03
600000.SH,2022-10-17,0.0,7.01,7.02,7.01,175.0,122804.0,7.03
600000.SH,2022-10-17,0.0,7.02,7.02,7.01,761.0,534138.0,7.03
600000.SH,2022-10-17,0.0,7.02,7.02,7.01,1672.0,1173750.0,7.029
600000.SH,2022-10-17,0.0,7.01,7.02,7.01,2358.0,1653340.0,7.028
600000.SH,2022-10-17,0.0,7.02,7.02,7.01,1896.0,1329180.0,7.027
600000.SH,2022-10-17,0.0,7.01,7.01,7.0,1763.0,1235870.0,7.027
