code,tdate,open,close,high,low,cjl,cje,cjjj
600028.SH,2022-10-17,0.0,4.31,4.31,4.31,6972.0,3005000.0,4.31
600028.SH,2022-10-17,0.0,4.32,4.32,4.31,19049.0,8220060.0,4.314
600028.SH,2022-10-17,0.0,4.31,4.32,4.3,22472.0,9679580.0,4.311
600028.SH,2022-10-17,0.0,4.3,4.31,4.3,3672.0,1580860.0,4.311
600028.SH,2022-10-17,0.0,4.3,4.31,4.29,22875.0,9837820.0,4.308
600028.SH,2022-10-17,0.0,4.3,4.3,4.29,7110.0,3054080.0,4.306
600028.SH,2022-10-17,0.0,4.29,4.3,4.29,6995.0,3004390.0,4.306
600028.SH,2022-10-17,0.0,4.3,4.3,4.29,5575.0,2393970.0,4.305
600028.SH,2022-10-17,0.0,4.3,4.3,4.29,17364.0,7451200.0,4.303
600028.SH,2022-10-17,0.0,4.3,4.3,4.29,3719.0,1597290.0,4.303
600028.SH,2022-10-17,0.0,4.29,4.3,4.29,6287.0,2698490.0,4.302
600028.SH,2022-10-17,0.0,4.29,4.3,4.28,70340.0,30135000.0,4.296
600028.SH,2022-10-17,0.0,4.27,4.29,4.27,35126.0,15007900.0,4.292
600028.SH,2022-10-17,0.0,4.27,4.28,4.27,6219.0,2657900.0,4.292
600028.SH,2022-10-17,0.0,4.28,4.28,4.27,6744.0,2881850.0,4.291
600028.SH,2022-10-17,0.0,4.27,4.28,4.27,3388.0,1449340.0,4.291
600028.SH,2022-10-17,0.0,4.28,4.28,4.27,10366.0,4436220.0,4.29
600028.SH,2022-10-17,0.0,4.28,4.28,4.27,10295.0,4405450.0,4.29
600028.SH,2022-10-17,0.0,4.28,4.29,4.28,10582.0,4529720.0,4.29
600028.SH,2022-10-17,0.0,4.28,4.29,4.28,5873.0,2515090.0,4.289
600028.SH,2022-10-17,0.0,4.29,4.29,4.28,3098.0,1326710.0,4.289
600028.SH,2022-10-17,0.0,4.28,4.29,4.28,2875.0,1230720.0,4.289
600028.SH,2022-10-17,0.0,4.28,4.29,4.28,10250.0,4387040.0,4.289
600028.SH,2022-10-17,0.0,4.28,4.28,4.27,3375.0,1442430.0,4.289
600028.SH,2022-10-17,0.0,4.27,4.28,4.27,4765.0,2036310.0,4.289
600028.SH,2022-10-17,0.0,4.27,4.28,4.27,3835.0,1638260.0,4.288
600028.SH,2022-10-17,0.0,4.27,4.28,4.27,4702.0,2008730.0,4.288
600028.SH,2022-10-17,0.0,4.27,4.28,4.27,3089.0,1320080.0,4.288
600028.SH,2022-10-17,0.0,4.27,4.28,4.27,7084.0,3027280.0,4.288
600028.SH,2022-10-17,0.0,4.27,4.28,4.27,3811.0,1629610.0,4.288
600028.SH,2022-10-17,0.0,4.27,4.28,4.27,2213.0,945810.0,4.287
