code,tdate,open,close,high,low,cjl,cje,cjjj
600036.SH,2022-10-17,0.0,30.7,30.7,30.7,10367.0,31826300.0,30.7
600036.SH,2022-10-17,0.0,30.8,30.8,30.65,19415.0,59649800.0,30.715
600036.SH,2022-10-17,0.0,30.83,30.86,30.76,12933.0,39847800.0,30.744
600036.SH,2022-10-17,0.0,30.98,30.98,30.86,8026.0,24793300.0,30.767
600036.SH,2022-10-17,0.0,30.9,30.99,30.86,7638.0,23618500.0,30.788
600036.SH,2022-10-17,0.0,30.98,30.99,30.87,6485.0,20046800.0,30.8
600036.SH,2022-10-17,0.0,30.92,31.0,30.91,7098.0,21972200.0,30.816
600036.SH,2022-10-17,0.0,30.87,30.98,30.87,7686.0,23776900.0,30.827
600036.SH,2022-10-17,0.0,30.9,30.93,30.89,6720.0,20761600.0,30.833
600036.SH,2022-10-17,0.0,30.86,30.92,30.8,7425.0,22905800.0,30.834
600036.SH,2022-10-17,0.0,30.8,30.85,30.8,4319.0,13309300.0,30.833
600036.SH,2022-10-17,0.0,30.74,30.8,30.73,5250.0,16152200.0,30.83
600036.SH,2022-10-17,0.0,30.71,30.77,30.71,6271.0,19273400.0,30.824
600036.SH,2022-10-17,0.0,30.7,30.72,30.69,6648.0,20413700.0,30.817
600036.SH,2022-10-17,0.0,30.68,30.73,30.67,6367.0,19538900.0,30.811
600036.SH,2022-10-17,0.0,30.66,30.69,30.63,8545.0,26197400.0,30.801
600036.SH,2022-10-17,0.0,30.72,30.73,30.66,6767.0,20776000.0,30.796
600036.SH,2022-10-17,0.0,30.69,30.72,30.66,7553.0,23178500.0,30.79
600036.SH,2022-10-17,0.0,30.62,30.67,30.6,10018.0,30687800.0,30.78
600036.SH,2022-10-17,0.0,30.62,30.64,30.59,10655.0,32614200.0,30.769
600036.SH,2022-10-17,0.0,30.56,30.63,30.55,13074.0,39997400.0,30.756
600036.SH,2022-10-17,0.0,30.6,30.61,30.54,6808.0,20815300.0,30.75
600036.SH,2022-10-17,0.0,30.55,30.61,30.55,5617.0,17178700.0,30.745
600036.SH,2022-10-17,0.0,30.62,30.64,30.54,9385.0,28696800.0,30.737
