code,tdate,open,close,high,low,cjl,cje,cjjj
600199.SH,2022-10-17,0.0,22.1,22.1,22.1,263.0,581230.0,22.1
600199.SH,2022-10-17,0.0,22.24,22.24,22.03,1749.0,3866790.0,22.108
600199.SH,2022-10-17,0.0,22.25,22.29,22.16,1414.0,3139760.0,22.148
600199.SH,2022-10-17,0.0,22.28,22.3,22.23,877.0,1951540.0,22.169
600199.SH,2022-10-17,0.0,22.31,22.31,22.26,616.0,1372430.0,22.183
600199.SH,2022-10-17,0.0,22.29,22.34,22.27,835.0,1861620.0,22.199
600199.SH,2022-10-17,0.0,22.32,22.32,22.29,558.0,1244690.0,22.209
600199.SH,2022-10-17,0.0,22.38,22.43,22.32,1405.0,3143540.0,22.239
600199.SH,2022-10-17,0.0,22.37,22.4,22.36,928.0,2076820.0,22.254
600199.SH,2022-10-17,0.0,22.3,22.36,22.3,665.0,1485590.0,22.26
600199.SH,2022-10-17,0.0,22.21,22.3,22.2,1500.0,3336360.0,22.258
600199.SH,2022-10-17,0.0,22.2,22.26,22.2,1040.0,2311670.0,22.255
600199.SH,2022-10-17,0.0,22.2,22.23,22.19,590.0,1310190.0,22.253
600199.SH,2022-10-17,0.0,22.15,22.2,22.15,1893.0,4197230.0,22.242
600199.SH,2022-10-17,0.0,22.13,22.15,22.12,773.0,1711250.0,22.237
600199.SH,2022-10-17,0.0,22.16,22.16,22.13,636.0,1408240.0,22.233
600199.SH,2022-10-17,0.0,22.25,22.25,22.17,646.0,1433770.0,22.231
600199.SH,2022-10-17,0.0,22.2,22.26,22.2,724.0,1609510.0,22.231
600199.SH,2022-10-17,0.0,22.3,22.3,22.22,459.0,1021260.0,22.232
600199.SH,2022-10-17,0.0,22.29,22.3,22.28,489.0,1089880.0,22.233
600199.SH,2022-10-17,0.0,22.37,22.37,22.31,823.0,1837900.0,22.238
600199.SH,2022-10-17,0.0,22.26,22.36,22.26,816.0,1818510.0,22.24
600199.SH,2022-10-17,0.0,22.29,22.29,22.26,456.0,1015800.0,22.24
600199.SH,2022-10-17,0.0,22.25,22.3,22.25,1097.0,2443000.0,22.242
600199.SH,2022-10-17,0.0,22.28,22.3,22.25,430.0,956938.0,22.242
600199.SH,2022-10-17,0.0,22.32,22.32,22.28,542.0,1208680.0,22.244
600199.SH,2022-10-17,0.0,22.31,22.34,22.3,504.0,1125060.0,22.245
600199.SH,2022-10-17,0.0,22.27,22.31,22.26,298.0,663940.0,22.246
600199.SH,2022-10-17,0.0,22.27,22.27,22.25,774.0,1723040.0,22.246
600199.SH,2022-10-17,0.0,22.28,22.29,22.27,154.0,343020.0,22.247
600199.SH,2022-10-17,0.0,22.25,22.29,22.25,347.0,772911.0,22.247
600199.SH,2022-10-17,0.0,22.3,22.3,22.25,652.0,1452170.0,22.248
600199.SH,2022-10-17,0.0,22.3,22.32,22.29,465.0,1037320.0,22.249
600199.SH,2022-10-17,0.0,22.28,22.3,22.27,213.0,474736.0,22.249
600199.SH,2022-10-17,0.0,22.27,22.28,22.26,429.0,955499.0,22.249
600199.SH,2022-10-17,0.0,22.3,22.3,22.26,604.0,1345720.0,22.25
600199.SH,2022-10-17,0.0,22.32,22.32,22.3,300.0,669958.0,22.251
600199.SH,2022-10-17,0.0,22.32,22.34,22.3,725.0,1617930.0,22.253
600199.SH,2022-10-17,0.0,22.32,22.34,22.32,378.0,844262.0,22.254
600199.SH,2022-10-17,0.0,22.3,22.32,22.3,303.0,675939.0,22.254
600199.SH,2022-10-17,0.0,22.28,22.3,22.27,180.0,401056.0,22.254
600199.SH,2022-10-17,0.0,22.3,22.3,22.27,254.0,565954.0,22.255
600199.SH,2022-10-17,0.0,22.3,22.3,22.29,194.0,432538.0,22.255
600199.SH,2022-10-17,0.0,22.29,22.3,22.27,304.0,677387.0,22.255
600199.SH,2022-10-17,0.0,22.28,22.29,22.27,297.0,661594.0,22.255
