code,tdate,open,close,high,low,cjl,cje,cjjj
600276.SH,2022-10-17,0.0,38.23,38.23,38.23,18177.0,69489104.0,38.23
600276.SH,2022-10-17,0.0,38.98,38.98,38.32,63784.0,246832000.0,38.594
600276.SH,2022-10-17,0.0,39.01,39.2,38.9,46085.0,179646000.0,38.734
600276.SH,2022-10-17,0.0,39.1,39.22,39.02,53453.0,209044992.0,38.844
600276.SH,2022-10-17,0.0,39.75,39.76,39.2,37291.0,147183008.0,38.951
600276.SH,2022-10-17,0.0,39.84,39.87,39.64,46828.0,186088000.0,39.09
600276.SH,2022-10-17,0.0,39.8,39.9,39.73,42092.0,167599008.0,39.189
600276.SH,2022-10-17,0.0,40.15,40.39,39.81,45068.0,180488000.0,39.299
600276.SH,2022-10-17,0.0,40.27,40.27,40.1,24155.0,96973800.0,39.353
600276.SH,2022-10-17,0.0,40.31,40.33,40.19,27320.0,109936000.0,39.413
600276.SH,2022-10-17,0.0,40.24,40.4,40.16,31441.0,126590000.0,39.474
600276.SH,2022-10-17,0.0,39.89,40.22,39.89,21602.0,86578000.0,39.503
600276.SH,2022-10-17,0.0,39.98,40.0,39.87,23872.0,95326896.0,39.524
600276.SH,2022-10-17,0.0,39.77,39.93,39.76,17460.0,69618800.0,39.537
600276.SH,2022-10-17,0.0,39.41,39.75,39.41,21884.0,86582304.0,39.538
600276.SH,2022-10-17,0.0,39.47,39.52,39.41,23066.0,91048496.0,39.535
600276.SH,2022-10-17,0.0,39.5,39.55,39.46,17516.0,69238896.0,39.535
600276.SH,2022-10-17,0.0,39.38,39.51,39.23,15536.0,61142300.0,39.53
600276.SH,2022-10-17,0.0,39.48,39.48,39.3,14129.0,55590100.0,39.526
600276.SH,2022-10-17,0.0,39.4,39.48,39.4,8520.0,33597500.0,39.524
600276.SH,2022-10-17,0.0,39.4,39.43,39.39,8998.0,35456300.0,39.522
600276.SH,2022-10-17,0.0,39.42,39.42,39.38,9469.0,37303000.0,39.521
600276.SH,2022-10-17,0.0,39.59,39.62,39.45,14544.0,57491900.0,39.521
600276.SH,2022-10-17,0.0,39.43,39.54,39.41,8329.0,32866600.0,39.52
600276.SH,2022-10-17,0.0,39.59,39.59,39.42,10475.0,41351000.0,39.519
600276.SH,2022-10-17,0.0,39.51,39.58,39.48,10333.0,40842200.0,39.519
600276.SH,2022-10-17,0.0,39.52,39.52,39.47,9494.0,37500000.0,39.519
600276.SH,2022-10-17,0.0,39.6,39.6,39.5,7536.0,29802900.0,39.519
600276.SH,2022-10-17,0.0,39.81,39.81,39.6,13293.0,52823500.0,39.524
600276.SH,2022-10-17,0.0,39.51,39.81,39.51,6638.0,26341700.0,39.525
600276.SH,2022-10-17,0.0,39.49,39.54,39.49,6173.0,24388000.0,39.525
600276.SH,2022-10-17,0.0,39.36,39.51,39.36,12116.0,47792700.0,39.524
600276.SH,2022-10-17,0.0,39.26,39.42,39.26,11302.0,44457500.0,39.521
600276.SH,2022-10-17,0.0,39.37,39.4,39.24,10653.0,41883200.0,39.518
600276.SH,2022-10-17,0.0,39.43,39.45,39.36,4583.0,18060900.0,39.517
600276.SH,2022-10-17,0.0,39.49,39.52,39.4,7216.0,28478200.0,39.517
600276.SH,2022-10-17,0.0,39.45,39.6,39.45,6982.0,27604900.0,39.517
600276.SH,2022-10-17,0.0,39.57,39.57,39.44,5866.0,23163700.0,39.517
600276.SH,2022-10-17,0.0,39.58,39.59,39.51,6620.0,26171900.0,39.517
600276.SH,2022-10-17,0.0,39.54,39.6,39.54,4406.0,17439900.0,39.517
600276.SH,2022-10-17,0.0,39.46,39.54,39.46,5548.0,21916800.0,39.517
600276.SH,2022-10-17,0.0,39.48,39.52,39.45,6243.0,24646200.0,39.517
600276.SH,2022-10-17,0.0,39.38,39.44,39.38,4879.0,19232600.0,39.516
600276.SH,2022-10-17,0.0,39.4,39.45,39.4,2921.0,11514400.0,39.516
600276.SH,2022-10-17,0.0,39.45,39.46,39.41,2654.0,10465900.0,39.515
600276.SH,2022-10-17,0.0,39.49,39.49,39.45,2781.0,10979200.0,39.515
600276.SH,2022-10-17,0.0,39.49,39.49,39.43,4602.0,18159300.0,39.515
600276.SH,2022-10-17,0.0,39.47,39.55,39.45,5348.0,21129900.0,39.515
600276.SH,2022-10-17,0.0,39.46,39.46,39.44,2429.0,9584830.0,39.515
600276.SH,2022-10-17,0.0,39.48,39.48,39.46,2331.0,9200250.0,39.515
600276.SH,2022-10-17,0.0,39.49,39.51,39.48,4025.0,15895800.0,39.514
600276.SH,2022-10-17,0.0,39.46,39.5,39.45,4878.0,19256200.0,39.514
600276.SH,2022-10-17,0.0,39.41,39.46,39.41,2873.0,11333900.0,39.514
600276.SH,2022-10-17,0.0,39.4,39.42,39.39,5382.0,21206000.0,39.513
600276.SH,2022-10-17,0.0,39.42,39.42,39.39,3212.0,12658600.0,39.513
600276.SH,2022-10-17,0.0,39.45,39.46,39.41,6243.0,24619300.0,39.512
600276.SH,2022-10-17,0.0,39.46,39.48,39.43,3112.0,12278100.0,39.512
600276.SH,2022-10-17,0.0,39.45,39.48,39.45,2257.0,8907540.0,39.512
600276.SH,2022-10-17,0.0,39.45,39.48,39.44,2464.0,9723140.0,39.512
600276.SH,2022-10-17,0.0,39.45,39.46,39.44,2292.0,9041000.0,39.512
600276.SH,2022-10-17,0.0,39.5,39.5,39.46,2212.0,8733220.0,39.512
600276.SH,2022-10-17,0.0,39.61,39.61,39.49,7694.0,30427700.0,39.512
600276.SH,2022-10-17,0.0,39.56,39.6,39.54,3979.0,15743900.0,39.512
600276.SH,2022-10-17,0.0,39.69,39.69,39.55,3949.0,15636700.0,39.513
600276.SH,2022-10-17,0.0,39.7,39.73,39.67,3976.0,15786200.0,39.513
600276.SH,2022-10-17,0.0,39.66,39.71,39.66,5540.0,21981700.0,39.515
