code,tdate,open,close,high,low,cjl,cje,cjjj
600519.SH,2022-10-17,0.0,1726.0,1726.0,1726.0,360.0,62161900.0,1726.0
600519.SH,2022-10-17,0.0,1721.1,1727.99,1718.09,1071.0,184508000.0,1723.76
600519.SH,2022-10-17,0.0,1716.0,1721.1,1715.55,675.0,115937000.0,1721.9
600519.SH,2022-10-17,0.0,1716.01,1720.79,1715.03,508.0,87185000.0,1720.8
600519.SH,2022-10-17,0.0,1720.0,1720.0,1715.5,368.0,63214300.0,1720.43
600519.SH,2022-10-17,0.0,1726.0,1727.96,1720.0,244.0,42076000.0,1720.73
600519.SH,2022-10-17,0.0,1720.1,1726.0,1720.0,343.0,59063500.0,1720.85
600519.SH,2022-10-17,0.0,1719.94,1722.01,1719.01,246.0,42317300.0,1720.81
600519.SH,2022-10-17,0.0,1719.0,1720.29,1717.77,310.0,53295100.0,1720.69
600519.SH,2022-10-17,0.0,1718.08,1719.0,1718.0,152.0,26114800.0,1720.59
600519.SH,2022-10-17,0.0,1720.01,1720.01,1718.07,112.0,19259300.0,1720.57
600519.SH,2022-10-17,0.0,1715.99,1720.3,1715.99,408.0,70090896.0,1720.34
600519.SH,2022-10-17,0.0,1710.5,1715.99,1710.5,448.0,76774600.0,1719.78
600519.SH,2022-10-17,0.0,1707.0,1710.5,1706.02,553.0,94469296.0,1718.68
600519.SH,2022-10-17,0.0,1703.09,1707.0,1703.09,569.0,97022496.0,1717.47
600519.SH,2022-10-17,0.0,1703.48,1703.49,1702.03,379.0,64546000.0,1716.66
600519.SH,2022-10-17,0.0,1705.2,1706.96,1703.47,400.0,68204600.0,1716.02
600519.SH,2022-10-17,0.0,1706.0,1706.99,1705.0,249.0,42465900.0,1715.66
600519.SH,2022-10-17,0.0,1705.0,1706.0,1703.66,398.0,67841000.0,1715.09
600519.SH,2022-10-17,0.0,1706.93,1706.93,1704.02,229.0,39049400.0,1714.81
600519.SH,2022-10-17,0.0,1710.0,1710.07,1706.0,234.0,39979200.0,1714.63
600519.SH,2022-10-17,0.0,1709.9,1710.0,1708.06,137.0,23411200.0,1714.54
600519.SH,2022-10-17,0.0,1707.86,1709.93,1707.86,149.0,25462100.0,1714.44
600519.SH,2022-10-17,0.0,1705.99,1707.9,1705.64,114.0,19458800.0,1714.34
600519.SH,2022-10-17,0.0,1704.34,1705.99,1704.11,236.0,40230700.0,1714.08
600519.SH,2022-10-17,0.0,1704.4,1704.4,1704.0,390.0,66461500.0,1713.67
600519.SH,2022-10-17,0.0,1702.0,1704.4,1702.0,463.0,78860200.0,1713.17
600519.SH,2022-10-17,0.0,1700.42,1702.0,1700.08,521.0,88623800.0,1712.56
600519.SH,2022-10-17,0.0,1700.0,1700.42,1700.0,480.0,81608496.0,1712.0
600519.SH,2022-10-17,0.0,1700.13,1700.99,1700.0,626.0,106426000.0,1711.35
600519.SH,2022-10-17,0.0,1698.5,1700.13,1698.18,596.0,101297000.0,1710.76
600519.SH,2022-10-17,0.0,1698.61,1698.92,1697.8,471.0,80005600.0,1710.28
600519.SH,2022-10-17,0.0,1699.11,1700.11,1698.45,204.0,34661700.0,1710.1
600519.SH,2022-10-17,0.0,1704.02,1704.1,1700.0,243.0,41391000.0,1709.96
600519.SH,2022-10-17,0.0,1703.68,1704.05,1702.0,127.0,21636900.0,1709.9
600519.SH,2022-10-17,0.0,1703.97,1703.97,1700.31,141.0,23991900.0,1709.81
600519.SH,2022-10-17,0.0,1702.36,1703.96,1702.18,89.0,15154900.0,1709.76
600519.SH,2022-10-17,0.0,1704.0,1705.76,1702.37,73.0,12436700.0,1709.73
600519.SH,2022-10-17,0.0,1705.76,1705.76,1704.84,100.0,17051700.0,1709.69
600519.SH,2022-10-17,0.0,1703.98,1706.76,1703.98,123.0,20972500.0,1709.65
600519.SH,2022-10-17,0.0,1705.0,1705.0,1703.0,85.0,14483100.0,1709.62
600519.SH,2022-10-17,0.0,1703.0,1705.1,1703.0,103.0,17553500.0,1709.57
600519.SH,2022-10-17,0.0,1704.65,1705.31,1703.0,111.0,18916300.0,1709.53
600519.SH,2022-10-17,0.0,1705.31,1705.35,1703.22,85.0,14488200.0,1709.5
600519.SH,2022-10-17,0.0,1705.35,1705.38,1703.36,126.0,21481100.0,1709.46
600519.SH,2022-10-17,0.0,1703.3,1705.99,1703.3,248.0,42282500.0,1709.38
600519.SH,2022-10-17,0.0,1703.01,1703.49,1703.0,180.0,30658400.0,1709.31
600519.SH,2022-10-17,0.0,1703.21,1703.24,1703.0,121.0,20607500.0,1709.25
600519.SH,2022-10-17,0.0,1703.35,1704.0,1703.0,90.0,15329400.0,1709.22
600519.SH,2022-10-17,0.0,1702.5,1703.99,1702.5,135.0,22991500.0,1709.16
600519.SH,2022-10-17,0.0,1700.01,1702.23,1700.0,261.0,44385500.0,1709.01
600519.SH,2022-10-17,0.0,1699.89,1700.04,1699.5,412.0,70039696.0,1708.77
600519.SH,2022-10-17,0.0,1699.5,1699.9,1699.09,144.0,24473000.0,1708.69
600519.SH,2022-10-17,0.0,1700.0,1700.01,1699.49,113.0,19208000.0,1708.62
600519.SH,2022-10-17,0.0,1702.0,1703.09,1701.58,85.0,14467800.0,1708.59
600519.SH,2022-10-17,0.0,1702.01,1703.0,1700.0,84.0,14290000.0,1708.55
600519.SH,2022-10-17,0.0,1702.02,1702.02,1699.99,150.0,25504200.0,1708.47
600519.SH,2022-10-17,0.0,1700.42,1702.02,1700.11,52.0,8847220.0,1708.45
600519.SH,2022-10-17,0.0,1702.0,1702.0,1700.18,83.0,14115400.0,1708.41
600519.SH,2022-10-17,0.0,1700.08,1702.0,1700.08,110.0,18705000.0,1708.36
600519.SH,2022-10-17,0.0,1700.09,1700.49,1699.61,234.0,39780400.0,1708.24
600519.SH,2022-10-17,0.0,1700.02,1702.0,1699.99,76.0,12921700.0,1708.2
600519.SH,2022-10-17,0.0,1701.1,1701.1,1700.01,80.0,13603900.0,1708.17
600519.SH,2022-10-17,0.0,1701.01,1701.13,1700.37,83.0,14117200.0,1708.13
600519.SH,2022-10-17,0.0,1701.1,1701.1,1700.86,72.0,12247100.0,1708.1
600519.SH,2022-10-17,0.0,1701.0,1702.07,1700.67,55.0,9365760.0,1708.07
600519.SH,2022-10-17,0.0,1700.68,1702.16,1700.68,66.0,11229000.0,1708.05
600519.SH,2022-10-17,0.0,1701.5,1702.45,1701.0,118.0,20080200.0,1708.01
600519.SH,2022-10-17,0.0,1702.0,1702.1,1701.0,92.0,15656300.0,1707.97
600519.SH,2022-10-17,0.0,1702.4,1704.36,1702.0,59.0,10045000.0,1707.95
600519.SH,2022-10-17,0.0,1701.53,1702.35,1701.1,56.0,9529960.0,1707.93
600519.SH,2022-10-17,0.0,1704.6,1704.6,1701.43,56.0,9532350.0,1707.92
600519.SH,2022-10-17,0.0,1705.0,1705.0,1704.0,49.0,8353230.0,1707.91
