code,tdate,open,close,high,low,cjl,cje,cjjj
600702.SH,2022-10-17,0.0,137.66,137.66,137.66,605.0,8328430.0,137.66
600702.SH,2022-10-17,0.0,140.59,140.59,137.0,2869.0,39872300.0,138.747
600702.SH,2022-10-17,0.0,141.88,142.05,140.26,3465.0,49053700.0,140.156
600702.SH,2022-10-17,0.0,142.3,142.3,141.14,3650.0,51805600.0,140.769
600702.SH,2022-10-17,0.0,142.8,143.09,142.45,4197.0,59930000.0,141.343
600702.SH,2022-10-17,0.0,143.3,144.0,142.81,2220.0,31874300.0,141.635
600702.SH,2022-10-17,0.0,143.3,143.88,143.3,2067.0,29679400.0,141.846
600702.SH,2022-10-17,0.0,143.55,143.6,143.03,2572.0,36864900.0,142.022
600702.SH,2022-10-17,0.0,143.21,143.65,142.96,1842.0,26379800.0,142.116
600702.SH,2022-10-17,0.0,143.0,143.35,143.0,1200.0,17189600.0,142.171
600702.SH,2022-10-17,0.0,142.59,143.08,142.5,1455.0,20769800.0,142.204
600702.SH,2022-10-17,0.0,143.19,143.47,142.49,1554.0,22235800.0,142.253
600702.SH,2022-10-17,0.0,142.9,143.23,142.7,1121.0,16033900.0,142.284
600702.SH,2022-10-17,0.0,142.45,142.93,142.45,837.0,11955000.0,142.299
600702.SH,2022-10-17,0.0,141.89,142.42,141.89,1693.0,24079500.0,142.295
600702.SH,2022-10-17,0.0,141.84,141.97,141.68,2244.0,31825700.0,142.264
600702.SH,2022-10-17,0.0,141.49,141.86,141.38,1815.0,25701800.0,142.23
600702.SH,2022-10-17,0.0,140.63,141.38,140.63,1220.0,17199400.0,142.189
600702.SH,2022-10-17,0.0,140.05,140.65,140.0,1697.0,23781300.0,142.098
600702.SH,2022-10-17,0.0,140.39,140.39,140.05,906.0,12706400.0,142.055
600702.SH,2022-10-17,0.0,140.9,140.9,140.39,852.0,11978400.0,142.024
600702.SH,2022-10-17,0.0,139.9,140.9,139.9,1120.0,15726500.0,141.98
600702.SH,2022-10-17,0.0,140.26,140.36,139.9,1409.0,19744000.0,141.919
600702.SH,2022-10-17,0.0,140.04,140.26,139.97,1047.0,14665200.0,141.875
600702.SH,2022-10-17,0.0,140.0,140.1,140.0,488.0,6834020.0,141.854
600702.SH,2022-10-17,0.0,140.66,140.66,140.0,578.0,8102030.0,141.833
600702.SH,2022-10-17,0.0,139.91,140.66,139.9,627.0,8784400.0,141.809
600702.SH,2022-10-17,0.0,139.96,140.11,139.91,946.0,13243900.0,141.772
600702.SH,2022-10-17,0.0,140.0,140.0,139.93,620.0,8673740.0,141.748
600702.SH,2022-10-17,0.0,140.3,140.33,140.0,341.0,4780480.0,141.737
600702.SH,2022-10-17,0.0,140.2,140.3,140.09,927.0,12993300.0,141.707
600702.SH,2022-10-17,0.0,140.69,140.69,140.01,924.0,12951700.0,141.678
600702.SH,2022-10-17,0.0,140.5,140.67,140.2,540.0,7590800.0,141.666
600702.SH,2022-10-17,0.0,141.0,141.2,140.5,1285.0,18116500.0,141.649
600702.SH,2022-10-17,0.0,141.31,141.49,141.0,600.0,8473130.0,141.644
600702.SH,2022-10-17,0.0,141.82,141.84,141.24,964.0,13636100.0,141.64
600702.SH,2022-10-17,0.0,141.86,141.88,141.7,573.0,8122630.0,141.641
600702.SH,2022-10-17,0.0,142.14,142.14,141.79,971.0,13777600.0,141.646
600702.SH,2022-10-17,0.0,142.1,142.16,141.98,459.0,6523030.0,141.65
600702.SH,2022-10-17,0.0,141.89,142.0,141.88,374.0,5310130.0,141.652
600702.SH,2022-10-17,0.0,142.13,142.17,141.8,375.0,5323770.0,141.654
600702.SH,2022-10-17,0.0,141.88,142.18,141.88,300.0,4261190.0,141.656
600702.SH,2022-10-17,0.0,142.1,142.19,141.89,348.0,4944880.0,141.659
600702.SH,2022-10-17,0.0,142.13,142.16,142.1,247.0,3510960.0,141.661
600702.SH,2022-10-17,0.0,142.35,142.35,142.1,726.0,10324000.0,141.668
600702.SH,2022-10-17,0.0,142.53,142.7,142.35,418.0,5958370.0,141.674
600702.SH,2022-10-17,0.0,142.38,142.48,142.38,279.0,3974220.0,141.678
600702.SH,2022-10-17,0.0,142.23,142.39,142.23,261.0,3715970.0,141.681
600702.SH,2022-10-17,0.0,141.99,142.28,141.99,234.0,3325430.0,141.683
600702.SH,2022-10-17,0.0,141.38,141.91,141.33,202.0,2861340.0,141.683
600702.SH,2022-10-17,0.0,141.38,141.45,141.32,265.0,3746230.0,141.681
600702.SH,2022-10-17,0.0,141.32,141.47,141.3,233.0,3294090.0,141.68
600702.SH,2022-10-17,0.0,140.97,141.32,140.83,201.0,2835890.0,141.678
600702.SH,2022-10-17,0.0,141.05,141.19,140.85,126.0,1776570.0,141.677
600702.SH,2022-10-17,0.0,141.39,141.39,141.05,119.0,1680900.0,141.676
600702.SH,2022-10-17,0.0,142.0,142.02,141.31,468.0,6639380.0,141.677
600702.SH,2022-10-17,0.0,141.72,142.02,141.51,195.0,2764940.0,141.678
600702.SH,2022-10-17,0.0,141.99,142.06,141.8,250.0,3549320.0,141.679
600702.SH,2022-10-17,0.0,141.81,142.04,141.81,345.0,4898580.0,141.681
600702.SH,2022-10-17,0.0,141.82,141.98,141.81,194.0,2752990.0,141.682
600702.SH,2022-10-17,0.0,142.0,142.0,141.82,441.0,6261730.0,141.684
600702.SH,2022-10-17,0.0,142.38,142.41,142.0,715.0,10172700.0,141.691
600702.SH,2022-10-17,0.0,142.31,142.39,142.28,192.0,2733120.0,141.693
600702.SH,2022-10-17,0.0,142.4,142.43,142.28,538.0,7659130.0,141.698
600702.SH,2022-10-17,0.0,142.35,142.39,142.28,236.0,3360150.0,141.701
600702.SH,2022-10-17,0.0,142.39,142.43,142.35,252.0,3588330.0,141.704
600702.SH,2022-10-17,0.0,142.01,142.38,142.01,342.0,4863900.0,141.707
600702.SH,2022-10-17,0.0,141.71,141.98,141.54,277.0,3926290.0,141.707
600702.SH,2022-10-17,0.0,141.58,141.71,141.45,226.0,3200210.0,141.706
600702.SH,2022-10-17,0.0,141.89,141.97,141.46,80.0,1133620.0,141.706
600702.SH,2022-10-17,0.0,142.0,142.01,141.95,136.0,1931140.0,141.707
600702.SH,2022-10-17,0.0,142.18,142.19,142.0,157.0,2230880.0,141.708
600702.SH,2022-10-17,0.0,142.28,142.36,142.15,317.0,4509290.0,141.711
600702.SH,2022-10-17,0.0,142.41,142.41,142.16,173.0,2462080.0,141.712
600702.SH,2022-10-17,0.0,142.48,142.48,142.28,211.0,3005920.0,141.715
600702.SH,2022-10-17,0.0,142.53,142.54,142.48,590.0,8407550.0,141.722
600702.SH,2022-10-17,0.0,142.53,142.55,142.5,240.0,3420690.0,141.725
600702.SH,2022-10-17,0.0,142.51,142.55,142.5,158.0,2251760.0,141.726
600702.SH,2022-10-17,0.0,142.52,142.53,142.51,117.0,1667420.0,141.728
600702.SH,2022-10-17,0.0,142.68,142.68,142.53,233.0,3322130.0,141.731
600702.SH,2022-10-17,0.0,142.79,142.8,142.66,588.0,8395480.0,141.74
600702.SH,2022-10-17,0.0,142.96,142.97,142.79,265.0,3786840.0,141.745
600702.SH,2022-10-17,0.0,142.92,142.96,142.92,200.0,2859060.0,141.748
600702.SH,2022-10-17,0.0,143.0,143.0,142.9,1178.0,16843600.0,141.77
600702.SH,2022-10-17,0.0,143.0,143.03,143.0,210.0,3003300.0,141.773
600702.SH,2022-10-17,0.0,142.99,143.01,142.98,342.0,4890490.0,141.779
