code,tdate,open,close,high,low,cjl,cje,cjjj
600779.SH,2022-10-17,0.0,62.08,62.08,62.08,182.0,1129860.0,62.08
600779.SH,2022-10-17,0.0,62.08,62.2,61.8,1068.0,6620050.0,61.999
600779.SH,2022-10-17,0.0,62.48,62.66,62.07,528.0,3290710.0,62.096
600779.SH,2022-10-17,0.0,62.25,62.39,62.2,398.0,2479340.0,62.132
600779.SH,2022-10-17,0.0,62.57,62.57,62.28,170.0,1061170.0,62.153
600779.SH,2022-10-17,0.0,62.8,62.88,62.39,676.0,4233470.0,62.259
600779.SH,2022-10-17,0.0,62.63,62.8,62.55,596.0,3734980.0,62.326
600779.SH,2022-10-17,0.0,62.89,62.89,62.6,644.0,4041990.0,62.392
600779.SH,2022-10-17,0.0,62.74,62.88,62.7,267.0,1675950.0,62.415
600779.SH,2022-10-17,0.0,62.99,63.0,62.7,954.0,5996800.0,62.492
600779.SH,2022-10-17,0.0,62.7,62.96,62.7,799.0,5018810.0,62.533
600779.SH,2022-10-17,0.0,62.77,62.89,62.66,559.0,3509390.0,62.554
600779.SH,2022-10-17,0.0,62.62,62.77,62.62,331.0,2075680.0,62.561
600779.SH,2022-10-17,0.0,62.2,62.6,62.2,616.0,3841110.0,62.545
600779.SH,2022-10-17,0.0,62.0,62.18,62.0,519.0,3220760.0,62.514
600779.SH,2022-10-17,0.0,62.01,62.06,61.86,481.0,2979770.0,62.483
600779.SH,2022-10-17,0.0,62.16,62.26,62.06,493.0,3062490.0,62.464
600779.SH,2022-10-17,0.0,62.1,62.16,62.01,356.0,2209060.0,62.449
600779.SH,2022-10-17,0.0,62.17,62.2,62.1,205.0,1274210.0,62.443
600779.SH,2022-10-17,0.0,62.13,62.17,62.13,176.0,1093770.0,62.437
600779.SH,2022-10-17,0.0,62.48,62.49,62.15,290.0,1805710.0,62.432
600779.SH,2022-10-17,0.0,62.31,62.49,62.3,327.0,2039840.0,62.431
600779.SH,2022-10-17,0.0,62.26,62.44,62.26,161.0,1000970.0,62.429
600779.SH,2022-10-17,0.0,62.22,62.3,62.17,208.0,1294650.0,62.426
600779.SH,2022-10-17,0.0,62.14,62.22,62.14,130.0,805150.0,62.423
600779.SH,2022-10-17,0.0,62.21,62.21,62.1,279.0,1734040.0,62.416
600779.SH,2022-10-17,0.0,62.12,62.34,62.12,259.0,1611120.0,62.412
600779.SH,2022-10-17,0.0,61.94,62.12,61.91,532.0,3299280.0,62.394
600779.SH,2022-10-17,0.0,62.0,62.0,61.91,276.0,1709320.0,62.384
600779.SH,2022-10-17,0.0,62.06,62.08,62.03,61.0,378452.0,62.383
600779.SH,2022-10-17,0.0,62.0,62.05,61.99,314.0,1946870.0,62.373
600779.SH,2022-10-17,0.0,62.08,62.08,61.93,289.0,1791300.0,62.365
600779.SH,2022-10-17,0.0,62.09,62.17,62.09,74.0,459764.0,62.363
600779.SH,2022-10-17,0.0,62.09,62.09,62.06,128.0,794588.0,62.361
600779.SH,2022-10-17,0.0,62.16,62.17,62.08,109.0,677296.0,62.359
600779.SH,2022-10-17,0.0,62.32,62.32,62.13,93.0,578403.0,62.358
600779.SH,2022-10-17,0.0,62.2,62.3,62.2,173.0,1076810.0,62.356
600779.SH,2022-10-17,0.0,62.44,62.44,62.19,120.0,751018.0,62.356
600779.SH,2022-10-17,0.0,62.5,62.5,62.45,169.0,1055840.0,62.357
600779.SH,2022-10-17,0.0,62.38,62.5,62.38,152.0,949567.0,62.359
600779.SH,2022-10-17,0.0,62.27,62.37,62.26,53.0,330123.0,62.358
600779.SH,2022-10-17,0.0,62.39,62.4,62.25,155.0,965668.0,62.358
600779.SH,2022-10-17,0.0,62.58,62.59,62.4,201.0,1256580.0,62.36
600779.SH,2022-10-17,0.0,62.54,62.57,62.5,120.0,750528.0,62.362
600779.SH,2022-10-17,0.0,62.5,62.54,62.5,94.0,587621.0,62.362
600779.SH,2022-10-17,0.0,62.48,62.53,62.48,86.0,537576.0,62.363
600779.SH,2022-10-17,0.0,62.48,62.5,62.46,38.0,237441.0,62.364
600779.SH,2022-10-17,0.0,62.42,62.48,62.41,59.0,368459.0,62.364
600779.SH,2022-10-17,0.0,62.35,62.42,62.33,75.0,467978.0,62.364
600779.SH,2022-10-17,0.0,62.37,62.39,62.33,30.0,187031.0,62.364
600779.SH,2022-10-17,0.0,62.2,62.36,62.2,102.0,635592.0,62.364
600779.SH,2022-10-17,0.0,62.26,62.3,62.2,96.0,597412.0,62.363
600779.SH,2022-10-17,0.0,62.22,62.24,62.21,38.0,236523.0,62.363
600779.SH,2022-10-17,0.0,62.22,62.24,62.21,50.0,311154.0,62.362
600779.SH,2022-10-17,0.0,62.34,62.35,62.22,179.0,1114520.0,62.361
600779.SH,2022-10-17,0.0,62.35,62.36,62.3,84.0,523687.0,62.361
600779.SH,2022-10-17,0.0,62.32,62.34,62.32,58.0,361505.0,62.361
600779.SH,2022-10-17,0.0,62.36,62.36,62.31,23.0,143342.0,62.361
600779.SH,2022-10-17,0.0,62.32,62.36,62.32,57.0,355313.0,62.361
600779.SH,2022-10-17,0.0,62.32,62.35,62.32,40.0,249334.0,62.361
600779.SH,2022-10-17,0.0,62.31,62.34,62.31,37.0,230598.0,62.361
600779.SH,2022-10-17,0.0,62.38,62.39,62.31,109.0,679583.0,62.36
600779.SH,2022-10-17,0.0,62.39,62.39,62.36,89.0,556906.0,62.361
600779.SH,2022-10-17,0.0,62.4,62.4,62.35,144.0,900472.0,62.361
600779.SH,2022-10-17,0.0,62.49,62.5,62.42,46.0,287399.0,62.361
600779.SH,2022-10-17,0.0,62.42,62.48,62.42,42.0,262312.0,62.361
600779.SH,2022-10-17,0.0,62.39,62.41,62.34,78.0,488837.0,62.361
600779.SH,2022-10-17,0.0,62.37,62.39,62.34,38.0,237022.0,62.361
600779.SH,2022-10-17,0.0,62.34,62.38,62.34,130.0,810732.0,62.361
600779.SH,2022-10-17,0.0,62.32,62.34,62.31,50.0,311609.0,62.361
600779.SH,2022-10-17,0.0,62.32,62.34,62.31,43.0,267970.0,62.361
600779.SH,2022-10-17,0.0,62.28,62.32,62.22,111.0,691428.0,62.361
600779.SH,2022-10-17,0.0,62.3,62.31,62.23,33.0,205461.0,62.361
600779.SH,2022-10-17,0.0,62.35,62.38,62.27,39.0,243030.0,62.36
600779.SH,2022-10-17,0.0,62.39,62.4,62.35,48.0,299476.0,62.36
600779.SH,2022-10-17,0.0,62.39,62.39,62.35,56.0,349257.0,62.361
600779.SH,2022-10-17,0.0,62.35,62.39,62.34,45.0,280676.0,62.361
600779.SH,2022-10-17,0.0,62.31,62.36,62.31,29.0,180774.0,62.361
600779.SH,2022-10-17,0.0,62.38,62.39,62.37,31.0,193387.0,62.361
600779.SH,2022-10-17,0.0,62.45,62.45,62.38,85.0,530377.0,62.361
600779.SH,2022-10-17,0.0,62.53,62.53,62.45,107.0,668550.0,62.362
600779.SH,2022-10-17,0.0,62.47,62.54,62.47,84.0,525093.0,62.362
600779.SH,2022-10-17,0.0,62.48,62.49,62.47,59.0,368670.0,62.363
600779.SH,2022-10-17,0.0,62.48,62.5,62.48,35.0,218728.0,62.363
600779.SH,2022-10-17,0.0,62.4,62.48,62.4,57.0,355860.0,62.363
600779.SH,2022-10-17,0.0,62.43,62.44,62.4,27.0,168530.0,62.363
600779.SH,2022-10-17,0.0,62.43,62.43,62.39,26.0,162270.0,62.363
600779.SH,2022-10-17,0.0,62.4,62.43,62.38,32.0,199720.0,62.363
600779.SH,2022-10-17,0.0,62.38,62.42,62.34,33.0,205850.0,62.363
600779.SH,2022-10-17,0.0,62.4,62.41,62.38,41.0,255838.0,62.364
600779.SH,2022-10-17,0.0,62.37,62.4,62.36,142.0,885632.0,62.364
600779.SH,2022-10-17,0.0,62.35,62.38,62.33,325.0,2026520.0,62.363
600779.SH,2022-10-17,0.0,62.38,62.38,62.31,33.0,205691.0,62.363
600779.SH,2022-10-17,0.0,62.37,62.38,62.32,13.0,81050.0,62.363
600779.SH,2022-10-17,0.0,62.38,62.38,62.34,30.0,187110.0,62.363
600779.SH,2022-10-17,0.0,62.34,62.37,62.33,11.0,68578.0,62.363
600779.SH,2022-10-17,0.0,62.36,62.37,62.34,29.0,180815.0,62.363
600779.SH,2022-10-17,0.0,62.36,62.36,62.35,54.0,336680.0,62.363
600779.SH,2022-10-17,0.0,62.44,62.49,62.36,148.0,923531.0,62.364
600779.SH,2022-10-17,0.0,62.46,62.5,62.44,27.0,168687.0,62.364
600779.SH,2022-10-17,0.0,62.49,62.49,62.45,20.0,124958.0,62.364
600779.SH,2022-10-17,0.0,62.47,62.49,62.47,31.0,193669.0,62.364
600779.SH,2022-10-17,0.0,62.43,62.47,62.43,55.0,343471.0,62.364
600779.SH,2022-10-17,0.0,62.43,62.45,62.36,34.0,212172.0,62.364
600779.SH,2022-10-17,0.0,62.4,62.43,62.37,44.0,274606.0,62.364
600779.SH,2022-10-17,0.0,62.41,62.43,62.39,25.0,156035.0,62.365
600779.SH,2022-10-17,0.0,62.38,62.39,62.36,24.0,149697.0,62.365
600779.SH,2022-10-17,0.0,62.38,62.38,62.36,54.0,336749.0,62.365
600779.SH,2022-10-17,0.0,62.42,62.42,62.37,129.0,804667.0,62.365
600779.SH,2022-10-17,0.0,62.48,62.48,62.42,43.0,268528.0,62.365
600779.SH,2022-10-17,0.0,62.44,62.48,62.44,15.0,93680.0,62.365
600779.SH,2022-10-17,0.0,62.44,62.47,62.44,50.0,312225.0,62.365
600779.SH,2022-10-17,0.0,62.45,62.47,62.44,18.0,112416.0,62.365
600779.SH,2022-10-17,0.0,62.5,62.51,62.45,139.0,868679.0,62.366
600779.SH,2022-10-17,0.0,62.49,62.5,62.49,24.0,149993.0,62.366
600779.SH,2022-10-17,0.0,62.45,62.49,62.45,63.0,393613.0,62.367
600779.SH,2022-10-17,0.0,62.43,62.45,62.43,24.0,149840.0,62.367
600779.SH,2022-10-17,0.0,62.48,62.49,62.42,22.0,138377.0,62.367
600779.SH,2022-10-17,0.0,62.47,62.48,62.43,33.0,206090.0,62.367
600779.SH,2022-10-17,0.0,62.45,62.47,62.44,31.0,193596.0,62.367
600779.SH,2022-10-17,0.0,62.47,62.47,62.44,34.0,212342.0,62.367
600779.SH,2022-10-17,0.0,62.38,62.48,62.37,223.0,1391370.0,62.368
600779.SH,2022-10-17,0.0,62.32,62.41,62.32,31.0,193311.0,62.368
600779.SH,2022-10-17,0.0,62.26,62.32,62.26,112.0,697773.0,62.368
600779.SH,2022-10-17,0.0,62.29,62.29,62.27,24.0,149481.0,62.368
600779.SH,2022-10-17,0.0,62.28,62.3,62.28,60.0,373718.0,62.367
600779.SH,2022-10-17,0.0,62.28,62.3,62.24,67.0,417144.0,62.367
600779.SH,2022-10-17,0.0,62.3,62.3,62.24,67.0,417089.0,62.367
600779.SH,2022-10-17,0.0,62.27,62.3,62.26,37.0,230394.0,62.366
600779.SH,2022-10-17,0.0,62.35,62.36,62.26,33.0,205589.0,62.366
600779.SH,2022-10-17,0.0,62.44,62.44,62.35,54.0,336864.0,62.366
600779.SH,2022-10-17,0.0,62.48,62.48,62.38,62.0,386998.0,62.366
600779.SH,2022-10-17,0.0,62.39,62.48,62.38,43.0,268293.0,62.367
600779.SH,2022-10-17,0.0,62.38,62.39,62.38,48.0,299430.0,62.367
600779.SH,2022-10-17,0.0,62.35,62.38,62.33,132.0,823120.0,62.367
