code,tdate,open,close,high,low,cjl,cje,cjjj
600809.SH,2022-10-17,0.0,276.0,276.0,276.0,237.0,6541200.0,276.0
600809.SH,2022-10-17,0.0,273.83,276.09,273.0,1295.0,35598700.0,275.065
600809.SH,2022-10-17,0.0,274.47,274.52,273.33,593.0,16227000.0,274.668
600809.SH,2022-10-17,0.0,273.21,274.52,273.0,1321.0,36116800.0,274.184
600809.SH,2022-10-17,0.0,273.74,273.89,273.23,446.0,12195300.0,274.098
600809.SH,2022-10-17,0.0,274.0,274.05,273.36,563.0,15412000.0,274.054
600809.SH,2022-10-17,0.0,273.3,273.94,273.3,624.0,17064000.0,273.981
600809.SH,2022-10-17,0.0,273.4,273.62,273.3,737.0,20148900.0,273.906
600809.SH,2022-10-17,0.0,273.0,273.35,273.0,832.0,22726300.0,273.812
600809.SH,2022-10-17,0.0,272.7,273.01,272.66,930.0,25379900.0,273.7
600809.SH,2022-10-17,0.0,272.0,272.7,272.0,948.0,25824200.0,273.557
600809.SH,2022-10-17,0.0,271.22,272.01,271.1,951.0,25840400.0,273.372
600809.SH,2022-10-17,0.0,271.25,271.76,271.21,841.0,22832800.0,273.219
600809.SH,2022-10-17,0.0,270.5,271.25,270.5,735.0,19924100.0,273.077
600809.SH,2022-10-17,0.0,269.6,270.48,269.59,1380.0,37264100.0,272.739
600809.SH,2022-10-17,0.0,269.81,269.93,269.51,620.0,16723600.0,272.592
600809.SH,2022-10-17,0.0,270.17,270.54,269.81,856.0,23114700.0,272.434
600809.SH,2022-10-17,0.0,270.0,270.17,269.82,594.0,16038200.0,272.335
600809.SH,2022-10-17,0.0,269.61,269.95,269.55,609.0,16428400.0,272.227
600809.SH,2022-10-17,0.0,270.16,270.16,269.55,701.0,18911700.0,272.119
600809.SH,2022-10-17,0.0,271.02,271.21,270.2,499.0,13513600.0,272.079
600809.SH,2022-10-17,0.0,270.08,270.98,270.0,388.0,10489900.0,272.039
600809.SH,2022-10-17,0.0,269.21,270.1,269.2,1239.0,33395500.0,271.873
600809.SH,2022-10-17,0.0,269.15,269.2,269.0,858.0,23090800.0,271.748
600809.SH,2022-10-17,0.0,269.01,269.13,269.0,484.0,13021200.0,271.68
600809.SH,2022-10-17,0.0,269.01,269.14,268.95,678.0,18238800.0,271.589
