code,tdate,open,close,high,low,cjl,cje,cjjj
600900.SH,2022-10-17,0.0,23.04,23.04,23.04,4115.0,9480960.0,23.04
600900.SH,2022-10-17,0.0,22.96,23.04,22.91,9033.0,20753900.0,22.996
600900.SH,2022-10-17,0.0,22.92,22.99,22.9,4586.0,10525800.0,22.985
600900.SH,2022-10-17,0.0,22.91,22.93,22.89,2357.0,5400950.0,22.976
600900.SH,2022-10-17,0.0,22.87,22.92,22.86,2194.0,5022450.0,22.968
600900.SH,2022-10-17,0.0,22.88,22.9,22.87,1254.0,2870130.0,22.964
600900.SH,2022-10-17,0.0,22.84,22.89,22.83,2901.0,6630050.0,22.952
600900.SH,2022-10-17,0.0,22.88,22.88,22.84,1655.0,3782910.0,22.946
600900.SH,2022-10-17,0.0,22.88,22.88,22.87,1137.0,2600610.0,22.944
600900.SH,2022-10-17,0.0,22.83,22.88,22.81,2793.0,6380050.0,22.935
600900.SH,2022-10-17,0.0,22.81,22.83,22.81,2384.0,5440360.0,22.927
600900.SH,2022-10-17,0.0,22.81,22.82,22.8,2575.0,5872590.0,22.918
600900.SH,2022-10-17,0.0,22.81,22.81,22.8,1312.0,2991920.0,22.915
600900.SH,2022-10-17,0.0,22.83,22.83,22.8,1974.0,4502490.0,22.909
600900.SH,2022-10-17,0.0,22.85,22.85,22.83,829.0,1893440.0,22.908
600900.SH,2022-10-17,0.0,22.85,22.85,22.84,1169.0,2671040.0,22.906
600900.SH,2022-10-17,0.0,22.85,22.9,22.84,1659.0,3795030.0,22.905
600900.SH,2022-10-17,0.0,22.86,22.86,22.83,725.0,1656150.0,22.904
600900.SH,2022-10-17,0.0,22.85,22.86,22.84,556.0,1270580.0,22.904
600900.SH,2022-10-17,0.0,22.86,22.88,22.84,966.0,2207880.0,22.903
600900.SH,2022-10-17,0.0,22.87,22.87,22.86,532.0,1216390.0,22.902
600900.SH,2022-10-17,0.0,22.85,22.86,22.84,1108.0,2532280.0,22.901
600900.SH,2022-10-17,0.0,22.82,22.88,22.82,1474.0,3367600.0,22.899
600900.SH,2022-10-17,0.0,22.83,22.85,22.81,1200.0,2738470.0,22.898
600900.SH,2022-10-17,0.0,22.84,22.85,22.83,375.0,856949.0,22.897
600900.SH,2022-10-17,0.0,22.86,22.87,22.84,1053.0,2406220.0,22.896
600900.SH,2022-10-17,0.0,22.87,22.87,22.84,1320.0,3017500.0,22.895
600900.SH,2022-10-17,0.0,22.89,22.9,22.86,1663.0,3804650.0,22.895
600900.SH,2022-10-17,0.0,22.89,22.92,22.88,1117.0,2557830.0,22.895
600900.SH,2022-10-17,0.0,22.9,22.92,22.88,916.0,2097740.0,22.895
600900.SH,2022-10-17,0.0,22.85,22.92,22.85,1387.0,3174780.0,22.895
600900.SH,2022-10-17,0.0,22.91,22.91,22.85,1120.0,2562210.0,22.895
600900.SH,2022-10-17,0.0,22.93,22.94,22.87,1010.0,2312810.0,22.895
