code,tdate,open,close,high,low,cjl,cje,cjjj
601111.SH,2022-10-17,0.0,10.21,10.21,10.21,435.0,444135.0,10.21
601111.SH,2022-10-17,0.0,10.22,10.22,10.15,5058.0,5155210.0,10.193
601111.SH,2022-10-17,0.0,10.17,10.23,10.15,8458.0,8603890.0,10.181
601111.SH,2022-10-17,0.0,10.14,10.17,10.12,2454.0,2490680.0,10.176
601111.SH,2022-10-17,0.0,10.16,10.16,10.11,2434.0,2467010.0,10.171
601111.SH,2022-10-17,0.0,10.17,10.17,10.15,826.0,839054.0,10.17
601111.SH,2022-10-17,0.0,10.18,10.18,10.16,1780.0,1808840.0,10.169
601111.SH,2022-10-17,0.0,10.16,10.18,10.16,720.0,731767.0,10.169
601111.SH,2022-10-17,0.0,10.13,10.16,10.12,4114.0,4174630.0,10.166
601111.SH,2022-10-17,0.0,10.11,10.13,10.09,3825.0,3865690.0,10.158
601111.SH,2022-10-17,0.0,10.09,10.12,10.09,2206.0,2228590.0,10.154
601111.SH,2022-10-17,0.0,10.08,10.1,10.03,4739.0,4773680.0,10.144
601111.SH,2022-10-17,0.0,10.06,10.08,10.04,4993.0,5021380.0,10.134
601111.SH,2022-10-17,0.0,10.04,10.06,10.04,1187.0,1193270.0,10.132
601111.SH,2022-10-17,0.0,10.07,10.09,10.05,1317.0,1326160.0,10.13
601111.SH,2022-10-17,0.0,10.07,10.07,10.06,868.0,873349.0,10.128
601111.SH,2022-10-17,0.0,10.08,10.09,10.07,887.0,893982.0,10.127
601111.SH,2022-10-17,0.0,10.09,10.09,10.07,1494.0,1505090.0,10.126
601111.SH,2022-10-17,0.0,10.07,10.09,10.07,828.0,834925.0,10.125
601111.SH,2022-10-17,0.0,10.06,10.07,10.04,5802.0,5833670.0,10.118
601111.SH,2022-10-17,0.0,10.08,10.08,10.07,608.0,612274.0,10.117
601111.SH,2022-10-17,0.0,10.05,10.07,10.05,1897.0,1908580.0,10.115
601111.SH,2022-10-17,0.0,10.05,10.06,10.04,1783.0,1791950.0,10.113
601111.SH,2022-10-17,0.0,10.04,10.06,10.03,2115.0,2123300.0,10.111
601111.SH,2022-10-17,0.0,10.05,10.05,10.03,1587.0,1592030.0,10.109
601111.SH,2022-10-17,0.0,10.05,10.05,10.03,662.0,664776.0,10.108
601111.SH,2022-10-17,0.0,10.03,10.05,10.03,905.0,908417.0,10.107
601111.SH,2022-10-17,0.0,10.03,10.04,10.02,2411.0,2418730.0,10.104
601111.SH,2022-10-17,0.0,10.02,10.03,10.01,3504.0,3511640.0,10.1
601111.SH,2022-10-17,0.0,10.04,10.04,10.02,2652.0,2659840.0,10.098
601111.SH,2022-10-17,0.0,10.05,10.06,10.03,1130.0,1134760.0,10.097
601111.SH,2022-10-17,0.0,10.05,10.05,10.04,968.0,971933.0,10.096
601111.SH,2022-10-17,0.0,10.06,10.07,10.04,755.0,758706.0,10.095
601111.SH,2022-10-17,0.0,10.07,10.08,10.06,873.0,879017.0,10.095
601111.SH,2022-10-17,0.0,10.06,10.07,10.05,718.0,722034.0,10.095
601111.SH,2022-10-17,0.0,10.07,10.07,10.05,1004.0,1009330.0,10.094
601111.SH,2022-10-17,0.0,10.07,10.07,10.06,486.0,489286.0,10.094
601111.SH,2022-10-17,0.0,10.08,10.08,10.05,1025.0,1031320.0,10.094
601111.SH,2022-10-17,0.0,10.1,10.1,10.07,1107.0,1116200.0,10.094
601111.SH,2022-10-17,0.0,10.11,10.11,10.09,642.0,648267.0,10.094
601111.SH,2022-10-17,0.0,10.12,10.13,10.1,1174.0,1186910.0,10.094
601111.SH,2022-10-17,0.0,10.13,10.14,10.11,2126.0,2152360.0,10.095
601111.SH,2022-10-17,0.0,10.13,10.14,10.12,713.0,722279.0,10.095
601111.SH,2022-10-17,0.0,10.11,10.13,10.11,733.0,741567.0,10.095
601111.SH,2022-10-17,0.0,10.12,10.14,10.11,1412.0,1429250.0,10.096
601111.SH,2022-10-17,0.0,10.11,10.15,10.11,893.0,904398.0,10.096
601111.SH,2022-10-17,0.0,10.12,10.12,10.09,1527.0,1543260.0,10.096
601111.SH,2022-10-17,0.0,10.09,10.11,10.09,601.0,607051.0,10.096
601111.SH,2022-10-17,0.0,10.1,10.1,10.09,323.0,325983.0,10.096
601111.SH,2022-10-17,0.0,10.08,10.1,10.08,966.0,974254.0,10.096
601111.SH,2022-10-17,0.0,10.08,10.08,10.07,667.0,671974.0,10.096
601111.SH,2022-10-17,0.0,10.06,10.08,10.06,323.0,325163.0,10.096
601111.SH,2022-10-17,0.0,10.07,10.07,10.06,558.0,561854.0,10.096
601111.SH,2022-10-17,0.0,10.1,10.11,10.06,1648.0,1663340.0,10.095
601111.SH,2022-10-17,0.0,10.18,10.18,10.11,2428.0,2461030.0,10.096
601111.SH,2022-10-17,0.0,10.17,10.18,10.15,1308.0,1330160.0,10.097
601111.SH,2022-10-17,0.0,10.18,10.19,10.16,1182.0,1203770.0,10.098
601111.SH,2022-10-17,0.0,10.17,10.19,10.17,867.0,883297.0,10.099
601111.SH,2022-10-17,0.0,10.15,10.18,10.15,519.0,527736.0,10.1
601111.SH,2022-10-17,0.0,10.16,10.17,10.15,187.0,189984.0,10.1
601111.SH,2022-10-17,0.0,10.17,10.17,10.15,459.0,466532.0,10.1
601111.SH,2022-10-17,0.0,10.2,10.2,10.15,1099.0,1118120.0,10.101
601111.SH,2022-10-17,0.0,10.18,10.19,10.17,1109.0,1129140.0,10.102
601111.SH,2022-10-17,0.0,10.17,10.18,10.16,217.0,220561.0,10.102
601111.SH,2022-10-17,0.0,10.17,10.17,10.16,160.0,162636.0,10.102
601111.SH,2022-10-17,0.0,10.17,10.17,10.15,330.0,335240.0,10.102
601111.SH,2022-10-17,0.0,10.18,10.18,10.16,353.0,359066.0,10.102
601111.SH,2022-10-17,0.0,10.17,10.17,10.16,287.0,291877.0,10.102
601111.SH,2022-10-17,0.0,10.17,10.18,10.17,207.0,210612.0,10.103
601111.SH,2022-10-17,0.0,10.19,10.19,10.16,484.0,492844.0,10.103
601111.SH,2022-10-17,0.0,10.2,10.2,10.18,562.0,572883.0,10.103
601111.SH,2022-10-17,0.0,10.19,10.2,10.18,179.0,182406.0,10.104
601111.SH,2022-10-17,0.0,10.2,10.2,10.18,918.0,934947.0,10.104
601111.SH,2022-10-17,0.0,10.22,10.22,10.19,2638.0,2691430.0,10.107
601111.SH,2022-10-17,0.0,10.23,10.24,10.21,744.0,760629.0,10.107
601111.SH,2022-10-17,0.0,10.22,10.23,10.22,734.0,750903.0,10.108
601111.SH,2022-10-17,0.0,10.22,10.23,10.21,186.0,190053.0,10.108
601111.SH,2022-10-17,0.0,10.22,10.22,10.21,238.0,243226.0,10.109
601111.SH,2022-10-17,0.0,10.24,10.24,10.21,524.0,536130.0,10.109
601111.SH,2022-10-17,0.0,10.23,10.24,10.22,452.0,462300.0,10.11
601111.SH,2022-10-17,0.0,10.24,10.24,10.22,1045.0,1069930.0,10.111
601111.SH,2022-10-17,0.0,10.24,10.25,10.23,1178.0,1206750.0,10.112
601111.SH,2022-10-17,0.0,10.25,10.26,10.24,1334.0,1367280.0,10.114
601111.SH,2022-10-17,0.0,10.25,10.26,10.24,862.0,883641.0,10.115
601111.SH,2022-10-17,0.0,10.27,10.27,10.25,1611.0,1653130.0,10.117
601111.SH,2022-10-17,0.0,10.28,10.29,10.27,1346.0,1383480.0,10.119
601111.SH,2022-10-17,0.0,10.28,10.29,10.27,1064.0,1094140.0,10.12
601111.SH,2022-10-17,0.0,10.27,10.29,10.27,1709.0,1756740.0,10.122
601111.SH,2022-10-17,0.0,10.28,10.28,10.26,952.0,977722.0,10.123
601111.SH,2022-10-17,0.0,10.3,10.3,10.27,1389.0,1428940.0,10.125
601111.SH,2022-10-17,0.0,10.3,10.31,10.29,1032.0,1062950.0,10.127
601111.SH,2022-10-17,0.0,10.31,10.32,10.3,732.0,754569.0,10.128
601111.SH,2022-10-17,0.0,10.27,10.3,10.27,522.0,537441.0,10.128
601111.SH,2022-10-17,0.0,10.29,10.29,10.27,293.0,301175.0,10.129
601111.SH,2022-10-17,0.0,10.27,10.29,10.27,133.0,136714.0,10.129
601111.SH,2022-10-17,0.0,10.28,10.28,10.27,307.0,315394.0,10.129
601111.SH,2022-10-17,0.0,10.29,10.29,10.27,447.0,459795.0,10.13
601111.SH,2022-10-17,0.0,10.29,10.3,10.28,661.0,680241.0,10.13
601111.SH,2022-10-17,0.0,10.29,10.3,10.29,574.0,590656.0,10.131
601111.SH,2022-10-17,0.0,10.28,10.3,10.28,358.0,368251.0,10.132
601111.SH,2022-10-17,0.0,10.29,10.29,10.28,224.0,230293.0,10.132
601111.SH,2022-10-17,0.0,10.28,10.29,10.28,616.0,633345.0,10.133
601111.SH,2022-10-17,0.0,10.26,10.28,10.26,616.0,633025.0,10.133
601111.SH,2022-10-17,0.0,10.26,10.27,10.26,202.0,207354.0,10.133
601111.SH,2022-10-17,0.0,10.27,10.27,10.26,180.0,184749.0,10.134
601111.SH,2022-10-17,0.0,10.25,10.27,10.25,187.0,191863.0,10.134
601111.SH,2022-10-17,0.0,10.27,10.27,10.26,269.0,276033.0,10.134
601111.SH,2022-10-17,0.0,10.28,10.28,10.26,267.0,274232.0,10.134
601111.SH,2022-10-17,0.0,10.28,10.28,10.27,160.0,164421.0,10.134
601111.SH,2022-10-17,0.0,10.28,10.29,10.27,520.0,534610.0,10.135
601111.SH,2022-10-17,0.0,10.28,10.28,10.27,65.0,66779.0,10.135
601111.SH,2022-10-17,0.0,10.27,10.29,10.27,416.0,427550.0,10.136
601111.SH,2022-10-17,0.0,10.29,10.3,10.27,3163.0,3256340.0,10.139
601111.SH,2022-10-17,0.0,10.31,10.33,10.31,2740.0,2825560.0,10.143
601111.SH,2022-10-17,0.0,10.3,10.32,10.3,377.0,388559.0,10.143
601111.SH,2022-10-17,0.0,10.31,10.31,10.3,582.0,599530.0,10.144
601111.SH,2022-10-17,0.0,10.31,10.31,10.3,374.0,385497.0,10.144
601111.SH,2022-10-17,0.0,10.31,10.31,10.3,377.0,388630.0,10.145
601111.SH,2022-10-17,0.0,10.34,10.34,10.3,3740.0,3859930.0,10.149
601111.SH,2022-10-17,0.0,10.33,10.34,10.33,1262.0,1304280.0,10.151
601111.SH,2022-10-17,0.0,10.32,10.33,10.31,479.0,493689.0,10.151
601111.SH,2022-10-17,0.0,10.3,10.31,10.29,1580.0,1628290.0,10.153
601111.SH,2022-10-17,0.0,10.34,10.34,10.3,3699.0,3817900.0,10.157
601111.SH,2022-10-17,0.0,10.34,10.35,10.33,2414.0,2495340.0,10.16
601111.SH,2022-10-17,0.0,10.33,10.33,10.33,580.0,599145.0,10.16
601111.SH,2022-10-17,0.0,10.34,10.34,10.32,1066.0,1101780.0,10.162
601111.SH,2022-10-17,0.0,10.36,10.36,10.33,5823.0,6028980.0,10.168
601111.SH,2022-10-17,0.0,10.34,10.36,10.34,1646.0,1703550.0,10.17
601111.SH,2022-10-17,0.0,10.33,10.34,10.33,193.0,199448.0,10.17
601111.SH,2022-10-17,0.0,10.34,10.35,10.33,638.0,659924.0,10.171
601111.SH,2022-10-17,0.0,10.34,10.35,10.33,162.0,167559.0,10.171
601111.SH,2022-10-17,0.0,10.35,10.35,10.33,1261.0,1304060.0,10.173
601111.SH,2022-10-17,0.0,10.34,10.35,10.34,2009.0,2079330.0,10.175
601111.SH,2022-10-17,0.0,10.37,10.37,10.34,2103.0,2178130.0,10.177
601111.SH,2022-10-17,0.0,10.37,10.38,10.36,2484.0,2576200.0,10.18
601111.SH,2022-10-17,0.0,10.37,10.38,10.36,2757.0,2859040.0,10.183
601111.SH,2022-10-17,0.0,10.4,10.42,10.38,5369.0,5579150.0,10.189
601111.SH,2022-10-17,0.0,10.42,10.43,10.41,2533.0,2637470.0,10.192
601111.SH,2022-10-17,0.0,10.43,10.43,10.42,1820.0,1897620.0,10.194
601111.SH,2022-10-17,0.0,10.43,10.44,10.43,1946.0,2030690.0,10.197
601111.SH,2022-10-17,0.0,10.42,10.43,10.4,1766.0,1839400.0,10.199
601111.SH,2022-10-17,0.0,10.44,10.44,10.42,2390.0,2492030.0,10.202
601111.SH,2022-10-17,0.0,10.45,10.45,10.43,3487.0,3640600.0,10.206
601111.SH,2022-10-17,0.0,10.46,10.46,10.44,2607.0,2724570.0,10.209
601111.SH,2022-10-17,0.0,10.45,10.47,10.45,2274.0,2378760.0,10.212
601111.SH,2022-10-17,0.0,10.47,10.47,10.45,1885.0,1971590.0,10.214
601111.SH,2022-10-17,0.0,10.49,10.49,10.46,5579.0,5846960.0,10.221
601111.SH,2022-10-17,0.0,10.49,10.5,10.48,2554.0,2679730.0,10.225
601111.SH,2022-10-17,0.0,10.48,10.49,10.48,2437.0,2555210.0,10.228
601111.SH,2022-10-17,0.0,10.48,10.49,10.48,2080.0,2180580.0,10.23
601111.SH,2022-10-17,0.0,10.51,10.52,10.48,6455.0,6779850.0,10.238
601111.SH,2022-10-17,0.0,10.51,10.51,10.5,1260.0,1323580.0,10.24
601111.SH,2022-10-17,0.0,10.5,10.51,10.5,1197.0,1257030.0,10.241
601111.SH,2022-10-17,0.0,10.48,10.5,10.48,917.0,962295.0,10.242
601111.SH,2022-10-17,0.0,10.5,10.5,10.48,2395.0,2512890.0,10.245
601111.SH,2022-10-17,0.0,10.5,10.51,10.49,1926.0,2022530.0,10.247
601111.SH,2022-10-17,0.0,10.5,10.5,10.5,1112.0,1167620.0,10.248
601111.SH,2022-10-17,0.0,10.5,10.5,10.5,699.0,733950.0,10.249
