code,tdate,open,close,high,low,cjl,cje,cjjj
601166.SH,2022-10-17,0.0,16.45,16.45,16.45,6399.0,10526400.0,16.45
601166.SH,2022-10-17,0.0,16.52,16.53,16.42,10123.0,16668000.0,16.46
601166.SH,2022-10-17,0.0,16.52,16.52,16.49,4872.0,8042100.0,16.47
601166.SH,2022-10-17,0.0,16.51,16.52,16.49,4904.0,8092400.0,16.476
601166.SH,2022-10-17,0.0,16.5,16.52,16.49,4896.0,8078220.0,16.48
601166.SH,2022-10-17,0.0,16.51,16.51,16.49,2377.0,3921580.0,16.481
601166.SH,2022-10-17,0.0,16.52,16.52,16.49,4170.0,6882320.0,16.484
601166.SH,2022-10-17,0.0,16.52,16.53,16.51,4022.0,6641130.0,16.486
601166.SH,2022-10-17,0.0,16.51,16.52,16.5,1900.0,3136590.0,16.487
601166.SH,2022-10-17,0.0,16.5,16.51,16.48,2874.0,4741550.0,16.488
601166.SH,2022-10-17,0.0,16.48,16.51,16.48,1567.0,2584460.0,16.488
601166.SH,2022-10-17,0.0,16.48,16.49,16.46,2739.0,4512440.0,16.487
601166.SH,2022-10-17,0.0,16.46,16.48,16.46,2018.0,3322440.0,16.487
601166.SH,2022-10-17,0.0,16.46,16.47,16.45,2766.0,4552250.0,16.485
601166.SH,2022-10-17,0.0,16.47,16.48,16.46,2294.0,3779010.0,16.485
601166.SH,2022-10-17,0.0,16.46,16.47,16.45,1908.0,3141240.0,16.484
601166.SH,2022-10-17,0.0,16.47,16.48,16.46,2325.0,3829910.0,16.484
601166.SH,2022-10-17,0.0,16.46,16.48,16.46,1183.0,1948320.0,16.483
601166.SH,2022-10-17,0.0,16.45,16.47,16.45,2580.0,4245600.0,16.482
601166.SH,2022-10-17,0.0,16.44,16.45,16.43,2888.0,4748350.0,16.481
601166.SH,2022-10-17,0.0,16.45,16.46,16.44,1219.0,2005600.0,16.48
601166.SH,2022-10-17,0.0,16.44,16.45,16.43,3031.0,4981510.0,16.478
601166.SH,2022-10-17,0.0,16.45,16.45,16.44,1821.0,2992910.0,16.477
601166.SH,2022-10-17,0.0,16.43,16.45,16.43,2179.0,3581350.0,16.476
601166.SH,2022-10-17,0.0,16.43,16.44,16.43,1217.0,1999910.0,16.475
601166.SH,2022-10-17,0.0,16.46,16.46,16.43,3462.0,5692970.0,16.474
601166.SH,2022-10-17,0.0,16.43,16.46,16.43,3169.0,5209890.0,16.473
601166.SH,2022-10-17,0.0,16.46,16.47,16.43,1665.0,2737890.0,16.472
601166.SH,2022-10-17,0.0,16.45,16.46,16.44,1527.0,2512200.0,16.472
601166.SH,2022-10-17,0.0,16.46,16.47,16.44,1723.0,2835390.0,16.472
601166.SH,2022-10-17,0.0,16.45,16.46,16.44,1692.0,2782780.0,16.471
601166.SH,2022-10-17,0.0,16.46,16.47,16.44,1990.0,3275040.0,16.471
601166.SH,2022-10-17,0.0,16.45,16.47,16.44,1908.0,3140020.0,16.471
601166.SH,2022-10-17,0.0,16.46,16.46,16.44,2279.0,3748960.0,16.47
601166.SH,2022-10-17,0.0,16.44,16.46,16.43,2708.0,4452320.0,16.469
601166.SH,2022-10-17,0.0,16.44,16.44,16.43,2150.0,3534030.0,16.469
601166.SH,2022-10-17,0.0,16.43,16.44,16.43,4009.0,6587810.0,16.467
601166.SH,2022-10-17,0.0,16.46,16.47,16.43,1457.0,2395860.0,16.467
601166.SH,2022-10-17,0.0,16.46,16.48,16.45,2378.0,3914920.0,16.467
601166.SH,2022-10-17,0.0,16.46,16.48,16.46,1691.0,2785400.0,16.467
601166.SH,2022-10-17,0.0,16.49,16.49,16.46,1587.0,2615350.0,16.467
601166.SH,2022-10-17,0.0,16.48,16.5,16.48,3229.0,5324500.0,16.468
601166.SH,2022-10-17,0.0,16.49,16.5,16.48,2090.0,3445700.0,16.468
601166.SH,2022-10-17,0.0,16.5,16.5,16.48,1545.0,2548710.0,16.468
601166.SH,2022-10-17,0.0,16.5,16.51,16.5,1537.0,2536870.0,16.469
601166.SH,2022-10-17,0.0,16.5,16.51,16.49,1859.0,3066990.0,16.469
601166.SH,2022-10-17,0.0,16.5,16.51,16.5,1110.0,1831520.0,16.47
601166.SH,2022-10-17,0.0,16.5,16.51,16.5,919.0,1516480.0,16.47
601166.SH,2022-10-17,0.0,16.5,16.51,16.5,2007.0,3313180.0,16.47
601166.SH,2022-10-17,0.0,16.49,16.51,16.49,1618.0,2668990.0,16.471
601166.SH,2022-10-17,0.0,16.5,16.5,16.49,2197.0,3623910.0,16.471
601166.SH,2022-10-17,0.0,16.5,16.51,16.5,982.0,1620380.0,16.471
601166.SH,2022-10-17,0.0,16.5,16.51,16.5,1256.0,2072620.0,16.472
601166.SH,2022-10-17,0.0,16.5,16.51,16.49,1147.0,1892220.0,16.472
601166.SH,2022-10-17,0.0,16.49,16.5,16.49,1029.0,1697500.0,16.472
601166.SH,2022-10-17,0.0,16.49,16.5,16.48,1629.0,2686570.0,16.472
601166.SH,2022-10-17,0.0,16.5,16.5,16.49,1285.0,2119610.0,16.473
601166.SH,2022-10-17,0.0,16.5,16.5,16.48,1286.0,2120640.0,16.473
601166.SH,2022-10-17,0.0,16.48,16.5,16.48,1610.0,2654780.0,16.473
601166.SH,2022-10-17,0.0,16.5,16.5,16.48,1215.0,2003010.0,16.473
601166.SH,2022-10-17,0.0,16.5,16.5,16.49,672.0,1108570.0,16.473
601166.SH,2022-10-17,0.0,16.5,16.5,16.49,1033.0,1704960.0,16.473
601166.SH,2022-10-17,0.0,16.54,16.54,16.49,8799.0,14531200.0,16.476
601166.SH,2022-10-17,0.0,16.52,16.53,16.52,1211.0,2001440.0,16.476
601166.SH,2022-10-17,0.0,16.52,16.53,16.51,1104.0,1823920.0,16.476
601166.SH,2022-10-17,0.0,16.52,16.53,16.51,737.0,1217350.0,16.476
601166.SH,2022-10-17,0.0,16.53,16.54,16.51,2617.0,4324940.0,16.477
601166.SH,2022-10-17,0.0,16.54,16.54,16.52,1117.0,1846450.0,16.478
601166.SH,2022-10-17,0.0,16.54,16.54,16.53,2269.0,3752590.0,16.479
601166.SH,2022-10-17,0.0,16.54,16.55,16.53,1306.0,2160310.0,16.479
601166.SH,2022-10-17,0.0,16.54,16.54,16.53,1092.0,1806450.0,16.479
601166.SH,2022-10-17,0.0,16.53,16.54,16.53,282.0,466192.0,16.48
601166.SH,2022-10-17,0.0,16.54,16.55,16.53,528.0,873182.0,16.48
601166.SH,2022-10-17,0.0,16.54,16.55,16.54,104.0,172068.0,16.48
601166.SH,2022-10-17,0.0,16.55,16.55,16.54,596.0,985950.0,16.48
601166.SH,2022-10-17,0.0,16.54,16.54,16.54,419.0,693063.0,16.48
601166.SH,2022-10-17,0.0,16.53,16.54,16.53,640.0,1058260.0,16.48
601166.SH,2022-10-17,0.0,16.53,16.54,16.52,1096.0,1811850.0,16.481
601166.SH,2022-10-17,0.0,16.54,16.54,16.52,622.0,1028150.0,16.481
601166.SH,2022-10-17,0.0,16.53,16.54,16.53,429.0,709195.0,16.481
601166.SH,2022-10-17,0.0,16.53,16.54,16.53,579.0,957391.0,16.481
601166.SH,2022-10-17,0.0,16.53,16.54,16.53,423.0,699421.0,16.481
601166.SH,2022-10-17,0.0,16.53,16.54,16.53,478.0,790405.0,16.481
601166.SH,2022-10-17,0.0,16.53,16.54,16.52,1168.0,1930550.0,16.482
601166.SH,2022-10-17,0.0,16.53,16.54,16.53,1514.0,2503810.0,16.482
601166.SH,2022-10-17,0.0,16.53,16.54,16.53,1079.0,1784460.0,16.483
601166.SH,2022-10-17,0.0,16.53,16.54,16.53,417.0,689458.0,16.483
601166.SH,2022-10-17,0.0,16.53,16.54,16.52,3488.0,5765210.0,16.484
601166.SH,2022-10-17,0.0,16.54,16.54,16.53,842.0,1392270.0,16.484
601166.SH,2022-10-17,0.0,16.55,16.55,16.53,1121.0,1854210.0,16.484
601166.SH,2022-10-17,0.0,16.55,16.55,16.54,951.0,1573400.0,16.485
601166.SH,2022-10-17,0.0,16.55,16.55,16.54,2472.0,4090690.0,16.485
601166.SH,2022-10-17,0.0,16.56,16.56,16.55,863.0,1428920.0,16.486
601166.SH,2022-10-17,0.0,16.55,16.56,16.55,845.0,1399050.0,16.486
601166.SH,2022-10-17,0.0,16.55,16.56,16.55,575.0,951982.0,16.486
601166.SH,2022-10-17,0.0,16.56,16.56,16.55,1338.0,2215600.0,16.487
601166.SH,2022-10-17,0.0,16.55,16.56,16.55,273.0,452040.0,16.487
601166.SH,2022-10-17,0.0,16.56,16.56,16.55,1086.0,1797810.0,16.487
601166.SH,2022-10-17,0.0,16.57,16.57,16.55,1679.0,2780760.0,16.488
601166.SH,2022-10-17,0.0,16.58,16.58,16.56,2559.0,4240290.0,16.489
601166.SH,2022-10-17,0.0,16.61,16.61,16.56,6401.0,10619600.0,16.492
601166.SH,2022-10-17,0.0,16.59,16.61,16.58,2598.0,4311760.0,16.494
601166.SH,2022-10-17,0.0,16.59,16.6,16.58,788.0,1307550.0,16.494
601166.SH,2022-10-17,0.0,16.59,16.59,16.58,997.0,1653810.0,16.494
601166.SH,2022-10-17,0.0,16.57,16.59,16.56,1364.0,2260820.0,16.495
601166.SH,2022-10-17,0.0,16.57,16.57,16.56,935.0,1549000.0,16.495
601166.SH,2022-10-17,0.0,16.59,16.59,16.56,823.0,1364020.0,16.496
601166.SH,2022-10-17,0.0,16.58,16.59,16.57,390.0,646612.0,16.496
601166.SH,2022-10-17,0.0,16.57,16.58,16.57,520.0,862035.0,16.496
601166.SH,2022-10-17,0.0,16.58,16.58,16.57,1709.0,2832390.0,16.497
601166.SH,2022-10-17,0.0,16.57,16.59,16.57,360.0,596862.0,16.497
601166.SH,2022-10-17,0.0,16.59,16.59,16.57,339.0,562111.0,16.497
601166.SH,2022-10-17,0.0,16.59,16.59,16.58,1368.0,2268660.0,16.497
601166.SH,2022-10-17,0.0,16.58,16.59,16.57,2295.0,3805420.0,16.498
601166.SH,2022-10-17,0.0,16.56,16.58,16.56,1548.0,2564430.0,16.499
601166.SH,2022-10-17,0.0,16.57,16.58,16.56,115.0,190627.0,16.499
601166.SH,2022-10-17,0.0,16.57,16.57,16.56,554.0,917819.0,16.499
601166.SH,2022-10-17,0.0,16.57,16.57,16.56,940.0,1557420.0,16.499
601166.SH,2022-10-17,0.0,16.57,16.58,16.57,452.0,749135.0,16.5
601166.SH,2022-10-17,0.0,16.57,16.58,16.57,283.0,469109.0,16.5
601166.SH,2022-10-17,0.0,16.58,16.58,16.57,265.0,439070.0,16.5
601166.SH,2022-10-17,0.0,16.58,16.58,16.57,1357.0,2249220.0,16.5
601166.SH,2022-10-17,0.0,16.58,16.59,16.57,673.0,1116720.0,16.5
601166.SH,2022-10-17,0.0,16.59,16.59,16.58,1143.0,1896010.0,16.501
601166.SH,2022-10-17,0.0,16.58,16.59,16.58,954.0,1582560.0,16.501
601166.SH,2022-10-17,0.0,16.58,16.59,16.58,449.0,744627.0,16.501
601166.SH,2022-10-17,0.0,16.57,16.59,16.57,883.0,1463970.0,16.502
601166.SH,2022-10-17,0.0,16.58,16.59,16.58,990.0,1641500.0,16.502
601166.SH,2022-10-17,0.0,16.58,16.59,16.57,670.0,1110960.0,16.502
601166.SH,2022-10-17,0.0,16.6,16.6,16.58,1365.0,2264340.0,16.503
601166.SH,2022-10-17,0.0,16.59,16.6,16.59,423.0,701900.0,16.503
601166.SH,2022-10-17,0.0,16.58,16.6,16.58,561.0,930596.0,16.503
601166.SH,2022-10-17,0.0,16.59,16.59,16.58,393.0,651820.0,16.503
601166.SH,2022-10-17,0.0,16.59,16.59,16.58,403.0,668545.0,16.503
601166.SH,2022-10-17,0.0,16.59,16.59,16.58,449.0,744786.0,16.504
601166.SH,2022-10-17,0.0,16.58,16.59,16.58,432.0,716466.0,16.504
601166.SH,2022-10-17,0.0,16.58,16.59,16.58,524.0,869109.0,16.504
601166.SH,2022-10-17,0.0,16.59,16.59,16.58,420.0,696435.0,16.504
601166.SH,2022-10-17,0.0,16.59,16.59,16.58,355.0,588691.0,16.504
601166.SH,2022-10-17,0.0,16.58,16.59,16.58,442.0,732991.0,16.504
601166.SH,2022-10-17,0.0,16.59,16.59,16.58,532.0,882123.0,16.505
601166.SH,2022-10-17,0.0,16.57,16.59,16.57,1547.0,2563680.0,16.505
601166.SH,2022-10-17,0.0,16.58,16.58,16.56,956.0,1583690.0,16.505
601166.SH,2022-10-17,0.0,16.58,16.58,16.57,355.0,588540.0,16.505
601166.SH,2022-10-17,0.0,16.57,16.58,16.57,231.0,382885.0,16.505
601166.SH,2022-10-17,0.0,16.57,16.58,16.57,500.0,828837.0,16.506
601166.SH,2022-10-17,0.0,16.56,16.58,16.56,1011.0,1675030.0,16.506
601166.SH,2022-10-17,0.0,16.58,16.58,16.56,775.0,1284070.0,16.506
601166.SH,2022-10-17,0.0,16.58,16.58,16.57,141.0,233676.0,16.506
601166.SH,2022-10-17,0.0,16.58,16.59,16.57,1076.0,1783800.0,16.506
601166.SH,2022-10-17,0.0,16.58,16.58,16.57,601.0,996253.0,16.507
601166.SH,2022-10-17,0.0,16.58,16.58,16.57,418.0,692892.0,16.507
601166.SH,2022-10-17,0.0,16.57,16.58,16.57,597.0,989324.0,16.507
601166.SH,2022-10-17,0.0,16.57,16.57,16.56,1916.0,3175230.0,16.507
601166.SH,2022-10-17,0.0,16.56,16.57,16.56,1345.0,2227420.0,16.508
601166.SH,2022-10-17,0.0,16.55,16.56,16.55,1721.0,2848940.0,16.508
601166.SH,2022-10-17,0.0,16.56,16.56,16.55,2215.0,3666600.0,16.508
601166.SH,2022-10-17,0.0,16.56,16.57,16.54,2506.0,4148960.0,16.509
601166.SH,2022-10-17,0.0,16.56,16.56,16.55,1816.0,3006070.0,16.509
601166.SH,2022-10-17,0.0,16.55,16.56,16.54,1329.0,2199680.0,16.509
601166.SH,2022-10-17,0.0,16.56,16.56,16.54,1403.0,2321820.0,16.51
601166.SH,2022-10-17,0.0,16.56,16.56,16.54,1361.0,2252310.0,16.51
601166.SH,2022-10-17,0.0,16.56,16.56,16.54,1196.0,1979530.0,16.51
601166.SH,2022-10-17,0.0,16.55,16.56,16.54,655.0,1083980.0,16.51
601166.SH,2022-10-17,0.0,16.56,16.56,16.54,1042.0,1724420.0,16.51
