code,tdate,open,close,high,low,cjl,cje,cjjj
601169.SH,2022-10-17,0.0,4.13,4.13,4.13,1063.0,439019.0,4.13
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,6331.0,2613950.0,4.129
601169.SH,2022-10-17,0.0,4.12,4.14,4.12,6013.0,2481500.0,4.128
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,1277.0,526580.0,4.128
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,497.0,205147.0,4.128
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,775.0,319776.0,4.128
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,1500.0,618563.0,4.127
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,918.0,379001.0,4.128
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,261.0,107721.0,4.128
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,1088.0,448767.0,4.127
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,2014.0,830299.0,4.127
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,2206.0,909642.0,4.127
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,751.0,309759.0,4.127
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,1367.0,563421.0,4.126
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,1201.0,495358.0,4.126
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,1770.0,729646.0,4.126
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,987.0,406693.0,4.126
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,307.0,126638.0,4.126
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,318.0,131134.0,4.126
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,564.0,232746.0,4.126
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,7816.0,3220500.0,4.125
601169.SH,2022-10-17,0.0,4.12,4.13,4.11,27436.0,11303600.0,4.123
601169.SH,2022-10-17,0.0,4.12,4.13,4.11,1034.0,426328.0,4.123
601169.SH,2022-10-17,0.0,4.12,4.12,4.11,708.0,291587.0,4.123
601169.SH,2022-10-17,0.0,4.11,4.12,4.11,695.0,285979.0,4.123
601169.SH,2022-10-17,0.0,4.11,4.12,4.11,1617.0,666050.0,4.123
601169.SH,2022-10-17,0.0,4.12,4.12,4.11,439.0,180824.0,4.123
601169.SH,2022-10-17,0.0,4.12,4.12,4.11,731.0,300916.0,4.123
601169.SH,2022-10-17,0.0,4.11,4.12,4.11,442.0,181951.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.12,4.11,1074.0,442093.0,4.122
601169.SH,2022-10-17,0.0,4.11,4.12,4.11,842.0,346538.0,4.122
601169.SH,2022-10-17,0.0,4.11,4.12,4.11,1192.0,490808.0,4.122
601169.SH,2022-10-17,0.0,4.11,4.12,4.11,2514.0,1035680.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.12,4.11,1305.0,537557.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.12,4.11,2179.0,897624.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.11,2481.0,1022220.0,4.122
601169.SH,2022-10-17,0.0,4.11,4.13,4.11,2292.0,944272.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.12,4.11,3421.0,1407360.0,4.122
601169.SH,2022-10-17,0.0,4.13,4.13,4.11,1713.0,705785.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,1771.0,731216.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,2743.0,1130270.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,1414.0,583532.0,4.122
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,250.0,103214.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,1190.0,490559.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,671.0,276606.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,1298.0,535107.0,4.122
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,814.0,335585.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,544.0,224245.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,280.0,115413.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,256.0,105494.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.12,4.12,9496.0,3912350.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,778.0,320545.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,318.0,131022.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,435.0,179284.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,454.0,187059.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.12,4.12,957.0,394303.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,837.0,344917.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,445.0,183400.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,646.0,266181.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,460.0,189593.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,225.0,92702.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,194.0,80095.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,1370.0,565338.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,447.0,184209.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,373.0,153890.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,292.0,120331.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,226.0,93129.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,214.0,88180.0,4.122
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,205.0,84496.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,207.0,85371.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,262.0,108041.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,175.0,72126.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,554.0,228664.0,4.122
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,269.0,110947.0,4.122
601169.SH,2022-10-17,0.0,4.13,4.13,4.12,227.0,93633.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,333.0,137302.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.12,4.12,1697.0,699247.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,241.0,99368.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,335.0,138110.0,4.122
601169.SH,2022-10-17,0.0,4.12,4.13,4.12,515.0,212293.0,4.122
