code,tdate,open,close,high,low,cjl,cje,cjjj
601328.SH,2022-10-17,0.0,4.61,4.61,4.61,3693.0,1702470.0,4.61
601328.SH,2022-10-17,0.0,4.62,4.62,4.61,30885.0,14243000.0,4.612
601328.SH,2022-10-17,0.0,4.61,4.62,4.61,2504.0,1154990.0,4.612
601328.SH,2022-10-17,0.0,4.62,4.62,4.61,3383.0,1560730.0,4.612
601328.SH,2022-10-17,0.0,4.61,4.62,4.61,3307.0,1525620.0,4.612
601328.SH,2022-10-17,0.0,4.62,4.62,4.61,2232.0,1029840.0,4.612
601328.SH,2022-10-17,0.0,4.61,4.62,4.61,4985.0,2298490.0,4.612
601328.SH,2022-10-17,0.0,4.62,4.62,4.61,2190.0,1010410.0,4.612
601328.SH,2022-10-17,0.0,4.61,4.62,4.61,8183.0,3772550.0,4.612
601328.SH,2022-10-17,0.0,4.62,4.62,4.61,4196.0,1934840.0,4.612
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,15189.0,6998630.0,4.611
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,2426.0,1116420.0,4.611
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,1420.0,653763.0,4.611
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,1670.0,768633.0,4.61
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,1631.0,750939.0,4.61
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,1312.0,603719.0,4.61
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,3756.0,1730580.0,4.61
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,1110.0,510807.0,4.61
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,1390.0,640008.0,4.61
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,2562.0,1180980.0,4.61
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,1624.0,748333.0,4.61
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,9292.0,4274530.0,4.609
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,623.0,287008.0,4.609
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,1514.0,696618.0,4.609
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,377.0,173453.0,4.609
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,1001.0,461139.0,4.609
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,774.0,356765.0,4.609
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,2095.0,964844.0,4.609
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,1854.0,853294.0,4.609
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,1028.0,473562.0,4.609
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,2047.0,942235.0,4.609
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,1184.0,545096.0,4.609
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,1245.0,573309.0,4.609
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,1610.0,741485.0,4.608
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,1152.0,530315.0,4.608
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,1333.0,613616.0,4.608
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,2759.0,1269990.0,4.608
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,2310.0,1064760.0,4.608
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,23216.0,10702200.0,4.609
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,3687.0,1698650.0,4.608
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,2210.0,1018360.0,4.608
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,2134.0,982146.0,4.608
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,3412.0,1572600.0,4.608
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,3521.0,1622600.0,4.608
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,3430.0,1580480.0,4.608
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,6816.0,3140580.0,4.608
601328.SH,2022-10-17,0.0,4.6,4.61,4.6,1509.0,694779.0,4.608
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,1308.0,602645.0,4.608
601328.SH,2022-10-17,0.0,4.61,4.61,4.6,396.0,182284.0,4.608
