code,tdate,open,close,high,low,cjl,cje,cjjj
601398.SH,2022-10-17,0.0,4.34,4.34,4.34,11642.0,5052510.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,35219.0,15293000.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,8107.0,3520720.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,12179.0,5288180.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,33844.0,14689600.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.33,8764.0,3804590.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,4814.0,2090020.0,4.341
601398.SH,2022-10-17,0.0,4.33,4.35,4.33,9509.0,4128030.0,4.341
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2684.0,1163710.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,2911.0,1262450.0,4.341
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,8835.0,3826740.0,4.341
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,1733.0,751052.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,1742.0,755127.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,1000.0,433650.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,1280.0,554984.0,4.34
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,9382.0,4063940.0,4.34
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,6236.0,2703620.0,4.34
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2456.0,1064540.0,4.34
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2247.0,974504.0,4.34
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,3126.0,1355810.0,4.34
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,1819.0,788615.0,4.339
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,9423.0,4080970.0,4.339
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,833.0,361199.0,4.339
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,1110.0,481234.0,4.339
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,920.0,398481.0,4.339
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,6697.0,2904720.0,4.339
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,1885.0,816970.0,4.339
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,3488.0,1512750.0,4.339
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,3629.0,1573220.0,4.339
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,4658.0,2020430.0,4.339
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2603.0,1127620.0,4.339
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,10498.0,4548100.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,5000.0,2168390.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,14078.0,6108760.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,1627.0,705415.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2961.0,1283380.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,4348.0,1883180.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,6387.0,2769860.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2866.0,1242460.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,1614.0,699421.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,7271.0,3148770.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2280.0,987774.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,2481.0,1075660.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,1760.0,762510.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2457.0,1064910.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,7358.0,3187960.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,3991.0,1729040.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,1626.0,705234.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2196.0,952781.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,1070.0,463738.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,8443.0,3656090.0,4.337
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,1974.0,855242.0,4.337
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,3513.0,1522130.0,4.337
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,555.0,240465.0,4.337
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,1342.0,581440.0,4.337
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,6819.0,2956420.0,4.337
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,6005.0,2604000.0,4.337
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2702.0,1170450.0,4.337
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,3252.0,1408540.0,4.337
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,2695.0,1167490.0,4.337
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,5026.0,2176900.0,4.337
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,1241.0,537794.0,4.337
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,34265.0,14868900.0,4.337
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,1635.0,708496.0,4.337
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,36892.0,16010000.0,4.337
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,31680.0,13747900.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,3302.0,1432540.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.34,4.33,6207.0,2693480.0,4.338
601398.SH,2022-10-17,0.0,4.33,4.34,4.33,4260.0,1848280.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.35,4.33,22690.0,9847900.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1224.0,531517.0,4.338
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,997.0,433014.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,661.0,287108.0,4.338
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,843.0,365868.0,4.338
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,52453.0,22815500.0,4.339
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,502.0,217905.0,4.339
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,52586.0,22873100.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,634.0,275360.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,2239.0,972687.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1223.0,531357.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1513.0,657766.0,4.34
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,1314.0,570452.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1377.0,597944.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1328.0,576388.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,3041.0,1319920.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1556.0,675335.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1307.0,567290.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,2028.0,880283.0,4.34
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,2647.0,1149020.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,2667.0,1158530.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1543.0,669756.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,2803.0,1216680.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,2335.0,1013400.0,4.34
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,4672.0,2028470.0,4.34
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,27967.0,12164000.0,4.34
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,1022.0,443700.0,4.34
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,983.0,426663.0,4.34
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,643.0,279130.0,4.34
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,1999.0,868669.0,4.34
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,32860.0,14292900.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1211.0,526199.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,773.0,335558.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,886.0,384830.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,5913.0,2571880.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,5749.0,2500060.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,515.0,223575.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,5934.0,2579960.0,4.341
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,5515.0,2398750.0,4.341
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,1841.0,800621.0,4.341
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,6141.0,2670920.0,4.341
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,7603.0,3306460.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,2222.0,964750.0,4.341
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,871.0,378427.0,4.341
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,1472.0,639627.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,841.0,365252.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,540.0,234537.0,4.341
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,579.0,251403.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1154.0,501203.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,2850.0,1237310.0,4.341
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,1465.0,636517.0,4.341
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,2210.0,959272.0,4.341
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,35868.0,15598900.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,353.0,153243.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,417.0,181131.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,415.0,180133.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,601.0,261034.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,31544.0,13720900.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,814.0,353474.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,3083.0,1340370.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1447.0,629058.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,1102.0,478668.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,1374.0,596449.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,1679.0,729955.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,32869.0,14296200.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,4084.0,1774750.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.34,4.34,1787.0,775618.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1937.0,840904.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1605.0,696720.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,788.0,342332.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,2346.0,1018390.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,2823.0,1226240.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,1708.0,741419.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,1671.0,726664.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,2562.0,1114190.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,2090.0,908492.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,611.0,265615.0,4.342
601398.SH,2022-10-17,0.0,4.34,4.35,4.34,391.0,169811.0,4.342
601398.SH,2022-10-17,0.0,4.35,4.35,4.34,4831.0,2101320.0,4.342
