code,tdate,open,close,high,low,cjl,cje,cjjj
601888.SH,2022-10-17,0.0,184.96,184.96,184.96,426.0,7879300.0,184.96
601888.SH,2022-10-17,0.0,184.14,184.8,184.01,1197.0,22081100.0,184.599
601888.SH,2022-10-17,0.0,184.61,184.8,183.58,1273.0,23415300.0,184.331
601888.SH,2022-10-17,0.0,184.97,185.21,184.3,711.0,13131400.0,184.401
601888.SH,2022-10-17,0.0,186.2,186.35,185.2,574.0,10673000.0,184.613
601888.SH,2022-10-17,0.0,186.57,186.9,186.07,864.0,16112500.0,184.934
601888.SH,2022-10-17,0.0,185.4,186.31,185.4,666.0,12382700.0,185.05
601888.SH,2022-10-17,0.0,186.06,186.06,185.33,386.0,7165240.0,185.086
601888.SH,2022-10-17,0.0,186.48,186.53,186.06,414.0,7711510.0,185.161
601888.SH,2022-10-17,0.0,186.14,186.66,186.0,628.0,11705900.0,185.27
601888.SH,2022-10-17,0.0,186.2,186.2,185.81,417.0,7756610.0,185.311
601888.SH,2022-10-17,0.0,185.92,186.32,185.85,725.0,13493100.0,185.381
601888.SH,2022-10-17,0.0,185.41,186.0,185.41,658.0,12218200.0,185.404
601888.SH,2022-10-17,0.0,185.5,185.82,185.41,689.0,12793900.0,185.424
601888.SH,2022-10-17,0.0,185.47,185.71,185.47,304.0,5639390.0,185.427
601888.SH,2022-10-17,0.0,185.53,185.71,185.46,280.0,5194020.0,185.429
601888.SH,2022-10-17,0.0,185.81,186.05,185.58,657.0,12212700.0,185.456
601888.SH,2022-10-17,0.0,185.62,185.81,185.42,499.0,9261740.0,185.463
601888.SH,2022-10-17,0.0,185.75,185.79,185.61,257.0,4772550.0,185.468
601888.SH,2022-10-17,0.0,186.08,186.08,185.67,1188.0,22087200.0,185.51
601888.SH,2022-10-17,0.0,186.53,186.68,186.18,810.0,15103800.0,185.567
601888.SH,2022-10-17,0.0,186.39,186.6,186.22,958.0,17862200.0,185.625
601888.SH,2022-10-17,0.0,186.17,186.49,186.12,401.0,7472310.0,185.644
601888.SH,2022-10-17,0.0,186.13,186.31,186.1,230.0,4282230.0,185.652
601888.SH,2022-10-17,0.0,185.94,186.11,185.88,457.0,8500270.0,185.663
601888.SH,2022-10-17,0.0,186.53,186.53,185.94,543.0,10108000.0,185.679
601888.SH,2022-10-17,0.0,185.91,186.52,185.91,651.0,12114200.0,185.695
601888.SH,2022-10-17,0.0,185.62,185.94,185.62,478.0,8882450.0,185.698
601888.SH,2022-10-17,0.0,185.58,185.64,185.45,393.0,7291740.0,185.695
601888.SH,2022-10-17,0.0,185.4,185.58,185.4,361.0,6696790.0,185.691
601888.SH,2022-10-17,0.0,184.72,185.42,184.72,959.0,17758900.0,185.665
601888.SH,2022-10-17,0.0,184.88,184.88,184.33,645.0,11898500.0,185.627
601888.SH,2022-10-17,0.0,184.62,184.89,184.45,595.0,10991200.0,185.601
601888.SH,2022-10-17,0.0,184.64,184.79,184.53,511.0,9436380.0,185.578
601888.SH,2022-10-17,0.0,184.61,184.76,184.6,539.0,9952580.0,185.554
601888.SH,2022-10-17,0.0,184.29,184.58,184.29,536.0,9885340.0,185.526
601888.SH,2022-10-17,0.0,184.34,184.4,184.27,395.0,7279610.0,185.505
601888.SH,2022-10-17,0.0,184.31,184.37,184.31,587.0,10818700.0,185.474
601888.SH,2022-10-17,0.0,184.1,184.31,184.09,256.0,4714850.0,185.46
601888.SH,2022-10-17,0.0,184.07,184.16,184.07,392.0,7217430.0,185.437
601888.SH,2022-10-17,0.0,184.11,184.11,184.04,384.0,7067650.0,185.415
601888.SH,2022-10-17,0.0,184.1,184.11,184.06,378.0,6958790.0,185.395
601888.SH,2022-10-17,0.0,184.21,184.36,184.16,322.0,5933320.0,185.38
601888.SH,2022-10-17,0.0,184.25,184.34,184.22,369.0,6800050.0,185.364
601888.SH,2022-10-17,0.0,184.61,184.76,184.32,371.0,6846530.0,185.351
601888.SH,2022-10-17,0.0,184.53,184.75,184.5,589.0,10874900.0,185.335
601888.SH,2022-10-17,0.0,184.23,184.51,184.2,362.0,6670770.0,185.321
601888.SH,2022-10-17,0.0,184.38,184.44,184.27,324.0,5968600.0,185.309
601888.SH,2022-10-17,0.0,184.78,184.78,184.38,363.0,6699430.0,185.299
601888.SH,2022-10-17,0.0,185.11,185.11,184.78,680.0,12577600.0,185.29
601888.SH,2022-10-17,0.0,184.81,185.12,184.81,661.0,12226500.0,185.283
601888.SH,2022-10-17,0.0,184.65,184.84,184.5,462.0,8532140.0,185.273
601888.SH,2022-10-17,0.0,184.72,184.79,184.67,175.0,3233080.0,185.27
601888.SH,2022-10-17,0.0,184.96,184.96,184.67,251.0,4636980.0,185.265
601888.SH,2022-10-17,0.0,185.29,185.29,184.95,517.0,9572250.0,185.263
601888.SH,2022-10-17,0.0,185.51,185.51,185.16,530.0,9826930.0,185.266
601888.SH,2022-10-17,0.0,185.48,185.5,185.35,480.0,8902090.0,185.269
601888.SH,2022-10-17,0.0,185.26,185.45,185.26,147.0,2724830.0,185.27
601888.SH,2022-10-17,0.0,185.37,185.41,185.23,162.0,3001100.0,185.27
601888.SH,2022-10-17,0.0,185.56,185.57,185.37,154.0,2855960.0,185.27
601888.SH,2022-10-17,0.0,185.71,185.79,185.56,115.0,2135260.0,185.272
601888.SH,2022-10-17,0.0,185.84,186.17,185.78,311.0,5783510.0,185.279
601888.SH,2022-10-17,0.0,185.45,185.74,185.41,150.0,2783240.0,185.28
601888.SH,2022-10-17,0.0,185.26,185.48,185.24,102.0,1890580.0,185.28
601888.SH,2022-10-17,0.0,186.03,186.06,185.33,139.0,2580540.0,185.282
601888.SH,2022-10-17,0.0,185.93,186.03,185.77,241.0,4482120.0,185.287
601888.SH,2022-10-17,0.0,185.53,185.99,185.53,138.0,2564500.0,185.289
601888.SH,2022-10-17,0.0,185.3,185.71,185.3,158.0,2929270.0,185.29
601888.SH,2022-10-17,0.0,185.5,185.53,185.3,78.0,1446730.0,185.29
601888.SH,2022-10-17,0.0,185.57,185.88,185.46,88.0,1633920.0,185.291
601888.SH,2022-10-17,0.0,185.88,185.95,185.6,142.0,2639430.0,185.294
601888.SH,2022-10-17,0.0,185.61,185.88,185.46,199.0,3694290.0,185.296
601888.SH,2022-10-17,0.0,186.15,186.15,185.61,228.0,4239490.0,185.3
601888.SH,2022-10-17,0.0,186.02,186.11,186.01,179.0,3331140.0,185.305
