code,tdate,open,close,high,low,cjl,cje,cjjj
601939.SH,2022-10-17,0.0,5.49,5.49,5.49,4210.0,2311320.0,5.49
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,6480.0,3554250.0,5.487
601939.SH,2022-10-17,0.0,5.47,5.49,5.47,14035.0,7693820.0,5.484
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,4688.0,2566930.0,5.483
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,2105.0,1152240.0,5.482
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,2364.0,1294580.0,5.482
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,2697.0,1477390.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.48,5.47,1206.0,660684.0,5.481
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,2331.0,1276120.0,5.481
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,3640.0,1993370.0,5.481
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,1165.0,637933.0,5.48
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,5131.0,2807030.0,5.479
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,2603.0,1424370.0,5.479
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,2533.0,1385870.0,5.479
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,849.0,464936.0,5.479
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,664.0,363544.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.48,5.47,5046.0,2764380.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.48,5.47,2073.0,1135950.0,5.479
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,518.0,283680.0,5.479
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,772.0,422490.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.48,5.47,1916.0,1049670.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.48,5.47,1860.0,1018080.0,5.478
601939.SH,2022-10-17,0.0,5.47,5.48,5.47,1636.0,895943.0,5.478
601939.SH,2022-10-17,0.0,5.48,5.48,5.47,3278.0,1794230.0,5.478
601939.SH,2022-10-17,0.0,5.48,5.48,5.47,3648.0,1998930.0,5.478
601939.SH,2022-10-17,0.0,5.48,5.48,5.47,6311.0,3457960.0,5.478
601939.SH,2022-10-17,0.0,5.48,5.48,5.47,9810.0,5375490.0,5.478
601939.SH,2022-10-17,0.0,5.48,5.48,5.47,5451.0,2987060.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.47,2534.0,1388620.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,260.0,142573.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,230.0,126220.0,5.479
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,2108.0,1156330.0,5.479
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,835.0,458216.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,341.0,186971.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,4585.0,2512730.0,5.479
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,879.0,481940.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,612.0,335412.0,5.479
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,926.0,508039.0,5.479
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,460.0,252361.0,5.479
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,404.0,221602.0,5.479
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,346.0,189830.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1739.0,953567.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1018.0,558196.0,5.479
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,2166.0,1187250.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1389.0,761522.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,2394.0,1311990.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1040.0,570289.0,5.479
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,1215.0,666220.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,403.0,221147.0,5.479
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,723.0,396521.0,5.479
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1561.0,856270.0,5.48
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,3294.0,1806190.0,5.48
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,2465.0,1352630.0,5.48
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,2129.0,1166920.0,5.48
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,916.0,502151.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1085.0,594686.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,2575.0,1413140.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,750.0,411256.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,671.0,367852.0,5.48
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,1716.0,940908.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,3937.0,2160650.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,399.0,218904.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1276.0,699839.0,5.48
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,1668.0,914328.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,234.0,128413.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,964.0,529009.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,2394.0,1312430.0,5.48
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,2520.0,1383250.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,495.0,271416.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1203.0,660056.0,5.481
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,1782.0,977450.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,635.0,348283.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,287.0,157425.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,590.0,323861.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,771.0,422998.0,5.481
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,662.0,363256.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,731.0,401028.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1000.0,548867.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1688.0,926491.0,5.481
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,849.0,465778.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,36088.0,19776300.0,5.481
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,875.0,479923.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,521.0,285629.0,5.481
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,1311.0,719528.0,5.481
601939.SH,2022-10-17,0.0,5.49,5.49,5.48,619.0,339475.0,5.481
601939.SH,2022-10-17,0.0,5.48,5.49,5.48,1516.0,830971.0,5.481
601939.SH,2022-10-17,0.0,5.49,5.5,5.48,15382.0,8444880.0,5.481
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,1694.0,930219.0,5.482
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,544.0,298804.0,5.482
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,703.0,386226.0,5.482
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,570.0,313335.0,5.482
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,524.0,287896.0,5.482
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,421.0,231236.0,5.482
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,437.0,240203.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,245.0,134625.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,484.0,265830.0,5.482
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,342.0,187923.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,1209.0,664306.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,534.0,293361.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,224.0,123083.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,895.0,491517.0,5.482
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,1103.0,605741.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,1127.0,619458.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,1247.0,685479.0,5.482
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,223.0,122629.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,502.0,275748.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,852.0,468080.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,245.0,134627.0,5.482
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,21136.0,11624600.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,344.0,189182.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,4301.0,2365500.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,653.0,359000.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,479.0,263254.0,5.484
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,581.0,319362.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,300.0,164937.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,253.0,139100.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,533.0,292789.0,5.484
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,467.0,256525.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,427.0,234446.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,649.0,356502.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.5,5.49,728.0,400174.0,5.484
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,1611.0,885369.0,5.484
601939.SH,2022-10-17,0.0,5.49,5.5,5.49,792.0,435369.0,5.484
601939.SH,2022-10-17,0.0,5.5,5.51,5.49,9307.0,5118720.0,5.485
601939.SH,2022-10-17,0.0,5.5,5.51,5.5,719.0,395462.0,5.485
601939.SH,2022-10-17,0.0,5.5,5.51,5.5,403.0,221933.0,5.485
