code,tdate,open,close,high,low,cjl,cje,cjjj
601988.SH,2022-10-17,0.0,3.06,3.06,3.06,11560.0,3537360.0,3.06
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,41364.0,12625100.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,10274.0,3140300.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,4466.0,1365050.0,3.055
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,27356.0,8348280.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2550.0,779817.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,3349.0,1022990.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,3475.0,1062030.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,1169.0,357157.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,5621.0,1717880.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,3877.0,1183480.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2227.0,680641.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2721.0,831341.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,2244.0,685602.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2729.0,833723.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,5785.0,1765900.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,3676.0,1123870.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1866.0,569537.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1529.0,466675.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1964.0,599780.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,4054.0,1238960.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,3113.0,951063.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1641.0,501013.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,3548.0,1082650.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1339.0,409374.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,7838.0,2397380.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,11422.0,3484560.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1526.0,466538.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1517.0,463819.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,9730.0,2975650.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,2913.0,889568.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1445.0,441618.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2423.0,741053.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2331.0,712596.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,1534.0,468942.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2045.0,624827.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1399.0,427218.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2266.0,692845.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,3742.0,1144030.0,3.055
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,1235.0,377415.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,4906.0,1497620.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1931.0,590035.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1387.0,423816.0,3.055
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,1649.0,504176.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2377.0,726599.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,3599.0,1097970.0,3.055
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,2420.0,738685.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2978.0,910088.0,3.055
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,986.0,301206.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1176.0,359269.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,14475.0,4415580.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,3965.0,1211010.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,1814.0,553951.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2239.0,684393.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,1224.0,374184.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,6793.0,2073550.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,3310.0,1011230.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2473.0,755075.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,2372.0,724676.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,4620.0,1411450.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,1584.0,484086.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1240.0,378746.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1509.0,460699.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,840.0,256484.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1533.0,467628.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,736.0,224649.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1242.0,379487.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,884.0,269871.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,929.0,283842.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1147.0,350571.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1751.0,535362.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1082.0,330841.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2897.0,886050.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1575.0,481565.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,943.0,288335.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,856.0,261442.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,1241.0,378969.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,3406.0,1042030.0,3.054
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,1163.0,355499.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1194.0,364823.0,3.054
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,2269.0,693996.0,3.055
601988.SH,2022-10-17,0.0,3.06,3.06,3.05,870.0,265847.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,1476.0,450885.0,3.055
601988.SH,2022-10-17,0.0,3.05,3.06,3.05,3400.0,1037490.0,3.055
