code,tdate,open,close,high,low,cjl,cje,cjjj
603589.SH,2022-10-17,0.0,45.16,45.16,45.16,159.0,718044.0,45.16
603589.SH,2022-10-17,0.0,45.3,45.35,45.03,926.0,4179690.0,45.14
603589.SH,2022-10-17,0.0,45.31,45.39,45.29,415.0,1880760.0,45.19
603589.SH,2022-10-17,0.0,45.03,45.33,45.01,392.0,1769990.0,45.182
603589.SH,2022-10-17,0.0,45.3,45.3,45.0,650.0,2934100.0,45.172
603589.SH,2022-10-17,0.0,45.2,45.35,45.16,508.0,2298160.0,45.183
603589.SH,2022-10-17,0.0,45.16,45.31,45.1,806.0,3640890.0,45.181
603589.SH,2022-10-17,0.0,45.21,45.31,45.1,600.0,2711680.0,45.183
603589.SH,2022-10-17,0.0,45.28,45.3,45.25,421.0,1905590.0,45.19
603589.SH,2022-10-17,0.0,45.27,45.38,45.27,418.0,1892950.0,45.197
603589.SH,2022-10-17,0.0,45.16,45.29,45.15,250.0,1129770.0,45.197
603589.SH,2022-10-17,0.0,44.91,45.15,44.9,887.0,3993140.0,45.172
603589.SH,2022-10-17,0.0,44.9,44.93,44.83,526.0,2361840.0,45.152
603589.SH,2022-10-17,0.0,44.7,44.88,44.7,956.0,4281420.0,45.107
603589.SH,2022-10-17,0.0,44.76,44.77,44.69,652.0,2915620.0,45.078
603589.SH,2022-10-17,0.0,44.7,44.8,44.7,589.0,2634880.0,45.056
603589.SH,2022-10-17,0.0,44.76,44.81,44.71,690.0,3086080.0,45.034
603589.SH,2022-10-17,0.0,44.75,44.77,44.71,610.0,2728860.0,45.017
603589.SH,2022-10-17,0.0,44.7,44.77,44.7,490.0,2191470.0,45.004
603589.SH,2022-10-17,0.0,44.73,44.78,44.68,471.0,2106190.0,44.992
603589.SH,2022-10-17,0.0,44.91,44.91,44.71,377.0,1687960.0,44.985
603589.SH,2022-10-17,0.0,44.8,44.91,44.8,350.0,1569980.0,44.981
603589.SH,2022-10-17,0.0,44.78,44.8,44.74,266.0,1190740.0,44.976
603589.SH,2022-10-17,0.0,44.76,44.78,44.71,219.0,980000.0,44.972
603589.SH,2022-10-17,0.0,44.73,44.75,44.72,220.0,983981.0,44.968
603589.SH,2022-10-17,0.0,44.76,44.76,44.7,452.0,2021930.0,44.96
603589.SH,2022-10-17,0.0,44.79,44.8,44.74,120.0,537385.0,44.959
603589.SH,2022-10-17,0.0,44.71,44.77,44.69,420.0,1878580.0,44.952
603589.SH,2022-10-17,0.0,44.7,44.74,44.69,463.0,2069430.0,44.943
603589.SH,2022-10-17,0.0,44.6,44.68,44.6,695.0,3101410.0,44.929
603589.SH,2022-10-17,0.0,44.53,44.6,44.52,387.0,1724780.0,44.92
603589.SH,2022-10-17,0.0,44.56,44.58,44.48,935.0,4161500.0,44.896
603589.SH,2022-10-17,0.0,44.61,44.61,44.56,152.0,677822.0,44.893
603589.SH,2022-10-17,0.0,44.65,44.67,44.61,217.0,968392.0,44.89
603589.SH,2022-10-17,0.0,44.61,44.63,44.6,187.0,834216.0,44.887
603589.SH,2022-10-17,0.0,44.67,44.67,44.56,450.0,2006720.0,44.879
603589.SH,2022-10-17,0.0,44.68,44.76,44.66,174.0,777778.0,44.877
603589.SH,2022-10-17,0.0,44.81,44.81,44.7,200.0,894870.0,44.876
603589.SH,2022-10-17,0.0,44.79,44.81,44.7,240.0,1074430.0,44.874
603589.SH,2022-10-17,0.0,44.85,44.86,44.79,456.0,2043400.0,44.873
603589.SH,2022-10-17,0.0,44.85,44.85,44.78,202.0,905073.0,44.872
603589.SH,2022-10-17,0.0,44.94,44.95,44.84,327.0,1468020.0,44.872
603589.SH,2022-10-17,0.0,44.92,44.98,44.88,192.0,862563.0,44.873
603589.SH,2022-10-17,0.0,44.84,44.92,44.8,273.0,1223680.0,44.872
603589.SH,2022-10-17,0.0,45.0,45.0,44.84,158.0,709854.0,44.873
603589.SH,2022-10-17,0.0,45.01,45.07,44.98,217.0,975276.0,44.873
603589.SH,2022-10-17,0.0,45.0,45.06,44.99,80.0,360084.0,44.874
603589.SH,2022-10-17,0.0,44.92,44.99,44.9,108.0,484986.0,44.874
603589.SH,2022-10-17,0.0,44.91,44.93,44.84,170.0,762463.0,44.874
603589.SH,2022-10-17,0.0,44.89,44.94,44.89,147.0,660339.0,44.874
603589.SH,2022-10-17,0.0,44.85,44.89,44.78,151.0,677122.0,44.874
603589.SH,2022-10-17,0.0,44.83,44.86,44.75,220.0,985629.0,44.873
603589.SH,2022-10-17,0.0,44.8,44.87,44.8,214.0,959439.0,44.873
603589.SH,2022-10-17,0.0,44.81,44.87,44.79,328.0,1469690.0,44.872
603589.SH,2022-10-17,0.0,44.88,44.88,44.81,242.0,1085560.0,44.872
603589.SH,2022-10-17,0.0,44.9,44.9,44.88,85.0,381641.0,44.872
603589.SH,2022-10-17,0.0,44.93,44.94,44.92,139.0,623519.0,44.872
603589.SH,2022-10-17,0.0,44.8,44.93,44.72,118.0,528335.0,44.871
