CCF_Lag(步),Model,Stock,TP_Delay(步)
-5,ARIMA,IDX_000001.SH,0.3048
-4,CEEMDANLSTM,IDX_000001.SH,-0.5
-2,GRU,IDX_000001.SH,1.6937
-5,Informer,IDX_000001.SH,1.2209
-3,LSTM,IDX_000001.SH,2.2021
-2,RNN,IDX_000001.SH,1.5678
0,StockCI,IDX_000001.SH,0.1593
-5,ARIMA,IDX_399001.SZ,-3.4
-5,CEEMDANLSTM,IDX_399001.SZ,1.125
-2,GRU,IDX_399001.SZ,1.5941
-5,Informer,IDX_399001.SZ,0.9333
-2,LSTM,IDX_399001.SZ,1.5225
-1,RNN,IDX_399001.SZ,1.0417
0,StockCI,IDX_399001.SZ,-0.3411
-5,ARIMA,STK_000001.SZ,0.0417
-5,CEEMDANLSTM,STK_000001.SZ,1.1429
-5,GCNInformer-identity,STK_000001.SZ,0.2759
-5,GCNInformer-pearson,STK_000001.SZ,-0.3614
-5,GCNInformer-random,STK_000001.SZ,0.125
-5,GCNInformer-vae,STK_000001.SZ,0.0417
-2,GRU,STK_000001.SZ,1.625
-5,Informer,STK_000001.SZ,0.193
-3,LSTM,STK_000001.SZ,1.9639
-3,RNN,STK_000001.SZ,2.2041
-1,STTrader-identity,STK_000001.SZ,0.6
-1,STTrader-pearson,STK_000001.SZ,0.6328
-1,STTrader-random,STK_000001.SZ,0.4833
-1,STTrader-vae,STK_000001.SZ,0.4597
0,StockCI,STK_000001.SZ,0.5045
-5,ARIMA,STK_600519.SH,1.5625
-5,CEEMDANLSTM,STK_600519.SH,1.0882
-5,GCNInformer-identity,STK_600519.SH,-0.6596
-5,GCNInformer-pearson,STK_600519.SH,-0.1724
-5,GCNInformer-random,STK_600519.SH,-0.2687
5,GCNInformer-vae,STK_600519.SH,0.4875
-2,GRU,STK_600519.SH,1.7009
5,Informer,STK_600519.SH,0.1053
-4,LSTM,STK_600519.SH,2.1325
-3,RNN,STK_600519.SH,2.1262
-1,STTrader-identity,STK_600519.SH,0.6899
-1,STTrader-pearson,STK_600519.SH,0.4925
-1,STTrader-random,STK_600519.SH,0.7176
-1,STTrader-vae,STK_600519.SH,0.7068
0,StockCI,STK_600519.SH,0.0545
