Model,Stock,mae,mape,mse,r2
ARIMA,IDX_000001.SH,7.605381014130091,0.0024734600921584543,98.51104050076307,0.6251098167305837
CEEMDANLSTM,IDX_000001.SH,2.3327524999999913,0.0007589837117931982,8.50634458234995,0.9619147632935584
GRU,IDX_000001.SH,1.631032950000007,0.000530066129186549,4.433517608305019,0.9858660220762558
Informer,IDX_000001.SH,7.394591099999993,0.002402509184724149,108.68939238360991,0.5851035738973006
LSTM,IDX_000001.SH,3.9929893500000007,0.0012969254099914815,18.928616850505,0.9396558948608007
RNN,IDX_000001.SH,3.4897715,0.001133336613043527,14.233992103419999,0.9546222778545812
StockCI,IDX_000001.SH,1.7735839499999981,0.0005762676625734569,4.8855235959249805,0.9813506533788002
ARIMA,IDX_399001.SZ,35.469842357467584,0.0032309000834889893,2397.2824939034012,0.5759517139603674
CEEMDANLSTM,IDX_399001.SZ,14.001201250000042,0.0012764499538429261,294.3203745033762,0.9403847667984344
GRU,IDX_399001.SZ,5.100347999999977,0.0004646529602230099,58.41340238399962,0.9895421304662583
Informer,IDX_399001.SZ,40.364149999999995,0.0036731402734291956,2634.5322998437505,0.5328539037817612
LSTM,IDX_399001.SZ,13.565150499999941,0.0012341335328531254,222.94020014449868,0.9600865652096298
RNN,IDX_399001.SZ,14.411494999999963,0.0013106397304160204,239.40613479849867,0.9571386356363678
StockCI,IDX_399001.SZ,11.325019500000037,0.0010301220817667046,192.98216548975185,0.9657810932166081
ARIMA,STK_000001.SZ,0.0678800021896974,0.005234072762766641,0.009182899841519486,0.444172694448254
CEEMDANLSTM,STK_000001.SZ,0.11297256925,0.0086975765743177,0.014064153424731126,0.1266726364293982
GCNInformer-identity,STK_000001.SZ,0.15152498599999997,0.011749167402569718,0.03673876336128424,-0.8829396636827138
GCNInformer-pearson,STK_000001.SZ,0.17992165274999997,0.013951828934474978,0.04777465261832711,-1.448552430823213
GCNInformer-random,STK_000001.SZ,0.10990122400000005,0.008507090082381517,0.020554202799134016,-0.05344655521673558
GCNInformer-vae,STK_000001.SZ,0.19831391250000002,0.015350089642391485,0.05177813648696851,-1.65373948339349
GRU,STK_000001.SZ,0.036357261999999925,0.0027398011314445584,0.0026160030934742388,0.9486874582035406
Informer,STK_000001.SZ,0.2410318965,0.018625756117227412,0.06344651702308951,-2.8413937333713974
LSTM,STK_000001.SZ,0.024017412999999984,0.0018269249089747073,0.0010792355098377497,0.9788309435317882
RNN,STK_000001.SZ,0.13414885025000006,0.010285302842146021,0.019021445400348887,0.6268969579702508
STTrader-identity,STK_000001.SZ,0.011892879999999991,0.0009156265224519036,0.0002729203502199998,0.9860122523068656
STTrader-pearson,STK_000001.SZ,0.04754236449999999,0.0036603298513499228,0.0028750712041757513,0.8526464934865106
STTrader-random,STK_000001.SZ,0.013947112500000013,0.001074023310576643,0.000373166539414,0.9808744221651646
STTrader-vae,STK_000001.SZ,0.02172522525000002,0.0016733595437670237,0.0007037403284201255,0.9639318132653382
StockCI,STK_000001.SZ,0.08951912875000001,0.006898006311714991,0.009103235309702128,0.44884115491672916
ARIMA,STK_600519.SH,9.182561064429096,0.0052828065260896945,191.37719022666312,0.624303666185286
CEEMDANLSTM,STK_600519.SH,12.09529485,0.006939681421300714,162.605432682705,0.663079294359533
GCNInformer-identity,STK_600519.SH,62.74831615000001,0.036122065788538375,4510.582419883625,-6.96217769162538
GCNInformer-pearson,STK_600519.SH,61.18010945,0.03521414993391673,4316.989635000696,-6.620443518614909
GCNInformer-random,STK_600519.SH,57.10784094999999,0.03288641196775427,3805.395096200144,-5.7173657683805565
GCNInformer-vae,STK_600519.SH,55.058268449999986,0.03170506542598894,3594.812245225984,-5.345640363059488
GRU,STK_600519.SH,3.1946177000000016,0.0018397895858268635,14.490778012380023,0.9637201291513603
Informer,STK_600519.SH,43.070894249999995,0.02458240913044903,2293.5457570422354,-3.5070279419028187
LSTM,STK_600519.SH,10.528775999999999,0.006055551050227699,119.12573722911999,0.7017505645501487
RNN,STK_600519.SH,8.31323985,0.004769061803112124,75.00724253287501,0.8122079387676474
STTrader-identity,STK_600519.SH,1.47853515,0.0008467430270618593,4.35070786933501,0.9923200363245126
STTrader-pearson,STK_600519.SH,2.7879096000000017,0.0015996550561218775,11.861039095150016,0.9790626371293895
STTrader-random,STK_600519.SH,1.788061700000003,0.0010242269757952604,5.923253192790018,0.9895441452913971
STTrader-vae,STK_600519.SH,1.4478577000000077,0.000829819147411267,4.331294783820036,0.9923543047231415
StockCI,STK_600519.SH,54.765128450000006,0.03146347319208134,3104.009165784615,-5.099662197496024
