,600900.SH,000001.SZ,600809.SH,601288.SH,000858.SZ,603589.SH,600028.SH,600519.SH,600779.SH,000799.SZ,601988.SH,600000.SH,000568.SZ,600031.SH,002594.SZ,601398.SH,600036.SH,600276.SH,601328.SH,002142.SZ,601166.SH,601939.SH,601169.SH,300750.SZ,600199.SH,601111.SH,002304.SZ,000596.SZ,601888.SH,600702.SH,000333.SZ,601012.SH
600900.SH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7261820407244312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.SZ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8277026764023636,0.0,0.0,0.70991528427088,0.7403857222164193,0.0,0.6209390464161437,0.5809046756806509,0.0,0.0,0.0,0.0,0.0,0.6808916274935223,0.0,0.0,0.0,0.0,0.0
600809.SH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7021604877742729,0.0,0.0,0.8392627502946013,0.0,0.0,0.0,0.0,0.0,0.5498055768168448,0.8060467910188567,0.0,0.5123624801020368,0.0,0.0,0.0
601288.SH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8526731701437811,0.0,0.0,0.5996895192052427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000858.SZ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5831021485233147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6764852155365471,0.0
603589.SH,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6153843092801811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5593809929452528,0.6979147381865193,0.6997992717151317,0.0,0.0
600028.SH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5577192655422446,0.8078917891553465,0.0,0.6245982457287451,0.0,0.8261611875300049,0.0,0.0,0.8055939942309085,0.0,0.0,0.8291882579898937,0.782235792350643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600519.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600779.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9513106139238326,0.8561754378064097,0.6635996405970879,0.0,0.0,0.0,0.0,0.0
000799.SZ,0.0,0.0,0.0,0.0,0.0,0.6153843092801811,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5662483634504206,0.6147254048434461,0.0,0.9412874652963856,0.7566335689701014,0.9054606472981922,0.0,0.0
601988.SH,0.0,0.0,0.0,0.8526731701437811,0.0,0.0,0.5577192655422446,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5231183671075973,0.0,0.0,0.0,0.7022537827172405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600000.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.8078917891553465,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8409504595287672,0.0,0.0,0.9305241289252244,0.0,0.0,0.9879623382834927,0.8110725445224993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000568.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600031.SH,0.0,0.8277026764023636,0.0,0.5996895192052427,0.0,0.0,0.6245982457287451,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6328895851987082,0.0,0.8419099600356325,0.0,0.0,0.5685993050778934,0.0,0.0,0.0,0.0,0.0,0.5379057312199979,0.0,0.0,0.0,0.0,0.0
002594.SZ,0.0,0.0,0.0,0.0,0.5831021485233147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601398.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.8261611875300049,0.0,0.0,0.0,0.0,0.8409504595287672,0.0,0.6328895851987082,0.0,1.0,0.0,0.5525005194240843,0.8823435633389409,0.0,0.54160706708471,0.8937717804047401,0.780472279448312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600036.SH,0.0,0.70991528427088,0.7021604877742729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8899320897741976,0.0,0.0,0.0,0.0,0.0,0.0,0.7011908383828727,0.0,0.0,0.0,0.6266609087645616,0.0
600276.SH,0.0,0.7403857222164193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8419099600356325,0.0,0.5525005194240843,0.0,1.0,0.0,0.5094954238922464,0.6805628803477438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601328.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.8055939942309085,0.0,0.0,0.0,0.5231183671075973,0.9305241289252244,0.0,0.0,0.0,0.8823435633389409,0.0,0.0,1.0,0.0,0.0,0.9666012843607782,0.9430509565633711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002142.SZ,0.0,0.6209390464161437,0.8392627502946013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8899320897741976,0.5094954238922464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249612801802539,0.0,0.0,0.0,0.6521277897236387,0.0
601166.SH,0.7261820407244312,0.5809046756806509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5685993050778934,0.0,0.54160706708471,0.0,0.6805628803477438,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601939.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.8291882579898937,0.0,0.0,0.0,0.0,0.9879623382834927,0.0,0.0,0.0,0.8937717804047401,0.0,0.0,0.9666012843607782,0.0,0.0,1.0,0.853695912136832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601169.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.782235792350643,0.0,0.0,0.0,0.7022537827172405,0.8110725445224993,0.0,0.0,0.0,0.780472279448312,0.0,0.0,0.9430509565633711,0.0,0.0,0.853695912136832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300750.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6871240537008664
600199.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9513106139238326,0.5662483634504206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.884986722805019,0.5724190570867906,0.5569967862993427,0.0,0.0,0.0,0.0
601111.SH,0.0,0.0,0.5498055768168448,0.0,0.0,0.0,0.0,0.0,0.8561754378064097,0.6147254048434461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.884986722805019,1.0,0.7316130157695974,0.5662240155500133,0.0,0.0,0.0,0.0
002304.SZ,0.0,0.6808916274935223,0.8060467910188567,0.0,0.0,0.0,0.0,0.0,0.6635996405970879,0.0,0.0,0.0,0.0,0.5379057312199979,0.0,0.0,0.7011908383828727,0.0,0.0,0.7249612801802539,0.0,0.0,0.0,0.0,0.5724190570867906,0.7316130157695974,1.0,0.0,0.0,0.0,0.0,0.0
000596.SZ,0.0,0.0,0.0,0.0,0.0,0.5593809929452528,0.0,0.0,0.0,0.9412874652963856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5569967862993427,0.5662240155500133,0.0,1.0,0.6389279862397153,0.8983369351122045,0.0,0.0
601888.SH,0.0,0.0,0.5123624801020368,0.0,0.0,0.6979147381865193,0.0,0.0,0.0,0.7566335689701014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6389279862397153,1.0,0.7093462844475303,0.0,0.0
600702.SH,0.0,0.0,0.0,0.0,0.0,0.6997992717151317,0.0,0.0,0.0,0.9054606472981922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8983369351122045,0.7093462844475303,1.0,0.0,0.0
000333.SZ,0.0,0.0,0.0,0.0,0.6764852155365471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6266609087645616,0.0,0.0,0.6521277897236387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
601012.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6871240537008664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
